player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Justin Jefferson,61398,WR,MIN,1,15,0,18,19.7,1,66.7,100.0,1,1,0.0,0,5,0,74.6,92.7,0,47,0.0,0,22,6,86.4,19,109.7,9,60.0,0,160,44,7.3,26.7,8.42,0,10.3,0,100.0,,0,0,0.0,0,3,0,70.5,80.7,0,20,0.0,0,12,3,100.0,12,118.8,3,20.0,0,47,16,5.3,15.7,3.92
Ja'Marr Chase,84270,WR,CIN,1,15,0,7,9.0,0,100.0,,0,0,0.0,0,1,0,68.3,90.0,0,14,0.0,0,2,2,100.0,2,114.6,2,13.3,0,23,5,2.5,11.5,11.5,0,10.2,0,77.8,0.0,0,2,0.0,0,5,0,76.5,90.4,0,20,0.0,0,28,7,82.1,23,140.3,9,60.0,1,79,8,1.1,11.3,3.43
Evan Engram,11778,TE,JAX,1,14,0,15,6.6,0,80.0,100.0,1,1,0.0,0,4,0,72.1,92.7,0,21,0.0,0,10,4,80.0,8,158.3,5,35.7,2,72,49,12.3,18.0,9.0,0,4.9,0,85.7,50.0,1,2,0.0,0,3,0,74.6,84.7,0,25,7.7,2,26,6,92.3,24,113.7,7,50.0,0,79,49,8.2,13.2,3.29
Keenan Allen,7857,WR,LAC,1,13,0,27,4.8,0,80.0,100.0,1,1,0.0,0,2,0,72.1,68.7,0,9,0.0,0,16,4,87.5,14,87.5,5,38.5,0,25,12,3.0,6.3,1.79,0,3.8,0,100.0,,0,0,0.0,0,4,0,76.5,74.5,0,18,3.0,1,33,8,97.0,32,101.6,8,61.5,0,67,37,4.6,8.4,2.09
Donovan Peoples-Jones,61439,WR,CLV,1,13,0,8,23.0,0,50.0,100.0,1,1,0.0,0,1,0,64.7,75.7,0,16,0.0,0,9,1,88.9,8,77.1,2,15.4,0,16,0,0.0,16.0,2.0,0,15.3,0,77.8,,0,0,0.0,0,3,0,75.6,67.5,1,28,0.0,0,32,7,96.9,31,72.5,9,69.2,0,98,13,1.9,14.0,3.16
DeAndre Hopkins,7808,WR,ARZ,1,11,0,1,5.0,0,0.0,0.0,0,1,,0,0,0,,52.6,0,0,0.0,0,8,0,62.5,5,39.6,1,9.1,0,0,0,,,0.0,0,12.1,1,77.8,,0,0,0.0,0,4,1,76.5,66.1,1,23,0.0,0,35,7,94.3,33,63.7,9,81.8,0,79,28,4.0,11.3,2.39
JuJu Smith-Schuster,11817,WR,KC,1,11,0,16,7.3,1,66.7,0.0,0,1,0.0,0,0,0,68.3,50.1,0,12,0.0,0,14,2,100.0,14,71.5,3,27.3,0,10,1,0.5,5.0,0.71,0,6.3,1,83.3,,0,0,0.0,0,3,0,73.4,73.1,1,20,0.0,0,19,5,100.0,19,63.9,6,54.5,0,53,30,6.0,10.6,2.79
Chris Moore,10741,WR,HST,1,11,0,13,3.0,2,66.7,0.0,0,1,0.0,0,0,0,68.3,56.7,0,6,0.0,0,8,2,87.5,7,71.5,3,27.3,0,10,8,4.0,5.0,1.43,0,9.3,0,100.0,100.0,1,1,0.0,0,5,0,76.5,92.3,0,36,0.0,0,17,8,100.0,17,118.8,8,72.7,0,114,40,5.0,14.3,6.71
Zay Jones,11792,WR,JAX,1,11,0,15,9.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,61.5,0,13,0.0,0,12,1,75.0,9,118.8,1,9.1,0,13,4,4.0,13.0,1.44,0,12.6,1,70.0,0.0,0,2,22.2,2,4,0,31.8,73.4,0,20,3.6,1,28,7,96.4,27,120.4,10,90.9,1,64,13,1.9,9.1,2.37
Dalton Schultz,47304,TE,DAL,1,10,0,9,12.0,0,0.0,,0,0,,0,0,0,,57.6,0,0,0.0,0,2,0,100.0,2,39.6,1,10.0,0,0,0,,,0.0,0,8.5,0,62.5,,0,0,28.6,2,4,0,29.2,56.9,1,22,11.4,4,35,5,88.6,31,50.5,8,80.0,0,69,40,8.0,13.8,2.23
Tyreek Hill,10799,WR,MIA,1,10,0,17,8.0,0,0.0,0.0,0,1,,0,0,0,,57.1,0,0,0.0,0,4,0,75.0,3,39.6,1,10.0,0,0,0,,,0.0,0,12.3,0,66.7,50.0,1,2,20.0,1,2,0,41.6,68.7,0,60,0.0,0,15,4,100.0,15,149.3,6,60.0,1,81,48,12.0,20.3,5.4
D.K. Metcalf,47864,WR,SEA,1,10,0,29,12.5,0,50.0,,0,0,0.0,0,0,0,64.7,56.7,1,7,0.0,0,8,1,87.5,7,18.8,2,20.0,0,7,0,0.0,7.0,1.0,0,18.5,0,50.0,100.0,2,2,25.0,1,3,0,36.2,63.1,0,25,0.0,0,28,3,100.0,28,79.9,6,60.0,0,52,12,4.0,17.3,1.86
Tutu Atwell,77965,WR,LA,1,9,0,26,16.5,0,50.0,100.0,1,1,0.0,0,2,0,70.5,84.1,0,22,0.0,0,14,3,92.9,13,73.6,6,66.7,0,43,6,2.0,14.3,3.31,0,8.0,0,50.0,,0,0,0.0,0,0,0,64.7,63.5,0,4,0.0,0,12,1,91.7,11,56.3,2,22.2,0,4,6,6.0,4.0,0.36
Travis Kelce,7844,TE,KC,1,9,0,16,15.8,0,25.0,,0,0,0.0,0,1,0,64.7,64.0,1,12,0.0,0,13,1,100.0,13,0.0,4,44.4,0,12,7,7.0,12.0,0.92,0,8.3,0,75.0,0.0,0,1,0.0,0,2,0,70.5,73.4,0,37,0.0,0,18,3,100.0,18,116.7,4,44.4,0,59,36,12.0,19.7,3.28
