player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,16,29,0,72.3,1,0,23,1,0,63.3,65.3,90.2,76.2,63.4,62.0,0,0,0,4,48,14.9,20,4,1,93.6,34,1,0,265,13,610,1100,0,0,0,0,0,683,1100,15,475,139,32,85,2,47,1,3,512,355,15.1
John Abraham,591,ED,ARZ,1,0,0,,0,0,1,0,0,60.4,54.4,70.5,47.9,66.5,69.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,26,0,3,36,10,0,0,10,0,0,26,20,13,0,1,1,1,0,0,0,0,0,
Justin Smith,776,DI,SF,16,13,1,,0,2,28,1,0,67.0,72.9,62.4,55.8,84.6,69.8,9,20,0,0,,7.5,3,0,2,0.0,0,5,0,43,0,2,694,651,0,10,95,546,0,43,439,253,0,21,24,2,0,34,0,0,0,
Ryan Pickett,799,DI,HST,13,1,2,,0,0,13,0,0,,54.6,82.7,48.6,58.9,75.8,0,1,0,0,,12.5,2,0,0,0.0,0,0,0,0,0,0,287,287,73,23,9,182,0,0,134,153,0,13,13,0,0,1,0,0,0,
Julius Peppers,1010,ED,GB,16,8,3,50.0,1,3,12,3,0,83.9,79.0,75.8,79.1,56.4,35.5,11,31,2,2,7,24.4,10,1,3,16.7,2,8,0,46,0,39,810,761,0,0,698,63,0,49,470,301,3,24,23,2,4,50,0,12,11,6.0
Dwight Freeney,1019,ED,SD,16,2,0,100.0,0,0,27,1,0,61.3,60.8,53.5,69.7,42.6,23.7,9,40,0,0,35,64.3,9,0,3,118.8,1,4,0,14,0,14,572,557,2,2,365,188,0,15,408,150,1,7,3,0,1,53,0,35,30,35.0
Larry Foote,1126,LB,ARZ,15,16,0,81.7,1,0,1,1,0,40.5,45.1,43.3,49.7,59.8,42.8,4,13,0,1,39,18.4,18,1,4,114.6,49,2,0,946,6,452,994,34,0,0,34,0,8,960,197,345,0,37,64,4,60,19,3,550,379,11.2
Brett Keisel,1204,DI,PIT,12,5,4,,1,0,25,0,0,72.5,59.9,66.0,56.0,61.9,66.6,6,13,0,1,,10.5,2,0,1,0.0,0,1,0,23,0,6,439,415,3,3,57,352,0,24,289,144,1,9,12,1,0,20,0,0,0,
Ryan Clark,1229,S,WAS,16,19,0,65.4,0,0,32,2,0,50.3,42.8,39.5,33.8,35.0,45.7,0,4,0,1,16,20.0,24,2,2,75.6,17,1,0,162,2,591,1013,0,0,0,0,0,818,1013,26,396,31,22,77,2,26,5,1,139,69,8.2
James Harrison,1251,ED,PIT,11,2,0,100.0,0,0,25,0,0,67.3,79.1,67.8,74.7,74.0,75.9,13,15,0,0,13,6.7,2,0,2,130.4,5,6,0,14,3,59,433,392,0,0,392,0,0,41,224,150,23,24,26,3,5,34,1,29,22,5.8
