team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
LV,23,2,54,3,2,54,95.4,5,0
GB,12,2,57,1,5,57,94.7,6,0
IND,14,2,82,3,7,82,93.9,10,0
DAL,9,2,66,5,6,66,91.7,11,0
MIA,17,2,79,2,12,79,89.9,15,1
TB,30,2,75,0,14,75,89.3,15,1
DET,11,2,72,4,10,72,88.9,15,1
KC,16,2,90,6,17,90,87.2,23,0
CIN,7,2,77,6,10,77,87.0,18,2
BLT,3,2,69,3,11,69,87.0,16,2
LAC,27,2,86,3,10,86,86.6,18,5
SEA,29,2,73,0,16,73,86.3,18,2
PHI,24,2,69,1,16,69,86.2,18,1
BUF,4,2,88,3,18,88,85.8,23,2
ARZ,1,2,66,5,12,66,85.6,18,1
MIN,18,2,93,10,12,93,84.9,25,3
WAS,32,2,85,4,12,85,84.7,21,5
JAX,15,2,85,1,13,85,84.7,20,6
CLV,8,2,84,4,17,84,83.9,24,3
SF,28,3,101,5,20,101,83.7,29,4
LA,26,2,98,6,24,98,83.7,31,1
ATL,2,2,60,3,11,60,83.3,17,3
HST,13,2,106,5,23,106,83.0,32,4
DEN,10,2,77,3,20,77,81.2,26,3
NE,19,2,105,6,23,105,80.5,35,6
NO,20,2,79,4,14,79,79.7,25,7
TEN,31,2,69,4,12,69,79.7,22,6
CAR,5,2,81,7,21,81,79.0,31,3
PIT,25,2,83,7,25,83,78.3,34,2
NYG,21,3,124,5,37,124,76.6,50,8
CHI,6,2,85,3,30,85,75.9,37,4
NYJ,22,2,59,5,23,59,69.5,32,4
