player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Christian Gonzalez,131679,CB,NE,1,0,19,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,2.6,1,38,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Kader Kohou,156070,CB,MIA,1,0,17,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.4,1,42,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Justin Bethel,7654,S,MIA,1,0,17,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,22.2,2,9,2,75.0,0,0,1,0,100.0,2,2,75.0,1,0,0,1,0,0
Benton Whitley,54444,ED,MIN,1,0,18,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,100.0,1,1,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Tony Adams,55953,S,NYJ,1,0,22,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,1,47,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Xavier McKinney,55775,S,NYG,1,0,21,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.0,1,25,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ja'Sir Taylor,55426,CB,LAC,1,0,27,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,6.7,1,15,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jaire Alexander,49350,CB,GB,1,0,12,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,2.9,1,35,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Grant Delpit,60685,S,CLV,1,0,8,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.9,1,34,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Cobie Durant,79126,CB,LA,1,0,26,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,4.3,1,23,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Troy Andersen,57317,LB,ATL,1,0,2,0,2,0,0,1,1,20.0,1,1,50.0,0,0,0,1,11.9,5,42,3,40.0,0,0,1,0,80.0,4,2,37.5,1,1,0,1,1,0
Antoine Winfield Jr.,42475,S,TB,1,0,30,1,0,0,0,0,0,50.0,2,1,50.0,1,1,0,0,8.5,4,47,2,37.5,0,1,0,0,50.0,2,1,25.0,0,0,0,1,1,0
Jalen Pitre,57737,S,HST,1,0,13,1,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,20.0,3,15,2,33.3,0,1,0,0,66.7,2,1,25.0,0,0,0,0,0,0
L'Jarius Sneed,40588,CB,KC,1,0,16,1,1,0,1,1,0,100.0,3,2,33.3,0,0,0,0,8.6,3,35,2,33.3,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ar'Darius Washington,77848,CB,BLT,1,0,3,0,0,0,0,0,1,66.7,2,1,50.0,1,1,0,1,6.8,3,44,1,33.3,0,0,0,0,33.3,1,0,0.0,0,0,0,1,1,0
Jordan Phillips,9485,DI,BUF,1,0,4,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,75.0,3,4,1,33.3,0,0,0,0,33.3,1,1,100.0,1,1,0,1,1,0
Rashan Gary,42905,ED,GB,1,0,12,0,5,0,0,5,1,88.9,8,5,31.3,0,0,0,1,100.0,9,9,5,27.8,0,0,0,0,11.1,1,0,0.0,0,0,0,0,0,0
Tre Herndon,50380,CB,JAX,1,0,15,1,1,0,0,1,0,25.0,1,1,50.0,0,0,0,0,12.5,4,32,2,25.0,0,1,0,0,75.0,3,1,16.7,0,0,0,0,0,0
Dorance Armstrong,48557,ED,DAL,1,1,9,0,4,1,0,3,0,62.5,10,5,35.0,2,2,0,0,100.0,16,16,6,25.0,0,0,1,0,37.5,6,1,8.3,0,0,0,2,2,0
Terrel Bernard,57739,LB,BUF,1,0,4,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,7.7,2,26,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Chandon Sullivan,49349,CB,PIT,1,0,25,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,22.2,2,9,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Essang Bassey,45258,CB,DEN,1,0,10,1,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,13.3,2,15,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
DaRon Bland,56158,CB,DAL,1,0,9,1,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,5.3,2,38,1,25.0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,0,0
Dax Hill,97519,S,CIN,1,0,7,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,5.9,2,34,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Alex Singleton,9994,LB,DEN,1,0,10,1,1,0,0,0,0,0.0,0,0,,0,0,0,0,15.4,4,26,2,25.0,0,0,1,0,100.0,3,1,16.7,0,0,0,0,0,0
Nicholas Morrow,51674,LB,PHI,1,0,24,1,1,0,1,0,0,25.0,1,1,50.0,0,0,0,0,9.3,4,43,2,25.0,0,0,1,0,75.0,3,1,16.7,0,0,0,0,0,0
Geno Stone,55967,S,BLT,1,0,3,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,4.9,2,41,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Germaine Pratt,29407,LB,CIN,1,0,7,0,0,0,0,0,0,25.0,1,0,0.0,0,0,1,0,14.8,4,27,1,25.0,0,0,0,0,75.0,3,1,33.3,1,1,0,1,1,1
Leonard Floyd,10643,ED,BUF,1,0,4,0,3,0,0,3,1,66.7,10,4,25.0,1,1,0,1,100.0,15,15,5,23.3,0,0,0,0,33.3,5,1,20.0,1,1,0,2,2,0
Ed Oliver,42200,DI,BUF,1,0,4,1,4,0,0,3,0,62.5,10,4,25.0,1,0,0,0,100.0,16,16,6,21.9,0,1,1,0,37.5,6,2,16.7,0,0,0,1,0,0
Osa Odighizuwa,42754,DI,DAL,1,0,9,1,1,0,1,0,0,33.3,5,2,30.0,1,1,0,0,100.0,15,15,4,20.0,0,0,1,0,66.7,10,2,15.0,1,1,0,2,2,0
Abdullah Anderson,32708,DI,WAS,1,0,32,0,0,0,0,0,0,40.0,2,1,50.0,1,0,0,0,100.0,5,5,1,20.0,0,0,0,0,60.0,3,0,0.0,0,1,1,1,1,1
Arden Key,50201,ED,TEN,1,0,31,0,6,0,0,0,0,8.0,2,0,0.0,0,0,0,1,100.0,25,25,8,20.0,0,0,6,1,92.0,23,8,21.7,2,2,0,2,2,0
Cam Sample,56462,ED,CIN,1,0,7,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,83.3,10,12,3,20.0,0,0,2,0,100.0,10,3,20.0,1,0,0,1,0,0
Frankie Luvu,51028,LB,CAR,1,0,5,1,0,0,0,0,0,25.0,2,1,50.0,1,0,0,1,36.4,8,22,2,18.8,0,1,0,1,75.0,6,1,8.3,0,0,0,1,0,0
Devonte Wyatt,82268,DI,GB,1,0,12,0,4,0,0,3,1,68.2,15,3,10.0,0,0,0,1,100.0,22,22,6,18.2,0,0,1,0,31.8,7,3,35.7,2,1,0,2,1,0
