player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Patrick Mahomes,11765,QB,KC,6,250,80.0,55,57,6.3,2.38,0,1,1.7,70.2,40,21,9.1,61,24.4,4,23,,81.8,70.6,79.0,70.6,,56.8,1,0,63,14.3,106.5,4.9,3,1,0,1,3,3,4.8,389,6.8,0,16,78.7,85.5,78.8,90.1,76.3,156,168,7.3,3.12,1,8,4.5,67.3,113,62,5.0,189,75.6,6,64,,90.0,88.7,83.2,78.7,,92.8,3,5,200,4.8,91.5,1.6,3,18,1,7,8,6,3.0,1204,7.2,80.3,152,156,5.3,2.44,1,4,2.5,73.7,115,0,5.7,167,66.8,7,61,,88.8,87.3,82.6,80.7,,90.3,0,2,170,,107.0,0.0,0,11,1,2,10,5,2.9,1027,6.6,3,69.5,59,69,11.5,3.95,0,5,6.5,55.1,38,83,7.3,83,33.2,3,26,,84.4,76.6,80.3,69.0,,88.5,4,3,93,7.2,68.9,7.2,6,8,0,6,1,4,4.3,566,8.2
Sam Howell,97599,QB,WAS,5,236,76.1,46,53,7.7,2.72,3,2,3.4,58.5,31,29,11.4,65,27.5,4,15,,82.7,53.5,79.3,55.0,,52.3,0,2,72,31.0,63.0,13.8,9,3,0,4,1,3,4.2,275,5.2,0,32,73.5,64.7,62.0,70.2,81.1,127,138,8.2,2.97,3,7,4.8,72.5,100,61,2.9,171,72.5,3,51,,65.7,68.6,82.9,65.1,,74.7,1,4,185,32.8,94.9,11.7,20,12,0,7,5,5,2.7,1074,7.8,80.3,132,139,8.0,2.62,4,7,4.8,72.7,101,0,4.7,146,61.9,5,44,,88.0,73.3,82.2,71.3,,67.9,0,2,154,,97.4,0.0,0,7,0,3,4,3,1.9,1039,7.5,0,78.0,41,52,8.1,3.36,2,2,3.4,57.7,30,90,6.3,90,38.1,2,22,,48.7,48.6,80.6,45.6,,67.4,1,4,103,32.2,55.8,32.2,29,8,0,8,2,5,4.9,310,6.0
Matthew Stafford,4924,QB,LA,5,225,63.8,58,63,8.5,2.34,0,3,4.5,57.1,36,30,2.7,67,29.8,1,25,,82.7,66.0,79.3,65.3,,,0,2,72,13.3,68.8,6.0,4,0,0,5,1,2,2.8,409,6.5,0,26,90.3,80.5,79.2,62.8,75.4,130,140,9.4,2.66,4,11,7.6,62.9,88,49,10.2,158,70.2,10,53,,88.5,84.2,82.4,82.7,,61.6,1,3,163,18.4,86.3,5.7,9,8,1,4,4,3,1.8,1048,7.5,80.1,136,139,8.6,2.39,2,10,6.9,72.7,101,0,7.3,146,64.9,8,63,,87.9,92.4,82.1,91.4,,66.1,0,3,151,,100.1,0.0,0,6,1,0,5,2,1.3,1151,8.3,4,50.0,52,64,10.3,2.9,2,4,6.0,35.9,23,79,11.5,79,35.1,3,15,,83.7,44.6,79.9,46.1,,54.2,1,2,84,16.5,38.9,16.5,13,2,0,9,0,3,3.6,306,4.8
Russell Wilson,7077,QB,DEN,6,219,76.5,34,44,7.6,2.98,3,2,4.2,54.5,24,29,7.7,53,24.2,2,11,,24.2,46.6,78.6,50.2,,45.3,0,2,59,24.1,65.2,13.2,7,2,0,7,1,4,6.8,306,7.0,0,10,43.9,72.0,68.9,72.0,78.1,128,141,8.2,3.14,3,8,5.3,69.5,98,57,2.0,166,75.8,2,52,,68.7,77.7,82.7,74.9,,71.6,2,2,176,21.1,109.6,7.2,12,13,3,5,11,4,2.3,999,7.1,77.8,117,127,7.0,2.56,3,5,3.7,70.1,89,0,2.2,133,60.7,2,40,,87.3,74.4,81.8,71.3,,75.4,0,3,140,,101.2,0.0,0,6,3,4,8,4,2.9,902,7.1,1,77.8,45,58,10.9,3.93,3,5,7.8,56.9,33,86,5.7,86,39.3,2,23,,23.7,60.2,80.3,61.8,,53.8,2,1,95,22.1,94.3,22.1,19,9,0,8,4,4,4.2,403,6.9
Kirk Cousins,7102,QB,MIN,5,219,78.3,60,69,7.7,2.56,0,1,1.4,60.9,42,33,10.6,78,35.6,5,25,,27.1,62.8,79.8,62.9,,57.9,5,0,82,24.2,117.1,10.3,8,1,0,4,8,4,4.9,425,6.2,0,18,44.4,77.1,76.3,54.9,78.0,132,135,8.4,2.81,0,3,2.0,70.4,95,35,7.8,141,64.4,8,48,,88.0,82.0,82.1,80.4,,58.3,1,4,153,14.3,93.8,3.5,5,1,1,1,5,1,0.7,1073,7.9,83.6,146,149,7.5,2.62,0,3,1.9,75.2,112,0,8.2,151,68.9,10,58,,88.4,87.0,82.4,85.4,,54.2,0,3,162,,102.1,0.0,0,2,1,2,6,2,1.2,1156,7.8,2,60.9,46,55,10.3,2.94,0,1,1.7,45.5,25,68,10.7,68,31.1,3,15,,26.1,51.4,79.4,51.8,,,6,1,73,19.1,97.9,19.1,13,0,0,3,7,3,4.1,342,6.2
Joe Burrow,28022,QB,CIN,5,213,68.5,54,60,8.1,2.21,0,2,3.2,60.0,36,25,2.7,67,31.5,1,18,,82.3,69.0,79.2,71.1,,45.3,3,0,69,16.0,85.0,6.0,4,3,0,3,2,0,0.0,314,5.2,0,7,90.2,67.9,68.6,53.5,76.6,124,137,6.1,2.39,3,3,2.1,63.5,87,32,8.4,146,68.5,8,39,,88.0,66.6,82.2,65.3,,66.4,3,3,154,21.9,75.4,4.8,7,2,1,6,3,3,1.9,731,5.3,76.4,148,155,6.5,2.09,3,4,2.5,68.4,106,0,6.2,156,73.2,7,49,,88.5,74.2,82.4,73.5,,56.3,0,2,163,,83.1,0.0,0,1,1,3,2,3,1.8,934,6.0,2,63.3,30,42,7.7,3.01,0,1,2.2,40.5,17,57,10.5,57,26.8,2,8,,81.4,51.6,78.6,52.3,,57.0,6,1,60,19.3,62.2,19.3,11,4,0,6,3,0,0.0,111,2.6
Trevor Lawrence,77632,QB,JAX,5,211,75.5,49,51,8.9,2.36,1,3,5.5,58.8,30,22,18.9,56,26.5,7,16,,81.5,79.5,78.7,77.6,60.0,64.2,0,1,60,13.6,85.2,5.4,3,2,0,1,2,2,3.3,357,7.0,0,15,43.9,85.6,84.5,67.7,79.2,120,129,7.1,2.57,6,8,5.8,70.5,91,44,4.2,155,73.5,4,52,,29.0,84.9,82.4,82.8,,68.3,1,1,164,22.7,94.6,6.5,10,14,0,2,3,4,2.4,903,7.0,82.3,130,136,6.5,2.18,5,7,4.9,72.1,98,0,8.4,145,68.7,9,48,,87.8,90.8,82.1,89.5,60.0,68.8,0,0,151,,94.9,0.0,0,7,0,1,2,2,1.3,911,6.7,2,64.1,39,44,11.5,3.25,2,4,7.8,52.3,23,66,8.0,66,31.3,2,20,,21.6,67.4,79.4,65.7,,65.5,1,2,73,19.7,82.5,19.7,13,9,0,2,3,4,5.5,349,7.9
C.J. Stroud,129759,QB,HST,5,207,70.0,50,51,8.0,2.51,0,0,0.0,62.7,32,24,8.6,57,27.5,3,22,,81.5,62.2,78.7,61.8,,,1,0,60,20.8,109.8,8.8,5,0,0,0,3,2,3.3,439,8.6,0,13,57.6,75.3,72.0,74.5,76.5,119,135,8.8,2.81,2,4,2.8,60.7,82,44,9.9,150,72.5,9,50,,44.2,77.2,82.2,74.7,,70.4,1,0,157,13.6,94.1,4.0,6,8,5,8,4,3,1.9,1022,7.6,79.8,124,134,8.6,2.43,2,4,2.9,66.4,89,0,10.1,139,67.1,10,58,,87.5,90.9,81.9,88.9,,72.6,0,0,145,,113.2,0.0,0,3,5,3,7,1,0.7,1235,9.2,1,60.0,45,52,8.5,3.33,0,0,0.0,48.1,25,68,7.4,68,32.9,2,14,,26.0,35.6,79.4,35.2,,62.5,2,0,72,16.2,60.3,16.2,11,5,0,5,0,4,5.6,226,4.3
Daniel Jones,39395,QB,NYG,5,197,70.7,41,45,6.2,2.96,1,0,0.0,62.2,28,36,3.4,63,32.0,1,17,,25.2,39.3,79.0,35.2,,67.6,1,1,66,22.2,66.7,12.7,8,10,0,2,0,5,7.6,238,5.3,0,21,42.9,65.6,57.4,81.6,79.8,99,106,6.5,2.78,2,4,3.7,71.7,76,55,3.8,134,68.0,3,32,,63.8,78.8,81.9,71.5,58.9,90.0,1,5,142,36.4,73.9,14.9,20,8,0,4,2,3,2.1,646,6.1,80.2,101,102,6.2,2.24,1,4,3.9,76.5,78,0,3.7,106,53.8,3,35,,85.5,83.2,80.8,80.0,,72.7,0,3,108,,88.6,0.0,0,4,0,0,2,3,2.8,699,6.9,0,69.2,39,49,6.9,3.54,2,0,0.0,53.1,26,91,3.7,91,46.2,1,14,,24.4,40.6,80.6,29.2,58.9,83.5,2,3,100,30.8,36.5,30.8,28,14,0,6,0,5,5.0,185,3.8
Josh Allen,46601,QB,BUF,5,196,85.4,48,52,7.6,2.66,0,2,3.6,73.1,38,23,7.3,59,30.1,3,26,,81.9,84.3,78.9,78.8,,80.3,1,0,64,17.4,115.9,6.8,4,3,0,3,3,1,1.6,421,8.1,0,4,70.2,89.0,86.1,72.9,81.7,115,123,9.2,3.04,3,8,6.3,73.2,90,37,4.3,137,69.9,4,46,,87.6,86.9,82.0,84.2,,70.3,0,5,146,13.5,101.2,3.6,5,9,1,4,8,5,3.4,986,8.0,88.2,127,132,7.6,2.48,3,7,5.1,80.3,106,0,5.4,136,69.4,6,53,,87.5,92.8,81.9,92.2,,56.0,0,2,143,,114.3,0.0,0,4,1,1,7,2,1.4,1149,8.7,0,63.9,36,43,12.8,3.95,0,3,6.7,51.2,22,60,4.3,60,30.6,1,19,,82.2,64.9,79.0,54.6,,86.5,1,3,67,15.0,71.7,15.0,9,8,0,6,4,4,6.0,258,6.0
