player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Puka Nacua,100632,WR,LA,3,40,0,26,0,0.0,0,100.0,,0,0,0.0,0,0,0,84.5,57.6,0,5,0.0,0,6,2,100.0,6,79.2,2,5.0,0,6,6,3.0,3.0,1.0,6.3,0,75.0,0.0,0,1,0.0,0,4,0,57.5,82.7,0,16,0.0,0,48,6,89.6,43,92.2,8,20.0,0,53,26,4.3,8.8,1.23
Keenan Allen,7857,WR,LAC,3,39,0,27,0,-1.8,0,100.0,,0,0,0.0,0,0,0,90.9,74.7,0,9,0.0,0,19,6,100.0,19,89.6,6,15.4,0,33,44,7.3,5.5,1.74,6.4,1,81.8,0.0,0,2,0.0,0,10,1,90.5,88.3,0,36,2.2,2,90,18,95.6,86,120.5,22,56.4,1,204,91,5.1,11.3,2.37
Davante Adams,8688,WR,LV,3,37,0,23,0,1.0,1,100.0,,0,0,0.0,0,1,0,78.7,92.3,0,16,0.0,0,7,1,100.0,7,158.3,1,2.7,1,16,15,15.0,16.0,2.29,10.5,0,75.0,50.0,1,2,0.0,0,3,0,88.7,88.4,0,21,0.0,0,18,3,94.4,17,110.4,4,10.8,0,44,6,2.0,14.7,2.59
Justin Jefferson,61398,WR,MIN,3,37,0,18,0,-3.5,1,100.0,,0,0,0.0,0,1,0,84.5,73.2,0,8,0.0,0,9,2,100.0,9,89.6,2,5.4,0,11,18,9.0,5.5,1.22,14.0,3,69.2,,0,0,0.0,0,6,1,87.3,90.1,0,52,0.0,0,48,9,93.8,45,137.5,13,35.1,1,201,99,11.0,22.3,4.47
Tyreek Hill,10799,WR,MIA,3,35,0,17,0,-3.0,0,100.0,,0,0,0.0,0,0,0,84.5,55.2,0,4,0.0,0,6,2,100.0,6,79.2,2,5.7,0,-1,5,2.5,-0.5,-0.17,15.6,1,72.7,0.0,0,1,11.1,1,6,0,77.3,94.7,1,47,0.0,0,29,8,93.1,27,75.6,11,31.4,0,134,32,4.0,16.8,4.96
Ja'Marr Chase,84270,WR,CIN,3,32,0,7,0,-3.0,3,100.0,,0,0,0.0,0,0,0,90.6,90.2,0,7,0.0,0,10,5,100.0,10,85.8,5,15.6,0,23,38,7.6,4.6,2.3,2.1,3,100.0,100.0,1,1,0.0,0,6,0,70.1,72.2,0,16,0.0,0,33,13,97.0,32,94.9,13,40.6,0,88,61,4.7,6.8,2.75
Chris Olave,84355,WR,NO,3,32,0,20,0,-2.7,0,100.0,,0,0,0.0,0,0,0,88.7,74.8,0,9,0.0,0,8,3,100.0,8,90.3,3,9.4,0,17,25,8.3,5.7,2.13,11.5,0,72.7,0.0,0,1,0.0,0,4,0,90.0,92.7,1,21,0.0,0,46,8,93.5,43,55.1,11,34.4,0,80,30,3.8,10.0,1.86
Michael Pittman Jr.,29049,WR,IND,3,32,0,14,0,-1.3,0,100.0,,0,0,0.0,0,2,0,91.1,84.8,0,39,0.0,0,19,7,100.0,19,143.2,7,21.9,1,62,71,10.1,8.9,3.26,2.3,0,100.0,100.0,1,1,0.0,0,2,1,83.5,71.0,0,12,0.0,0,31,6,96.8,30,90.3,6,18.8,0,34,20,3.3,5.7,1.13
Stefon Diggs,9579,WR,BUF,3,31,0,4,0,-2.3,1,100.0,,0,0,0.0,0,1,0,88.7,68.8,0,16,0.0,0,12,3,100.0,12,87.5,3,9.7,0,15,22,7.3,5.0,1.25,12.3,0,62.5,,0,0,0.0,0,3,0,90.4,84.1,1,15,0.0,0,42,5,95.2,40,69.3,8,25.8,1,29,3,0.6,5.8,0.73
A.J. Brown,48327,WR,PHI,3,28,0,24,0,-1.0,0,100.0,,0,0,0.0,0,0,0,84.5,56.1,0,1,0.0,0,6,1,83.3,5,79.2,1,3.6,0,1,2,2.0,1.0,0.2,4.8,0,80.0,,0,0,20.0,1,2,0,84.7,90.3,0,28,0.0,0,23,4,100.0,23,105.0,5,17.9,0,46,33,8.3,11.5,2.0
