player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kirk Cousins,7102,QB,MIN,2,2.61,2.6,2.68,3.8,93,18,84.4,45,45,5.0,1.97,0,0,0.0,80.0,36,13,5.3,46,49.5,2,18,80.0,76.6,77.7,75.1,,0,1,47,7.7,106.5,2.2,1,0,0,0,3,0,0.0,290,6.4,77.5,40,43,11.6,3.24,0,2,4.3,65.1,28,17,9.7,47,50.5,3,16,23.0,72.7,78.0,72.2,58.3,2,0,50,17.6,120.1,6.4,3,1,0,1,3,2,4.0,418,9.7
Jalen Hurts,40291,QB,PHI,2,3.25,2.76,4.57,6.32,69,24,92.0,25,25,4.5,1.94,0,0,0.0,88.0,22,4,4.3,26,37.7,1,6,76.8,78.3,75.8,76.7,,0,0,27,25.0,91.0,3.8,1,0,0,0,0,1,3.7,146,5.8,73.1,26,31,14.5,4.04,0,2,6.1,58.1,18,23,5.3,43,62.3,1,8,80.0,67.3,77.7,69.5,55.0,1,1,47,26.1,87.7,14.0,6,6,0,4,2,2,4.3,217,7.0
Mac Jones,60323,QB,NE,1,2.38,2.29,2.7,4.6,58,19,77.4,31,32,3.5,1.76,1,1,3.0,71.9,23,6,4.2,32,55.2,1,9,77.9,70.9,76.5,69.9,,0,1,33,0.0,91.9,0.0,0,0,0,0,2,1,3.0,170,5.3,66.7,21,22,15.2,3.15,0,3,13.6,54.5,12,12,14.3,26,44.8,2,10,76.8,81.7,75.8,78.2,69.0,1,0,27,16.7,90.3,7.7,2,2,0,0,1,2,7.4,146,6.6
C.J. Stroud,129759,QB,HST,1,2.75,2.59,3.3,4.53,53,13,76.0,25,25,4.3,1.89,0,0,0.0,68.0,17,6,10.5,25,47.2,2,7,76.6,74.9,75.6,73.6,,0,0,26,0.0,84.3,0.0,0,0,0,0,0,0,0.0,153,6.1,72.2,18,18,8.3,3.65,0,0,0.0,61.1,11,19,15.4,27,50.9,2,7,26.5,41.0,76.3,41.8,56.6,0,0,31,26.3,73.6,18.5,5,4,0,0,0,2,6.5,89,4.9
Kenny Pickett,60515,QB,PIT,1,2.91,2.72,4.26,4.7,51,25,75.0,16,16,5.2,1.85,0,0,0.0,75.0,12,5,0.0,16,31.4,0,4,73.9,61.9,73.9,61.6,,0,0,16,0.0,110.4,0.0,0,0,0,0,1,0,0.0,96,6.0,71.4,28,29,8.7,3.39,0,0,0.0,65.5,19,19,5.0,35,68.6,1,5,78.6,49.3,76.9,50.5,58.3,1,2,37,26.3,47.5,14.3,5,1,0,0,0,2,5.4,136,4.7
Justin Fields,82118,QB,CHI,1,3.19,2.78,3.68,5.53,49,6,92.3,13,13,3.7,1.97,0,1,7.7,69.2,9,3,25.0,14,28.6,3,6,73.2,79.1,73.5,77.5,,0,0,14,33.3,118.1,7.1,1,0,0,0,1,0,0.0,102,7.8,71.4,21,24,3.6,3.78,1,0,0.0,62.5,15,23,0.0,34,69.4,0,8,27.6,52.8,76.9,34.7,86.7,1,1,37,13.0,56.6,8.8,3,7,0,1,0,2,5.4,114,4.8
Josh Allen,46601,QB,BUF,1,2.95,2.71,3.32,4.9,49,4,90.9,22,22,2.7,1.88,0,0,0.0,86.4,19,1,5.0,22,44.9,1,5,75.9,67.4,75.2,66.7,,0,1,23,0.0,71.2,0.0,0,0,0,0,0,1,4.3,124,5.6,58.8,17,18,15.4,3.81,0,2,11.1,55.6,10,20,0.0,27,55.1,0,8,76.8,44.9,75.8,42.8,63.2,0,2,27,25.0,53.2,18.5,5,4,0,1,1,3,11.1,112,6.2
Tua Tagovailoa,60326,QB,MIA,1,2.5,2.45,,4.8,46,17,75.0,24,26,6.8,1.8,2,1,3.8,61.5,16,8,11.1,26,56.5,2,11,76.6,89.2,75.6,86.7,,0,0,26,0.0,101.6,0.0,0,0,0,0,1,0,0.0,221,8.5,66.7,18,19,19.7,3.41,0,5,25.0,63.2,12,6,0.0,20,43.5,0,13,75.4,93.7,74.9,92.1,64.4,0,1,21,0.0,120.0,0.0,0,1,0,1,2,1,4.8,245,12.9
Anthony Richardson,124393,QB,IND,1,2.92,2.48,4.88,5.05,45,14,75.0,20,22,6.2,1.9,2,0,0.0,68.2,15,2,0.0,22,48.9,0,8,75.9,69.6,75.2,68.7,,0,0,23,0.0,106.3,0.0,0,0,0,0,1,0,0.0,170,7.7,76.9,13,15,4.0,3.91,0,0,0.0,60.0,9,11,10.0,23,51.1,1,5,76.1,33.7,75.3,34.4,54.5,2,1,24,36.4,39.0,17.4,4,4,0,0,0,1,4.2,53,3.5
Patrick Mahomes,11765,QB,KC,1,3.39,3.14,,5.02,45,16,66.7,12,12,2.5,1.82,0,0,0.0,58.3,7,0,12.5,12,26.7,1,1,72.4,65.8,73.4,65.1,,0,1,12,,28.5,0.0,0,0,0,0,0,0,0.0,36,3.0,64.0,25,27,13.0,3.96,0,2,6.7,51.9,14,20,12.5,33,73.3,2,12,78.4,81.2,76.8,75.8,75.3,0,0,36,0.0,99.3,0.0,0,6,0,2,2,1,2.8,190,7.0
Daniel Jones,39395,QB,NYG,1,3.15,2.81,2.99,4.7,42,21,83.3,12,13,3.0,1.92,0,0,0.0,69.2,9,6,10.0,13,31.0,1,2,73.9,67.9,73.9,67.2,,1,1,16,0.0,47.9,0.0,0,0,0,0,0,0,0.0,63,4.8,50.0,14,15,7.9,3.7,0,0,0.0,40.0,6,22,14.3,29,69.0,1,5,26.0,33.7,76.1,30.0,57.9,0,1,30,31.8,21.3,24.1,7,7,0,1,0,3,10.0,49,3.3
Bryce Young,123943,QB,CAR,1,3.21,3.02,3.55,6.55,42,5,81.8,11,14,3.7,2.13,0,0,0.0,64.3,9,6,0.0,14,33.3,0,4,73.5,65.2,73.7,64.6,,0,0,15,0.0,98.5,0.0,0,0,0,3,1,0,0.0,64,4.6,61.1,18,24,10.4,3.75,0,0,0.0,45.8,11,13,0.0,28,66.7,0,6,77.6,28.5,76.3,28.5,62.0,1,2,31,15.4,19.8,7.1,2,2,0,5,0,2,6.5,82,3.4
Justin Herbert,28237,QB,LAC,1,2.61,2.43,2.67,5.35,42,27,85.7,14,15,3.7,1.64,0,0,0.0,80.0,12,4,0.0,16,38.1,0,3,74.2,65.9,74.1,65.3,,0,0,17,25.0,105.8,6.3,1,0,0,1,1,0,0.0,61,4.1,64.7,17,18,10.5,3.48,0,1,4.8,61.1,11,11,0.0,24,57.1,0,10,76.8,67.9,75.8,63.7,70.2,0,0,27,18.2,91.7,8.3,2,4,0,1,0,0,0.0,167,9.3
Ryan Tannehill,7014,QB,TEN,1,3.09,2.83,3.57,5.57,40,31,69.2,13,14,3.6,2.04,1,0,0.0,64.3,9,2,0.0,14,35.0,0,3,73.2,34.9,73.5,36.6,,0,1,14,0.0,49.7,0.0,0,0,0,0,0,3,21.4,80,5.7,50.0,18,20,13.9,3.66,1,0,0.0,35.0,7,15,22.2,26,65.0,2,5,77.2,58.4,76.0,61.9,49.1,0,2,29,20.0,16.3,11.5,3,3,0,1,0,1,3.4,118,5.9
Sam Howell,97599,QB,WAS,1,2.96,2.73,3.82,5.5,40,32,91.7,12,13,1.2,1.94,1,0,0.0,69.2,9,0,18.2,13,32.5,2,2,73.2,71.0,73.5,70.1,,0,0,14,,74.5,0.0,0,0,0,0,0,0,0.0,46,3.5,68.8,16,18,12.6,3.58,0,0,0.0,55.6,10,12,9.1,26,65.0,1,9,24.3,56.8,76.3,57.5,57.5,0,1,31,50.0,79.9,23.1,6,2,0,2,1,2,6.5,156,8.7
Matthew Stafford,4924,QB,LA,1,2.64,2.58,,4.7,39,26,87.5,16,16,6.9,1.94,0,0,0.0,75.0,12,2,14.3,16,41.0,2,6,74.2,78.5,74.1,76.9,,0,0,17,0.0,94.3,0.0,0,0,0,0,0,0,0.0,114,7.1,65.0,20,22,14.7,3.13,0,5,21.7,54.5,12,7,7.7,23,59.0,1,11,76.1,92.3,75.3,90.5,65.9,0,0,24,0.0,90.3,0.0,0,1,0,2,0,0,0.0,226,10.3
Baker Mayfield,46518,QB,TB,1,2.66,2.31,4.1,6.07,38,30,76.5,17,20,6.0,1.8,2,0,0.0,60.0,12,3,7.7,20,52.6,1,7,75.1,72.3,74.7,71.1,,0,0,20,0.0,73.8,0.0,0,0,0,1,0,0,0.0,104,5.2,69.2,13,14,9.1,3.61,0,1,7.1,64.3,9,6,0.0,18,47.4,0,3,74.5,77.3,74.3,82.2,52.2,0,0,18,16.7,115.8,5.6,1,3,0,1,2,0,0.0,69,4.9
Derek Carr,8671,QB,NO,1,2.89,2.74,3.43,5.6,38,20,87.5,16,16,7.1,2.02,0,1,6.3,87.5,14,3,0.0,17,44.7,0,6,74.2,61.5,74.1,61.3,,0,1,17,33.3,79.9,5.9,1,0,0,0,0,1,5.9,151,9.4,56.3,16,17,17.4,3.59,0,1,5.6,52.9,9,14,0.0,21,55.3,0,6,75.6,70.8,75.0,71.0,58.3,1,0,22,21.4,103.6,14.3,3,1,0,0,1,0,0.0,154,9.1
Russell Wilson,7077,QB,DEN,1,2.82,2.7,4.15,4.0,36,10,94.1,17,17,2.2,1.86,0,0,0.0,94.1,16,1,0.0,17,47.2,0,4,74.8,64.0,74.5,63.5,,0,0,19,0.0,86.5,0.0,0,0,0,0,0,0,0.0,81,4.8,78.6,14,16,8.4,3.68,0,1,5.6,68.8,11,7,0.0,19,52.8,0,7,23.7,66.6,75.0,79.8,29.4,0,0,22,28.6,124.0,10.5,2,1,0,2,2,1,4.5,96,6.0
Jared Goff,10635,QB,DET,1,2.41,2.39,3.1,,35,11,84.6,13,16,3.7,1.64,2,0,0.0,56.3,9,2,18.2,16,45.7,2,4,73.9,66.8,73.9,66.2,,0,0,16,0.0,70.6,0.0,0,0,0,1,0,0,0.0,83,5.2,81.3,16,18,9.6,3.05,1,1,5.3,72.2,13,8,0.0,19,54.3,0,7,75.1,77.0,74.7,75.5,,0,0,20,12.5,119.9,5.3,1,0,0,1,1,0,0.0,169,9.4
Deshaun Watson,11767,QB,CLV,1,3.26,2.98,2.95,5.43,35,8,72.7,11,11,10.3,1.96,0,0,0.0,63.6,7,1,12.5,11,31.4,1,4,71.9,67.9,72.6,67.1,,0,0,11,0.0,100.6,0.0,0,0,0,0,1,0,0.0,40,3.6,66.7,15,18,11.1,3.85,0,1,5.6,50.0,9,12,10.0,24,68.6,1,6,76.1,57.8,75.6,58.8,57.5,3,1,24,16.7,47.0,8.3,2,4,0,0,0,0,0.0,114,6.3
Trevor Lawrence,77632,QB,JAX,1,2.34,2.24,3.05,4.1,35,15,75.0,20,20,4.7,1.68,0,1,5.0,75.0,15,1,0.0,20,57.1,0,3,75.1,58.4,74.7,58.3,,0,0,20,0.0,90.8,0.0,0,0,0,0,0,1,5.0,126,6.3,90.9,11,12,11.2,3.22,1,2,15.4,75.0,9,7,10.0,15,42.9,1,8,73.5,96.2,73.9,94.2,65.6,0,1,16,28.6,109.4,13.3,2,1,0,0,2,0,0.0,115,9.6
Brock Purdy,77672,QB,SF,1,2.9,2.69,3.07,5.65,34,28,73.3,15,15,6.3,2.03,0,0,0.0,66.7,10,3,9.1,15,44.1,1,6,73.5,70.2,73.7,69.2,,0,0,15,0.0,111.5,0.0,0,0,0,0,1,0,0.0,114,7.6,90.9,11,14,11.6,3.58,2,0,0.0,64.3,9,12,10.0,19,55.9,1,8,15.8,70.8,74.5,67.9,66.0,0,0,19,25.0,111.0,15.8,3,2,0,1,1,2,10.5,106,7.6
Joshua Dobbs,11890,QB,ARZ,1,2.46,2.43,3.57,,34,1,70.6,17,17,3.1,1.92,0,0,0.0,64.7,11,2,8.3,17,50.0,1,3,74.8,47.7,74.5,48.5,,0,0,19,0.0,68.5,0.0,0,0,0,0,0,2,10.5,37,2.2,76.9,13,13,9.2,3.18,0,0,0.0,76.9,10,7,0.0,16,47.1,0,6,74.2,56.3,74.3,57.7,57.9,0,0,18,42.9,96.6,18.8,3,0,0,0,0,1,5.6,95,7.3
