"","position","full_name","fpt_proj","pass_attempt","passing_yards_proj","pass_touchdown_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","team_name","player_game_count","accuracy_percent","aimed_passes","attempts","avg_depth_of_target","avg_time_to_throw","bats","big_time_throws","btt_rate","completion_percent","completions","declined_penalties","def_gen_pressures"
"1","qb1","Brock Purdy",22.6,35.56,267.49,1.91,"2024_15_LA_SF",48.5,"LA",-3,1,"2024-12-12","Thursday","20:15",77672,"SF",12,74.2,330,349,9.2,3.07,7,14,3.8,66.8,233,0,156
"2","qb2","Jared Goff",22.48,37.75,269.8,1.99,"2024_15_BUF_DET",54.5,"BUF",-2.5,1,"2024-12-15","Sunday","16:25",10635,"DET",13,79.5,352,381,7.2,2.66,4,10,2.5,72.4,276,0,135
"3","qb3","Jayden Daniels",22.38,33.46,233.81,1.66,"2024_15_WAS_NO",44,"NO",-7.5,0,"2024-12-15","Sunday","13:00",97993,"WAS",13,79.2,336,362,7.8,2.94,8,14,3.6,69.6,252,1,149
"4","qb4","Cj Stroud",21.79,36.95,257.75,1.91,"2024_15_MIA_HOU",46.5,"MIA",-3,1,"2024-12-15","Sunday","13:00",129759,"HOU",13,72.3,401,430,8.3,2.97,5,20,4.4,63.3,272,0,187
"5","qb5","Jordan Love",21.16,35.54,258.35,1.94,"2024_15_GB_SEA",45.5,"SEA",-2.5,0,"2024-12-15","Sunday","20:20",40306,"GB",11,75.5,302,328,9.5,2.75,5,14,4,62.8,206,1,119
"6","qb6","Josh Allen",20.73,38.05,264.79,1.89,"2024_15_BUF_DET",54.5,"DET",2.5,0,"2024-12-15","Sunday","16:25",46601,"BUF",13,73.4,361,393,8.3,2.79,8,29,6.9,64.1,252,0,143
"7","qb7","Kyler Murray",20.53,36.05,257.68,1.68,"2024_15_NE_ARI",46.5,"NE",-5.5,1,"2024-12-15","Sunday","16:25",38334,"ARI",13,75.7,370,396,7.7,2.86,9,19,4.5,68.4,271,0,138
"8","qb8","Joe Burrow",20.4,39.07,278.22,1.97,"2024_15_CIN_TEN",46,"TEN",-5,0,"2024-12-15","Sunday","13:00",28022,"CIN",13,77.3,459,490,8,2.69,5,26,5,68.4,335,1,189
"9","qb9","Baker Mayfield",19.41,37.72,262.61,1.72,"2024_15_TB_LAC",45.5,"LAC",2.5,0,"2024-12-15","Sunday","16:25",46518,"TB",13,78.3,415,436,6.7,2.7,10,16,3.5,70.2,306,0,122
"10","qb10","Sam Darnold",19.26,34.2,254.22,1.71,"2024_15_CHI_MIN",43.5,"CHI",-6.5,1,"2024-12-16","Monday","20:00",29048,"MIN",13,79.2,351,386,9.5,3.11,5,29,6.9,68.4,264,0,169
"11","qb11","Jalen Hurts",19.2,35.24,252.62,1.33,"2024_15_PIT_PHI",43,"PIT",-5.5,1,"2024-12-15","Sunday","16:25",40291,"PHI",13,79.9,289,325,8.5,3.2,7,14,4.1,68.3,222,0,157
"12","qb12","Tua Tagovailoa",19.15,39.24,264.8,1.75,"2024_15_MIA_HOU",46.5,"HOU",3,0,"2024-12-15","Sunday","13:00",60326,"MIA",9,80.5,313,325,6.1,2.29,6,9,2.6,73.8,240,1,81
"13","qb13","Justin Herbert",19.12,34.33,233.63,1.59,"2024_15_TB_LAC",45.5,"TB",-2.5,1,"2024-12-15","Sunday","16:25",28237,"LAC",13,75.1,341,366,9.3,2.93,7,26,6.7,63.9,234,0,145
"14","qb14","Kirk Cousins",18.76,35.32,253.88,1.81,"2024_15_ATL_LV",44,"LV",-4,0,"2024-12-16","Monday","20:30",7102,"ATL",13,76.6,397,436,8,2.53,15,12,2.6,67,292,0,147
"15","qb15","Derek Carr",18.22,33.54,237.22,1.57,"2024_15_WAS_NO",44,"WAS",7.5,1,"2024-12-15","Sunday","13:00",8671,"NO",10,78.7,253,279,8.6,2.64,3,16,5.4,67.7,189,0,94
