"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","total_line","opp","spread","home","attempts_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd","touches_game_sd","gameday","weekday"
"1","RB1","Derrick Henry","2024_15_BAL_NYG",0.703,16.8,17.6,89.3,0.9,42.5,"NYG",-16.5,0,18.5,5.9,1,0.59,1.1,0.95,91.1,0.21,-0.047,1.31,0.38,NA,0.61,NA,1.46,"2024-12-15","Sunday"
"2","RB2","Josh Jacobs","2024_15_GB_SEA",0.534,16.1,16.6,80.7,0.8,45.5,"SEA",-2.5,0,18.4,4.4,0.8,0.6,2.5,1.26,90.4,0.27,-0.084,0.38,-0.16,NA,0.52,NA,1.61,"2024-12-15","Sunday"
"3","RB3","Saquon Barkley","2024_15_PIT_PHI",0.754,16,18.6,85.2,0.7,43,"PIT",-5.5,1,20.5,6.1,0.8,0.56,2.6,1.11,84.3,0.2,-0.109,1.93,-0.52,NA,0.43,NA,1.94,"2024-12-15","Sunday"
"4","RB4","Bijan Robinson","2024_15_ATL_LV",0.62,15.8,16.3,71.6,0.7,44,"LV",-4,0,16.5,4.5,0.6,0.6,4.4,1.37,90.9,0.24,-0.087,0.3,-0.2,NA,-0.04,NA,1.62,"2024-12-16","Monday"
"5","RB5","Joe Mixon","2024_15_MIA_HOU",0.43,14.8,16.8,76.2,0.6,46.5,"MIA",-3,1,20.5,4.3,1.1,0.66,3.7,1.33,74.8,0.18,-0.117,-0.88,-0.63,NA,-0.13,NA,2.02,"2024-12-15","Sunday"
"6","RB6","Chuba Hubbard","2024_15_DAL_CAR",0.531,14.2,18.4,83,0.6,43,"DAL",-3,1,16.5,4.7,0.6,0.69,3.3,0.49,83.5,0.2,0.083,0.16,2.26,NA,0.45,NA,1.41,"2024-12-15","Sunday"
"7","RB7","Jahmyr Gibbs","2024_15_BUF_DET",0.751,14.1,15.1,57.4,0.6,54.5,"BUF",-2.5,1,13.7,5.7,0.8,0.42,3.2,1.46,85.5,0.23,-0.125,1.06,-0.75,NA,0.54,NA,0.97,"2024-12-15","Sunday"
"8","RB8","Alvin Kamara","2024_15_WAS_NO",0.741,14.1,16.3,62.2,0.4,44,"WAS",7.5,1,17.2,4.2,0.5,0.59,6.3,1.64,77.3,0.16,-0.035,0.71,0.55,NA,-0.3,NA,1.85,"2024-12-15","Sunday"
"9","RB9","David Montgomery","2024_15_BUF_DET",0.713,14,15.1,54,0.7,54.5,"BUF",-2.5,1,13.8,4.3,0.9,0.43,2.5,2.26,79.3,0.26,-0.125,1.06,-0.75,NA,0.16,NA,0.97,"2024-12-15","Sunday"
"10","RB10","Chase Brown","2024_15_CIN_TEN",0.257,13.7,13.5,59.8,0.4,46,"TEN",-5,0,12.8,4.4,0.5,0.57,4.1,1.22,74,0.22,-0.105,-0.35,-0.46,NA,0.05,NA,0.96,"2024-12-15","Sunday"
"11","RB11","Kyren Williams","2024_15_LA_SF",0.776,13.6,17.1,77.5,0.7,48.5,"SF",3,0,19.3,4,0.9,0.74,2.5,0.52,70.5,0.17,-0.028,-0.08,0.65,NA,-0.4,NA,1.76,"2024-12-12","Thursday"
"12","RB12","James Conner","2024_15_NE_ARI",0.379,13.5,15.7,67.7,0.5,46.5,"NE",-5.5,1,15.5,4.3,0.4,0.57,3.2,1.47,87.3,0.3,-0.061,0.25,0.18,NA,0.42,NA,1.26,"2024-12-15","Sunday"
"13","RB13","Brian Robinson","2024_15_WAS_NO",0.805,12.9,13.5,71,0.4,44,"NO",-7.5,0,13.8,4.6,0.8,0.33,1.5,0.9,77.7,0.19,0.02,1.64,1.35,NA,0.42,NA,0.78,"2024-12-15","Sunday"
"14","RB14","Kenneth Walker","2024_15_GB_SEA",0.435,12.7,16.8,63.2,0.6,45.5,"GB",2.5,1,14.5,3.7,0.7,0.48,4.4,1.32,91.1,0.38,-0.132,-1.03,-0.85,NA,0.06,NA,1.28,"2024-12-15","Sunday"
"15","RB15","Aaron Jones","2024_15_CHI_MIN",-0.08,12.5,14.3,67.3,0.4,43.5,"CHI",-6.5,1,15.2,4.5,0.3,0.49,3.2,1.33,72.7,0.17,-0.035,-0.6,0.55,NA,0.02,NA,1.23,"2024-12-16","Monday"
"16","RB16","Tony Pollard","2024_15_CIN_TEN",0.206,12.4,14.8,59.8,0.4,46,"CIN",5,1,16.4,4.4,0.3,0.63,3.9,0.88,76.1,0.15,0.04,-1.01,1.64,NA,0.7,NA,1.44,"2024-12-15","Sunday"
"17","RB17","James Cook","2024_15_BUF_DET",0.514,12.1,14.7,57.9,0.6,54.5,"DET",2.5,0,13.1,4.6,0.9,0.43,2.8,1.07,80.4,0.17,-0.144,1.43,-1.02,NA,0.13,NA,0.84,"2024-12-15","Sunday"
"18","RB18","Rhamondre Stevenson","2024_15_NE_ARI",0.129,11.8,15.3,64.1,0.3,46.5,"ARI",5.5,0,15,3.7,0.5,0.53,3.1,0.6,68.3,0.22,-0.035,-0.69,0.55,NA,-0.24,NA,1.17,"2024-12-15","Sunday"
"19","RB19","Tank Bigsby","2024_15_NYJ_JAX",0.365,11.8,13.2,68.4,0.3,40.5,"NYJ",3,1,10.9,5,0.5,0.4,0.6,0.49,79.1,0.32,-0.046,0.11,0.39,NA,1.31,NA,0.23,"2024-12-15","Sunday"
"20","RB20","Jordan Mason","2024_15_LA_SF",NA,11.4,12.6,60,0.4,48.5,"LA",-3,1,12.8,5.2,0.2,0.41,1.2,0.54,76.1,0.24,-0.032,0.27,0.6,NA,0.39,NA,0.58,"2024-12-12","Thursday"
"21","RB21","Christian Mccaffrey","2024_15_LA_SF",NA,11.3,11.9,55.6,0.3,48.5,"LA",-3,1,12.5,4,0,0.13,4.8,1.6,68.1,0.12,-0.032,0.27,0.6,NA,-0.4,NA,0.96,"2024-12-12","Thursday"
"22","RB22","Rico Dowdle","2024_15_DAL_CAR",0.028,11.1,14.8,60.2,0.3,43,"CAR",3,0,12.7,4.8,0.1,0.5,3.5,0.98,70.3,0.2,0.071,-0.69,2.08,NA,0.43,NA,0.84,"2024-12-15","Sunday"
"23","RB23","Justice Hill","2024_15_BAL_NYG",0.134,11,6.5,33.5,0.4,42.5,"NYG",-16.5,0,3.3,4.4,0.1,0.11,3.1,1.52,73.9,0.25,-0.047,1.31,0.38,NA,0.95,NA,-0.55,"2024-12-15","Sunday"
"24","RB24","Devon Achane","2024_15_MIA_HOU",0.113,11,11.2,51.5,0.2,46.5,"HOU",3,0,11.8,3.9,0.3,0.44,5.3,1.59,78,0.17,-0.147,-2.26,-1.07,NA,-0.28,NA,1.02,"2024-12-15","Sunday"
"25","RB25","Najee Harris","2024_15_PIT_PHI",0.575,11,13.5,55,0.3,43,"PHI",5.5,0,17.2,3.9,0.4,0.51,2.7,1.44,80.1,0.28,-0.173,-0.55,-1.44,NA,-0.18,NA,1.44,"2024-12-15","Sunday"
"26","RB26","Bucky Irving","2024_15_TB_LAC",0.414,11,12.4,60.2,0.3,45.5,"LAC",2.5,0,10.5,5.4,0.5,0.39,2.8,1.76,82.9,0.33,-0.109,0.93,-0.52,NA,1.26,NA,0.52,"2024-12-15","Sunday"
"27","RB27","Dandre Swift","2024_15_CHI_MIN",0.104,10.8,14.4,54.6,0.3,43.5,"MIN",6.5,0,14.8,3.8,0.4,0.59,3,1.16,65.8,0.16,-0.215,-0.18,-2.05,NA,-0.74,NA,1.16,"2024-12-16","Monday"
"28","RB28","Jonathan Taylor","2024_15_IND_DEN",0.371,10.6,11.8,55.4,0.3,44,"DEN",4,0,18.6,4.3,0.5,0.54,2.2,0.62,54.5,0.14,-0.137,-0.37,-0.92,NA,-0.41,NA,1.53,"2024-12-15","Sunday"
"29","RB29","Kareem Hunt","2024_15_KC_CLE",0.36,10.4,13.5,50.4,0.3,43,"CLE",-4,0,16.7,3.6,0.5,0.47,2.3,0.88,68.4,0.14,-0.075,0.51,-0.03,NA,-0.86,NA,1.34,"2024-12-15","Sunday"
