"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate"
"1","WR1","Terry Mclaurin",17.66,5.48,70.51,0.75,"2024_17_ATL_WAS",46.5,"ATL",-3.5,1,"2024-12-29","Sunday","20:20",48229,"WR","WAS",15,14.4,4,74.5,70,21,30,0,3.9,3,52,32,0,82.5,50.1,81.2,NA,84.8,0,0,1,86,0,0,508,1,93.7
"2","WR2","Zay Flowers",16.3,5.44,70.17,0.46,"2024_17_BAL_HOU",46.5,"HOU",-5.5,0,"2024-12-25","Wednesday","16:30",97268,"WR","BLT",15,10.5,17,67.9,50,8,16,0,5.3,4,46,3,0,71.2,83.1,81.6,NA,83.4,0,0,0,53,0,0,479,2,93.9
"3","WR3","Mike Evans",16.07,5.31,71.65,0.5,"2024_17_CAR_TB",47.5,"CAR",-9.5,1,"2024-12-29","Sunday","13:00",8642,"WR","TB",12,13.1,4,67.9,62.5,10,16,0,6.6,4,43,30,0,68.3,80,85.6,NA,84.4,0,0,4,57,0,0,371,0,93.8
"4","WR4","Khalil Shakir",15.91,4.9,69.63,0.61,"2024_17_NYJ_BUF",44.5,"NYJ",-10,1,"2024-12-29","Sunday","13:00",84140,"WR","BUF",14,5.7,19,80.2,41.7,5,12,1,2.7,2,34,4,1,82.1,49.9,77.7,61.6,78.4,0.5,2,1,52,0.3,1,393,2,92.1
"5","WR5","Jamarr Chase",15.46,5.2,67.68,0.57,"2024_17_DEN_CIN",50.5,"DEN",-3.5,1,"2024-12-28","Saturday","16:30",84270,"WR","CIN",15,9.3,23,75.5,42.1,8,19,0,6.9,8,67,7,0,56.1,84.3,86.5,NA,85.7,0,0,6,70,0,0,642,1,93.6
"6","WR6","Josh Downs",14.88,4.82,64.89,0.53,"2024_17_IND_NYG",40.5,"NYG",-7.5,0,"2024-12-29","Sunday","13:00",122832,"WR","IND",12,7,7,68.6,45.5,5,11,0,4.8,3,34,14,0,77,85.6,86.2,64.5,86.6,0.3,1,3,69,0.3,1,317,2,95
"7","WR7","Drake London",14.83,5.3,67.35,0.33,"2024_17_ATL_WAS",46.5,"WAS",3.5,0,"2024-12-29","Sunday","20:20",86519,"WR","ATL",15,10.5,13,69.2,60.6,20,33,0,3.5,3,55,2,0,85.5,82.5,83.2,75.1,85.6,0.2,1,7,31,1.4,7,512,5,92
"8","WR8","Jaxon Smith-Njigba",14.8,4.89,61.06,0.67,"2024_17_SEA_CHI",43.5,"CHI",-3.5,0,"2024-12-26","Thursday","20:15",129758,"WR","SEA",15,9.6,12,75.6,45.8,11,24,0,2.1,2,54,29,1,90.5,58.4,83.2,NA,85.8,0,0,4,46,0,0,615,1,92.7
"9","WR9","Nico Collins",14.73,5.45,66.34,0.39,"2024_17_BAL_HOU",46.5,"BAL",5.5,1,"2024-12-25","Wednesday","16:30",61441,"WR","HST",10,11.4,8,68.2,53.8,7,13,1,4.8,3,42,13,0,78.3,80.8,91.6,75.8,91.7,0,0,5,67,0.6,2,332,3,94.3
"10","WR10","George Pickens",14.67,4.36,55.01,0.57,"2024_17_KC_PIT",43.5,"KC",3,1,"2024-12-25","Wednesday","13:00",99229,"WR","PIT",12,13.8,10,63.2,37.5,9,24,0,11.3,7,35,25,1,50.6,42.5,81.2,NA,82.4,0,0,2,44,0,0,384,4,93.2
