"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"1","RB1","Bijan Robinson","2024_18_CAR_ATL",0.521,18,17.6,82.4,0.77,3.7,30.5,48,"CAR",32,-8,1,17.2,80.8,4.7,0.8,0.6,4.1,1.2,91.6,0.24,0.082,0.42,2.13,NA,0.14
"2","RB2","Josh Jacobs","2024_18_CHI_GB",0.428,16.2,17.9,83.7,0.7,2.7,19.6,41,"CHI",26,-10,1,18.4,81,4.4,0.9,0.6,2.5,1.39,90.4,0.26,-0.027,0.5,0.65,NA,0.82
"3","RB3","Derrick Henry","2024_18_CLE_BAL",0.819,16,17.9,84.3,0.72,2,18.8,41,"CLE",14,-20,1,19.1,110.8,5.8,0.9,0.59,1.1,1.06,92.6,0.23,-0.106,1.53,-0.42,NA,0.92
"4","RB4","James Conner","2024_18_SF_ARI",0.77,16,16.1,78.6,0.56,3.4,22.7,42.5,"SF",28,-4,1,14.8,68.1,4.6,0.5,0.54,3.3,1.54,90.6,0.3,-0.009,0.46,0.9,NA,0.65
"5","RB5","Chuba Hubbard","2024_18_CAR_ATL",0.67,15.5,17.1,80.6,0.64,2.9,16.4,48,"ATL",18,8,0,16.7,80.2,4.8,0.7,0.66,3.5,0.51,87,0.2,-0.077,0.35,-0.02,NA,0.92
"6","RB6","Jahmyr Gibbs","2024_18_MIN_DET",0.59,14.9,14.3,63.4,0.62,3.9,29.1,56.5,"MIN",2,-2.5,1,14.2,79.5,5.6,0.8,0.45,3.6,1.65,90.2,0.24,-0.212,1.22,-1.85,NA,0.76
"7","RB7","Saquon Barkley","2024_18_NYG_PHI",1.097,14.3,18.8,91.6,0.55,1.8,16.5,37,"NYG",23,-3,1,21.6,125.3,5.8,0.8,0.58,2.4,0.93,85.6,0.2,-0.047,1.86,0.38,NA,0.43
"8","RB8","Jonathan Taylor","2024_18_JAX_IND",0.349,14,17.1,74.6,0.58,1.8,12.7,44,"JAX",20,-5,1,20.7,97.3,4.7,0.8,0.58,2.2,0.54,61.4,0.14,-0.055,-0.16,0.27,NA,-0.45
"9","RB9","Najee Harris","2024_18_CIN_PIT",0.219,13.3,14.2,63.6,0.5,2.6,19,48,"CIN",29,2,1,15.7,62.8,4,0.3,0.49,2.6,1.29,78.7,0.27,0.017,-0.52,1.25,NA,0.04
"10","RB10","Kenneth Walker","2024_18_SEA_LA",NA,13,14.2,65.5,0.52,3.6,22.7,38.5,"LA",19,-6.5,0,13.9,51.4,3.7,0.6,0.43,4.7,1.33,91.2,0.37,-0.064,-0.85,0.15,NA,0.23
"11","RB11","Joe Mixon","2024_18_HOU_TEN",0.282,13,16.6,72.2,0.52,2.3,16,37,"TEN",21,1.5,0,18.5,75.8,4.1,0.8,0.66,3.6,1.31,74.9,0.17,-0.049,-0.9,0.36,NA,-0.06
"12","RB12","Kyren Williams","2024_18_SEA_LA",0.362,12.7,16.9,72.4,0.51,2.1,15.9,38.5,"SEA",16,6.5,1,19.8,81.2,4.1,0.9,0.74,2.4,0.52,74,0.16,-0.104,0.03,-0.39,NA,-0.33
"13","RB13","Bucky Irving","2024_18_NO_TB",0.848,12.7,13.7,59.1,0.44,2.9,22.3,43.5,"NO",30,-14,1,11.8,64.9,5.5,0.4,0.42,2.9,1.83,85.5,0.3,0.027,1.18,1.38,NA,2.09
"14","RB14","Chase Brown","2024_18_CIN_PIT",0.204,12.5,14.6,60.9,0.36,3.6,28.2,48,"PIT",17,-2,0,14.3,61.5,4.3,0.4,0.62,3.9,1.06,73.8,0.22,-0.09,-0.08,-0.2,NA,0.28
"15","RB15","David Montgomery","2024_18_MIN_DET",0.488,12.4,12.8,53.6,0.49,3.4,26.8,56.5,"MIN",2,-2.5,1,13.2,55.4,4.2,0.9,0.37,2.6,2.24,78.9,0.26,-0.212,1.22,-1.85,NA,0.34
"16","RB16","James Cook","2024_18_BUF_NE",0.442,12.2,14.5,75.5,0.41,2.2,16.2,37.5,"NE",24,-2.5,0,13.1,65.5,5,1,0.43,2.5,1.16,85.7,0.17,-0.04,1.39,0.48,NA,0.7
"17","RB17","Alvin Kamara","2024_18_NO_TB",0.889,12.1,13.1,54.7,0.35,4.2,31.4,43.5,"TB",5,14,0,16.3,68.5,4.2,0.4,0.54,6.2,1.75,76.6,0.17,-0.15,0.48,-1.01,NA,-0.26
"18","RB18","Rico Dowdle","2024_18_WAS_DAL",0.411,11.8,14.4,62.6,0.39,2.3,16.2,44,"WAS",27,6,1,14.2,66.7,4.7,0.1,0.54,3.1,0.89,72.3,0.21,-0.015,-0.72,0.82,NA,0.8
