Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,13,468,321,3217,26,7.2,1777,1543,131,25.60%,39,7.60%,32,6.80%,16,87,17.00%,87
Buffalo Bills,13,417,245,2334,10,6.7,1178,1286,109,23.50%,68,14.70%,41,9.80%,23,132,28.50%,99
Carolina Panthers,13,383,254,2310,18,7.5,1359,1210,138,32.50%,54,12.70%,40,10.40%,32,126,29.60%,89
Chicago Bears,13,393,268,2814,24,7.6,1590,1491,103,23.20%,35,7.90%,19,4.80%,36,90,20.30%,89
Cincinnati Bengals,13,493,331,3338,19,8,1988,1585,114,20.80%,62,11.30%,41,8.30%,37,140,25.50%,87
Cleveland Browns,13,429,279,2795,23,7.7,1500,1482,104,21.60%,40,8.30%,44,10.30%,35,119,24.70%,70
Indianapolis Colts,14,490,316,3277,28,7.4,1719,1462,94,17.20%,27,4.90%,41,8.40%,30,98,17.90%,70
Arizona Cardinals,13,442,288,2728,19,7.3,1625,1311,163,32.90%,51,10.30%,41,9.30%,35,127,25.70%,86
Dallas Cowboys,13,471,283,3261,18,8.1,1577,1906,129,24.60%,59,11.20%,56,11.90%,31,146,27.80%,89
Denver Broncos,13,440,257,2842,16,8.9,1634,1402,139,28.30%,64,13.00%,34,7.70%,30,128,26.00%,62
Detroit Lions,13,406,268,3172,22,9.2,1958,1367,115,25.40%,52,11.50%,23,5.70%,20,95,21.00%,103
Green Bay Packers,13,456,284,2840,23,8.8,1557,1520,107,20.70%,53,10.20%,43,9.40%,30,126,24.30%,68
Houston Texans,13,418,275,3078,20,8.5,2006,1254,92,20.10%,42,9.20%,32,7.70%,26,100,21.80%,92
Jacksonville Jaguars,13,428,302,3140,17,7.5,1848,1477,149,31.40%,55,11.60%,42,9.80%,24,121,25.50%,100
Kansas City Chiefs,14,502,330,3512,22,7.6,1698,1939,162,29.30%,80,14.50%,51,10.20%,24,155,28.00%,68
Miami Dolphins,13,516,315,3311,20,8.3,1966,1597,214,38.10%,50,8.90%,68,13.20%,31,149,26.50%,90
Minnesota Vikings,13,460,290,3275,24,8.4,1838,1726,135,25.60%,69,13.10%,31,6.70%,41,141,26.70%,81
New Orleans Saints,13,459,287,3179,18,8.8,1737,1634,121,23.40%,42,8.10%,55,12.00%,29,126,24.30%,81
New England Patriots,14,442,257,2591,16,8.3,1462,1288,114,23.10%,59,11.90%,38,8.60%,33,130,26.30%,72
New York Giants,13,491,330,3181,23,7.3,1711,1624,130,24.30%,44,8.20%,29,5.90%,25,98,18.40%,77
New York Jets,13,425,300,3302,21,7.5,1711,1829,113,24.10%,39,8.30%,36,8.50%,30,105,22.40%,85
Tennessee Titans,13,496,312,3259,20,7.8,1845,1588,118,21.20%,63,11.30%,45,9.10%,32,140,25.20%,71
Philadelphia Eagles,13,450,317,2952,22,6.5,1577,1535,79,16.10%,56,11.40%,40,8.90%,21,117,23.80%,85
Pittsburgh Steelers,13,431,277,3014,19,8.2,1814,1426,128,26.10%,55,11.20%,35,8.10%,37,127,25.90%,99
Las Vegas Raiders,13,463,315,3007,24,8.3,1718,1431,63,12.00%,51,9.70%,51,11.00%,29,131,25.00%,86
Los Angeles Rams,13,491,328,3204,14,7.1,1712,1757,152,27.40%,66,11.90%,28,5.70%,36,130,23.50%,93
Baltimore Ravens,13,465,281,3459,21,8.6,1796,1846,175,34.70%,50,9.90%,56,12.00%,26,132,26.20%,89
Los Angeles Chargers,14,467,296,3105,22,7.9,1694,1608,133,25.30%,66,12.60%,47,10.10%,30,143,27.20%,109
Seattle Seahawks,13,518,348,3626,18,7.1,1706,2022,139,24.80%,59,10.50%,40,7.70%,21,120,21.40%,83
San Francisco 49ers,13,419,289,2772,19,7.9,1476,1517,100,20.90%,43,9.00%,31,7.40%,33,107,22.30%,81
Tampa Bay Buccaneers,13,532,362,3274,23,6.7,1778,1705,236,39.30%,70,11.70%,63,11.80%,35,168,28.00%,105
Washington Football Team,13,472,318,3368,27,8.3,2112,1395,159,30.60%,47,9.00%,48,10.20%,28,123,23.70%,78
