player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Malcolm Jenkins,4937,S,NO,12,455,0,20,2,7.8,53.8,87.9,20.4,11.0,0,2,15.4,62.9,1,31,16.7,2,2,44.7,7,153,33.6,174,1,8,13,0,93,43,0.7,13.3,0,2,5.3,83.3,94.0,12.4,10.3,0,2,8.3,64.8,0,26,3.6,1,2,124.1,20,265,58.2,282,12,25,24,2,171,75,0.7,8.6
Jason McCourty,5127,S,MIA,7,190,0,17,0,8.1,62.5,97.0,18.4,11.5,0,3,37.5,78.8,0,23,0.0,0,3,75.5,5,97,51.1,100,2,5,8,0,41,19,0.4,8.2,0,2,9.8,100.0,98.8,20.0,20.0,0,0,0.0,66.1,0,25,0.0,0,0,117.7,4,82,43.2,83,1,4,4,0,49,10,0.6,12.3
Steve McLendon,5232,DI,TB,8,2,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,16,0,0,0,0,0,0,,,0,0,,,1.4,,,0,0,,65.6,1,,0.0,0,0,0.0,0,1,50.0,72,0,1,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,11,7,0,30,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,80,1,1,0,0,0,0,,,0,0,3.0,100.0,1.4,3.0,3.0,1,0,0.0,57.9,0,5,0.0,0,0,87.5,1,3,42.9,212,4,2,1,0,5,2,1.7,5.0
Joe Haden,5532,CB,PIT,8,285,0,25,2,12.4,87.5,100.0,7.9,6.9,0,1,12.5,46.9,0,37,14.3,1,1,118.8,7,61,21.4,61,0,4,8,0,111,36,2.0,15.9,0,1,12.6,52.6,100.0,18.3,9.6,0,3,15.8,70.9,0,14,20.0,2,3,82.8,10,192,67.4,192,3,7,19,1,88,31,0.5,8.8
Jason Pierre-Paul,5540,ED,TB,9,41,0,30,0,,,1.4,,,0,0,,51.1,0,,50.0,1,0,0.0,0,1,2.4,72,1,1,0,0,0,0,0.0,,0,1,3.8,100.0,14.3,5.3,5.3,0,0,0.0,73.2,0,24,25.0,4,0,145.1,6,33,80.5,230,5,11,6,1,56,33,1.8,9.3
Kareem Jackson,5545,S,DEN,10,372,0,10,0,12.8,66.7,98.8,39.3,26.2,0,0,0.0,66.5,1,14,25.0,5,0,38.2,4,164,44.1,166,1,15,6,0,29,15,0.2,7.3,0,0,4.3,87.5,100.0,13.1,11.5,0,0,0.0,55.3,0,17,6.3,1,0,100.0,7,98,26.3,98,3,15,8,0,64,35,0.7,9.1
Devin McCourty,5552,S,NE,12,425,0,19,0,7.2,60.0,98.9,56.7,34.0,1,1,20.0,61.8,1,13,10.0,1,1,35.8,3,179,42.1,181,0,9,5,0,28,7,0.2,9.3,0,5,20.0,40.0,98.6,51.8,20.7,0,5,50.0,71.4,0,33,6.3,1,5,69.2,4,218,51.3,221,0,10,10,0,81,15,0.4,20.3
Jerry Hughes,5556,ED,BUF,11,14,0,4,0,14.0,0.0,5.3,,4.0,0,0,0.0,72.2,0,,0.0,0,0,39.6,0,4,28.6,76,1,1,1,0,0,0,0.0,,0,1,3.5,50.0,5.7,7.0,3.5,0,0,0.0,42.1,0,18,0.0,0,0,81.3,1,8,57.1,140,1,0,2,0,18,3,2.6,18.0
Carlos Dunlap,5579,ED,SEA,11,28,0,29,1,,,2.0,,,0,0,,60.6,0,,0.0,0,0,0.0,0,1,3.6,51,1,1,0,0,0,0,,,0,0,1.5,100.0,15.1,10.5,10.5,0,0,0.0,51.1,0,4,,0,0,79.2,2,22,78.6,146,0,0,2,0,5,2,0.2,2.5
Corey Peters,5607,DI,ARZ,8,3,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,24,0,0,0,0,0,0,,,0,0,,,6.1,,,0,0,,57.2,0,,,0,0,0.0,0,3,100.0,49,0,0,0,0,0,0,0.0,
Everson Griffen,5624,ED,MIN,9,8,0,18,0,,,0.0,,,0,0,,,0,,100.0,2,0,0.0,0,0,0.0,102,1,0,0,0,0,0,,,0,0,3.0,100.0,5.0,7.0,7.0,0,0,0.0,65.1,0,5,0.0,0,0,87.5,1,8,100.0,159,3,1,1,0,5,2,0.7,5.0
Al Woods,5646,DI,SEA,11,3,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,23,0,0,0,0,0,0,,,0,2,,,1.8,,,0,0,,58.1,0,,0.0,0,0,0.0,0,3,100.0,164,1,0,0,0,0,0,0.0,
Andrew Sendejo,6118,S,IND,9,323,0,14,1,16.3,25.0,89.9,56.0,14.0,1,1,25.0,61.7,0,31,0.0,0,1,59.4,1,62,19.2,69,0,2,4,0,31,2,0.6,31.0,0,3,8.3,42.9,97.9,59.0,25.3,0,1,14.3,59.3,0,18,25.0,4,1,50.3,3,185,57.3,189,3,9,7,0,21,28,0.1,7.0
Von Miller,6154,ED,LA,9,21,0,26,0,,,5.5,,,0,0,,67.1,0,,0.0,0,0,0.0,0,6,28.6,110,2,1,0,0,0,0,0.0,,0,0,4.0,100.0,11.9,4.5,4.5,0,0,0.0,78.3,0,7,0.0,0,0,89.6,2,10,47.6,84,2,3,2,0,11,3,1.2,5.5
Patrick Peterson,6157,CB,MIN,8,307,0,18,1,4.2,80.0,100.0,15.8,12.6,0,0,0.0,48.2,0,18,0.0,0,0,110.8,4,71,23.1,71,0,1,5,0,53,35,0.8,13.3,0,0,11.6,68.2,100.0,10.7,7.3,0,2,9.1,59.2,0,77,20.0,2,1,128.0,15,172,56.0,172,2,8,22,2,205,133,1.3,13.7
J.J. Watt,6163,DI,ARZ,7,4,0,1,0,,,0.0,,,0,0,,,0,,100.0,2,0,0.0,0,0,0.0,62,0,0,0,0,0,0,,,0,0,,,3.3,,,0,0,,59.1,0,,0.0,0,0,0.0,0,4,100.0,121,1,1,0,0,0,0,0.0,
Robert Quinn,6166,ED,CHI,10,32,0,6,0,,,3.4,,,0,0,,76.0,0,,50.0,1,0,0.0,0,3,9.4,87,5,1,0,0,0,0,0.0,,0,2,4.0,33.3,17.8,19.0,6.3,0,0,0.0,66.5,0,-4,0.0,0,0,42.4,1,23,71.9,129,5,1,3,0,-4,0,-0.2,-4.0
Ryan Kerrigan,6168,ED,PHI,12,2,0,24,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,22,0,0,0,0,0,0,,,0,0,,,1.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,84,0,0,0,0,0,0,0.0,
Cameron Jordan,6176,ED,NO,12,7,0,20,0,,,2.1,,,0,0,,78.1,0,,0.0,0,0,0.0,0,3,42.9,142,4,2,0,0,0,0,0.0,,0,1,,,1.2,,,0,0,,82.7,0,,0.0,0,0,0.0,0,3,42.9,241,3,1,0,0,0,0,0.0,
Jimmy Smith,6179,CB,BLT,7,83,0,3,0,6.4,40.0,100.0,14.0,5.6,0,1,20.0,46.9,0,11,0.0,0,1,52.1,2,32,38.6,32,0,2,5,0,20,8,0.7,10.0,0,0,21.8,25.0,94.1,31.0,7.8,0,0,0.0,75.2,0,3,50.0,1,0,39.6,1,32,38.6,34,1,1,4,0,3,3,0.1,3.0
Justin Houston,6222,ED,BLT,10,20,0,3,1,,,5.7,,,0,0,,74.9,0,,0.0,0,0,0.0,0,7,35.0,122,2,0,0,0,0,0,0.0,,0,1,0.0,100.0,7.9,10.0,10.0,0,0,0.0,62.4,0,29,33.3,1,0,118.8,1,10,50.0,126,3,1,1,0,29,29,2.9,29.0
K.J. Wright,6251,LB,LV,11,95,0,23,0,12.0,100.0,100.0,8.0,8.0,0,0,0.0,48.0,0,14,,0,0,158.3,1,8,8.4,8,0,0,1,1,14,2,1.8,14.0,0,1,3.3,100.0,98.7,8.9,8.9,0,0,0.0,56.9,0,29,14.3,1,0,110.9,8,75,78.9,76,2,5,8,0,85,59,1.2,10.6
