"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2022-01-18T01:15:00Z","ARZ","22","12","1.56","28","46","-55","-26","LA","35","17","1.01","31","48"
"2022-01-16T01:15:00Z","BUF","22","9","1.56","18","50","15","15","NE","32","16","1.3","18","22"
"2022-01-15T21:35:00Z","CIN","29","16","0.96","21","33","-35","37","LV","34","13","1.22","20","40"
"2022-01-16T21:40:00Z","DAL","22","8","1.38","21","38","-17","55","SF","35","17","1.09","22","45"
"2022-01-17T01:15:00Z","KC","24","11","1.62","23","48","-22","58","PIT","32","23","1.64","20","35"
"2022-01-18T01:15:00Z","LA","21","20","1.42","17","53","11","47","ARZ","29","16","1.18","18","33"
"2022-01-15T21:35:00Z","LV","31","12","1.23","16","62","-5","27","CIN","34","17","1.26","18","50"
"2022-01-16T01:15:00Z","NE","21","16","1.62","26","54","17","58","BUF","33","11","1.26","16","69"
"2022-01-16T18:05:00Z","PHI","24","7","1.72","41","41","22","84","TB","31","15","1.22","20","30"
"2022-01-17T01:15:00Z","PIT","23","18","1.03","17","41","-16","21","KC","34","13","1.5","24","29"
"2022-01-16T21:40:00Z","SF","23","14","1.11","19","63","0","71","DAL","31","11","2","22","50"
"2022-01-16T18:05:00Z","TB","18","11","1.3","24","42","5","56","PHI","31","12","1.04","25","44"
