"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","WAS","19.6","0","0","0","0","0","0","15.6545","65.1516","0.4669","6.364","5.1666","39.238","0.1977","0.1437","0.0719","0.0201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Najee Harris","PIT","rb","7","@LAC","18.9","0","0","0","0","0","0","17.6516","72.3571","0.485","5.5309","4.4481","31.8342","0.1895","0.133","0.0665","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Davante Adams","GB","wr","13","@MIN","21.3","0","0","0","0","0","0","0.024","0.1098","0.001","10.7854","7.8755","93.5905","0.6839","0.0861","0.0431","0.0076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Austin Ekeler","LAC","rb","7","PIT","17.8","0","0","0","0","0","0","15.1923","67.8958","0.3604","5.0865","4.2593","33.6434","0.211","0.1638","0.0819","0.0191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Jonathan Taylor","IND","rb","14","@BUF","17.4","0","0","0","0","0","0","17.7011","83.6549","0.6277","3.7598","3.0167","19.1943","0.0704","0.1643","0.0821","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","A.J. Dillon","GB","rb","13","@MIN","17.1","0","0","0","0","0","0","17.4044","76.4099","0.5382","3.7075","3.0133","23.744","0.1492","0.2111","0.1056","0.0245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Leonard Fournette","TB","rb","9","NYG","16.8","0","0","0","0","0","0","16.0593","68.6548","0.5335","4.0975","3.381","25.7497","0.1377","0.0447","0.0224","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Dalvin Cook","MIN","rb","7","GB","16.6","0","0","0","0","0","0","17.0228","76.5431","0.5512","3.5942","3.0553","20.5278","0.0899","0.2499","0.1249","0.0333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","D'Andre Swift","DET","rb","9","@CLV","16.6","0","0","0","0","0","0","14.14","58.645","0.4188","5.8043","4.5184","30.2758","0.1136","0.1491","0.0746","0.0101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Tyreek Hill","KC","wr","12","DAL","20","0","0","0","0","0","0","0.4515","2.0635","0.0276","9.7748","6.6371","92.2908","0.6352","0.0629","0.0314","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
