Player,Roster Position,%Drafted,FPTS
James Robinson,RB,47.65%,17.8
DeVante Parker,WR,34.17%,16.8
Davante Adams,WR,33.04%,16.4
Myles Gaskin,RB,23.64%,5.4
Bills ,DST,22.45%,7
Mike Gesicki,TE,21.41%,9.3
Deebo Samuel,WR,19.95%,18.9
George Kittle,TE,19.68%,15.3
Diontae Johnson,WR,18.59%,9.8
Gabriel Davis,FLEX,18.45%,25.5
Brandin Cooks,WR,18.34%,32.2
A.J. Green,WR,17.90%,10.4
Christian Kirk,WR,16.66%,24.4
Michael Carter,RB,16.15%,3
James Conner,RB,15.69%,9
Kyler Murray,QB,15.59%,13.58
CeeDee Lamb,WR,14.58%,11
Cowboys ,DST,14.56%,16
Tua Tagovailoa,QB,14.50%,15.74
Dak Prescott,QB,14.33%,11.58
Aaron Rodgers,QB,13.56%,23.82
Cordarrelle Patterson,RB,13.50%,4.3
Najee Harris,RB,12.41%,4.6
Jeff Wilson Jr.,RB,11.72%,22.9
Amari Cooper,WR,11.04%,2.8
D'Onta Foreman,FLEX,10.99%,18.5
Dawson Knox,TE,10.97%,7.8
Dolphins ,DST,10.89%,9
Joe Mixon,RB,10.78%,7
Mark Andrews,FLEX,10.18%,38.6
Jimmy Garoppolo,QB,10.10%,13.8
Chase Claypool,WR,10.04%,1.9
Stefon Diggs,WR,9.57%,13.5
Josh Allen,QB,9.18%,21.8
Jaguars ,DST,9.15%,2
Michael Gallup,WR,8.77%,6.2
Aaron Jones,RB,8.62%,15
Cole Beasley,WR,8.55%,7.5
Ezekiel Elliott,RB,8.21%,16.2
Marvin Jones Jr.,WR,8.15%,3.4
Brandon Aiyuk,WR,8.14%,4.6
Amon-Ra St. Brown,WR,8.02%,23.5
Allen Lazard,WR,7.75%,4.8
Tee Higgins,WR,7.51%,4.3
Ja'Marr Chase,WR,7.43%,1.3
49ers ,DST,7.32%,9
Chase Edmonds,FLEX,6.99%,5.3
Julio Jones,FLEX,6.70%,0
Pat Freiermuth,TE,6.63%,7.7
Packers ,DST,6.15%,0
Javonte Williams,RB,5.82%,12.1
Cardinals ,DST,5.67%,3
Dalton Schultz,TE,5.67%,20.7
Ben Roethlisberger,QB,5.42%,11.92
Devonta Freeman,RB,5.40%,3.4
Zach Ertz,TE,5.37%,13.4
Saquon Barkley,RB,5.27%,10.4
C.J. Uzomah,TE,5.10%,4.8
AJ Dillon,RB,5.02%,10.5
James O'Shaughnessy,TE,4.92%,10
Craig Reynolds,RB,4.89%,15.7
Russell Gage,WR,4.85%,23.1
Rondale Moore,FLEX,4.83%,4
Joe Burrow,QB,4.66%,12.78
Broncos ,DST,4.25%,4
Kyle Pitts,FLEX,4.13%,11.7
Noah Fant,FLEX,4.10%,10.7
Texans ,DST,3.93%,10
Rashod Bateman,WR,3.78%,1.5
Jerry Jeudy,FLEX,3.65%,0
Evan Engram,TE,3.65%,7.3
Panthers ,DST,3.48%,5
Melvin Gordon III,RB,3.33%,7.1
Devin Singletary,FLEX,3.33%,16.6
Albert Wilson,WR,3.26%,2
Trevor Lawrence,QB,3.20%,10.5
DJ Moore,WR,3.16%,12.8
Jamison Crowder,WR,3.09%,9
Laquon Treadwell,WR,2.99%,11.7
Nico Collins,WR,2.70%,3.4
Tony Pollard,RB,2.69%,11.7
Braxton Berrios,WR,2.52%,10.6
Davis Mills,QB,2.47%,15.56
Josiah Deguara,TE,2.35%,4.6
Laviska Shenault Jr.,WR,2.24%,8.9
Sterling Shepard,WR,2.19%,3.5
Steelers ,DST,2.16%,16
Bengals ,DST,2.16%,9
Jets ,DST,2.11%,12
Brevin Jordan,TE,2.09%,0
Tyler Huntley,QB,1.90%,35.9
Marquez Valdes-Scantling,FLEX,1.83%,20.8
Titans ,DST,1.83%,4
Albert Okwuegbunam,FLEX,1.77%,8.8
Tyler Boyd,WR,1.71%,20.6
Courtland Sutton,WR,1.60%,3.2
Marquise Brown,WR,1.53%,14.3
Chuba Hubbard,RB,1.53%,5.1
David Johnson,RB,1.52%,3.7
Robby Anderson,WR,1.51%,9.2
Ravens ,DST,1.40%,2
Nick Westbrook-Ikhine,WR,1.19%,7.2
James Washington,FLEX,1.16%,6.6
Cedrick Wilson,FLEX,1.15%,0
Ryan Tannehill,QB,1.15%,11.92
Matt Ryan,QB,1.12%,14.44
Kenny Golladay,WR,1.05%,8.3
Giants ,DST,0.97%,5
Teddy Bridgewater,QB,0.90%,4.92
Mike Davis,RB,0.83%,2.1
Ray-Ray McCloud III,FLEX,0.80%,1
Josh Reynolds,WR,0.80%,18.8
Tim Patrick,WR,0.79%,13.2
Dontrell Hilliard,RB,0.74%,9.9
Brock Wright,TE,0.69%,0
Kyle Rudolph,TE,0.68%,1.9
Mack Hollins,FLEX,0.64%,0
Lions ,DST,0.63%,8
Falcons ,DST,0.61%,1
Kalif Raymond,WR,0.61%,4
Devin Duvernay,WR,0.60%,4.3
Marcedes Lewis,FLEX,0.58%,7
Geoff Swaim,TE,0.57%,1.5
Darius Slayton,FLEX,0.52%,4.3
Ryan Griffin,FLEX,0.50%,5.9
Cam Newton,QB,0.50%,24.34
Matt Breida,RB,0.46%,0.1
Devontae Booker,RB,0.45%,10.2
Royce Freeman,RB,0.43%,0.8
Keelan Cole Sr.,WR,0.41%,1.9
Anthony Firkser,TE,0.41%,2.9
Shane Zylstra,TE,0.39%,2.6
Hayden Hurst,TE,0.39%,2.6
Jared Goff,QB,0.37%,20.64
Cooper Kupp,FLEX,0.32%,0
Mike Glennon,QB,0.31%,0.96
JaMycal Hasty,RB,0.30%,1.6
Olamide Zaccheaus,WR,0.29%,7.3
Chris Conley,WR,0.27%,3.2
Jauan Jennings,WR,0.27%,11.8
Zach Wilson,QB,0.26%,13
Latavius Murray,RB,0.26%,6.1
Jermar Jefferson,RB,0.26%,0.9
Antoine Wesley,WR,0.25%,4.9
Antonio Gibson,FLEX,0.23%,0
Ameer Abdullah,RB,0.23%,15.5
Corey Clement,RB,0.22%,0
Godwin Igwebuike,RB,0.21%,2.1
Tevin Coleman,FLEX,0.19%,5
Durham Smythe,TE,0.18%,1.4
Jeremy McNichols,RB,0.16%,8.1
Tajae Sharpe,WR,0.16%,0
Tavon Austin,WR,0.15%,2.1
Duke Johnson,FLEX,0.15%,28.7
Rex Burkhead,FLEX,0.14%,5.7
Van Jefferson Jr.,WR,0.13%,0
Pharaoh Brown,TE,0.13%,2.5
Sony Michel,RB,0.12%,0
Tommy Tremble,FLEX,0.12%,1.8
Matthew Stafford,QB,0.11%,0
Chester Rogers,WR,0.11%,7
Brandon Zylstra,FLEX,0.10%,3.7
Salvon Ahmed,RB,0.10%,0
Ty Johnson,RB,0.10%,0
Zack Moss,FLEX,0.10%,0
DeVonta Smith,WR,0.09%,0
Jaylen Waddle,WR,0.08%,0
Samaje Perine,FLEX,0.08%,6.3
Jordan Akins,FLEX,0.08%,4.4
Dallas Goedert,TE,0.08%,0
Rashaad Penny,RB,0.08%,0
Kyle Juszczyk,RB,0.07%,8.2
Odell Beckham Jr.,WR,0.07%,0
DK Metcalf,FLEX,0.07%,0
Gerald Everett,TE,0.06%,0
MyCole Pruitt,FLEX,0.06%,1.1
Lamar Jackson,QB,0.06%,0
D.J. Montgomery,WR,0.06%,0
Ricky Seals-Jones,TE,0.06%,0
Tyler Kroft,TE,0.05%,5.5
Isaiah Ford,WR,0.05%,8.1
Pharoh Cooper,WR,0.05%,0
Eli Penny,RB,0.05%,0
WAS Football Team ,DST,0.05%,0
Darrell Henderson Jr.,RB,0.05%,0
Jalen Hurts,QB,0.05%,0
Chris Moore,WR,0.05%,0
Eagles ,DST,0.05%,0
Chris Myarick,FLEX,0.05%,0
Gary Brightwell,FLEX,0.05%,0
Sean McKeon,TE,0.04%,0
Dare Ogunbowale,RB,0.04%,1.6
Ty'Son Williams,RB,0.04%,0
Malik Turner,FLEX,0.04%,1.6
Golden Tate,WR,0.04%,0
Phillip Dorsett II,FLEX,0.04%,6.3
Collin Johnson,FLEX,0.03%,2.6
Anthony Miller,FLEX,0.03%,0
Rams ,DST,0.03%,0
Tyler Higbee,TE,0.03%,0
Eli Mitchell,RB,0.03%,0
Zach Gentry,TE,0.03%,2.7
Jacob Hollister,TE,0.03%,0
Sammy Watkins,FLEX,0.03%,0
JaQuan Hardy,FLEX,0.03%,0
Eno Benjamin,RB,0.03%,0
Miles Sanders,RB,0.03%,0
DeAndre Hopkins,WR,0.03%,0
Ian Thomas,FLEX,0.03%,1.5
Tyrod Taylor,QB,0.03%,0
Terrace Marshall Jr.,WR,0.03%,0
Amari Rodgers,FLEX,0.03%,0
Benny Snell Jr.,RB,0.02%,0
Denzel Mims,WR,0.02%,0
