"offPlayer","offTeam","defPlayer","defTeam","advantage","expectedSnaps"
"Antoine Wesley","ARZ","All Defenders","DAL","14.7914368090985","46.2080111017705"
"Antoine Wesley","ARZ","Trevon Diggs","DAL","7.34512269180781","41.3440099331631"
"Antoine Wesley","ARZ","Anthony Brown","DAL","25.119591041171","1.45920035058223"
"Antoine Wesley","ARZ","Jourdan Lewis","DAL","14.4070607209035","3.4048008180252"
"A.J. Green","ARZ","All Defenders","DAL","55.9918548174209","52.5193903958976"
"A.J. Green","ARZ","Trevon Diggs","DAL","46.4233852541263","2.17022274363213"
"A.J. Green","ARZ","Anthony Brown","DAL","59.7719158368945","45.4661664790932"
"A.J. Green","ARZ","Jourdan Lewis","DAL","52.7843526058404","4.8830011731723"
"Christian Kirk","ARZ","All Defenders","DAL","37.4195933038393","51.2972123244837"
"Christian Kirk","ARZ","Trevon Diggs","DAL","28.4630017446257","5.75680138310839"
"Christian Kirk","ARZ","Anthony Brown","DAL","43.8456949145986","4.93440118552148"
"Christian Kirk","ARZ","Jourdan Lewis","DAL","35.1461354714342","40.6060097558538"
"Russell Gage","ATL","All Defenders","BUF","33.4040407070043","48.3617673761903"
"Russell Gage","ATL","Levi Wallace","BUF","32.3896784713587","20.0170604257142"
"Russell Gage","ATL","Dane Jackson","BUF","56.7836218869359","13.2757792797385"
"Russell Gage","ATL","Taron Johnson","BUF","26.4685529173223","15.3840843913564"
"Christian Blake","ATL","All Defenders","BUF","16.1290628028691","40.0644053263537"
"Christian Blake","ATL","Levi Wallace","BUF","3.09876369811313","8.01288106527075"
"Christian Blake","ATL","Dane Jackson","BUF","28.0250522145875","24.0386431958122"
"Christian Blake","ATL","Taron Johnson","BUF","0.00827272","8.01288106527075"
"Olamide Zaccheaus","ATL","All Defenders","BUF","32.01882747552","38.30014221555"
"Olamide Zaccheaus","ATL","Levi Wallace","BUF","26.368073917762","9.37962666503264"
"Olamide Zaccheaus","ATL","Dane Jackson","BUF","50.8714564446972","11.9478577756963"
"Olamide Zaccheaus","ATL","Taron Johnson","BUF","19.705785419361","16.4143466638071"
"Rashod Bateman","BLT","All Defenders","LA","18.7170866259573","47.4399880784957"
