"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","164","20","0.39","64","1.55","64.6","10","Krys Barnes","61","16","0.34","90","0.93","54.3"
"Kyle Pitts","207","21","0.41","72","2.28","85.2","45","Jermaine Carter","186","8","0.11","73","0.46","55.5"
"Tommy Sweeney","22","18","0.47","100","0.18","65.1","3","Eric Rowe","173","17","0.32","79","1.21","64.7"
"Tommy Tremble","95","9","0.17","56","0.57","54.7","-4","Deion Jones","209","14","0.33","97","1.37","56.8"
"Cole Kmet","167","17","0.22","68","1.04","56.6","-34","Azeez Al-Shaair","166","20","0.38","76","1.24","62.5"
"C.J. Uzomah","177","11","0.41","89","1.45","66.4","27","C.J. Mosley","171","18","0.35","90","1.49","37.2"
"Austin Hooper","129","16","0.27","70","1.11","75.3","1","Joe Schobert","161","12","0.2","63","0.89","63"
"Dalton Schultz","158","23","0.54","86","2.27","90.5","31","Eric Kendricks","210","10","0.22","86","1.09","74.2"
"Noah Fant","225","21","0.37","74","1.39","61.3","-7","Jamin Davis","131","10","0.22","92","0.79","51.8"
"T.J. Hockenson","257","20","0.33","75","1.4","70.8","26","Eric Wilson","159","16","0.27","80","1.08","35.5"
"Robert Tonyan","170","13","0.25","68","0.91","53","6","Isaiah Simmons","209","13","0.19","79","0.85","63"
"Pharaoh Brown","89","19","0.26","71","1.28","60.1","-6","Ernest Jones","32","3","0.07","100","0.44","57.2"
"Jack Doyle","121","15","0.19","61","1.02","71","37","Rashaan Evans","162","12","0.2","85","0.99","32.6"
"Dan Arnold","127","20","0.29","68","1.61","55.2","-9","Jordyn Brooks","199","17","0.34","88","1.63","53"
"Travis Kelce","281","23","0.44","70","1.9","86.7","52","Reggie Ragland","105","11","0.16","75","0.71","61.1"
"Tyler Higbee","210","16","0.3","82","1.17","65.4","31","Christian Kirksey","226","11","0.21","72","1.05","49.3"
"Jared Cook","181","18","0.31","64","1.3","61.7","20","Kyle Dugger","207","11","0.18","73","0.78","59.7"
"Mike Gesicki","228","21","0.4","76","1.87","74","5","Tremaine Edmunds","193","13","0.3","88","1.18","56.9"
"Tyler Conklin","174","17","0.3","76","1.38","61.1","-10","Jayron Kearse","205","11","0.21","74","0.73","72.7"
"Hunter Henry","184","17","0.4","75","1.43","71.9","45","Amen Ogbongbemiga","18","17","0.32","100","1.56","30.1"
"Adam Trautman","103","12","0.18","75","0.97","58","4","Devin White","257","17","0.29","81","1.11","44.5"
"Evan Engram","153","17","0.24","77","1.12","54.8","-22","Tyrann Mathieu","212","6","0.07","67","0.37","65.4"
"Ryan Griffin","105","15","0.15","56","0.61","44.6","-43","Logan Wilson","247","12","0.2","83","1","71"
"Dallas Goedert","159","14","0.37","78","1.8","81","33","Alex Anzalone","205","10","0.19","76","0.8","44.5"
"Eric Ebron","131","9","0.09","58","0.36","44.8","-20","Malcolm Smith","102","14","0.41","86","1.15","60.5"
"Gerald Everett","107","12","0.3","100","1.2","60.1","-24","Rayshawn Jenkins","212","10","0.16","77","0.77","66.8"
"Ross Dwelley","55","9","0.27","80","0.93","50.7","-16","Roquan Smith","222","16","0.2","71","0.91","55.5"
"O.J. Howard","77","19","0.36","73","1.42","51.2","9","Demario Davis","193","14","0.17","63","0.81","78.2"
"Geoff Swaim","74","14","0.17","70","0.72","47","-39","Darius Leonard","226","13","0.23","67","0.89","76.8"
"Ricky Seals-Jones","160","16","0.3","72","1.18","68.9","-2","Justin Simmons","244","9","0.17","68","0.84","56.2"
