Tm,TeamAbbrev,team_name,Team
Arizona Cardinals,ARI,ARZ,Cardinals
Atlanta Falcons,ATL,ATL,Falcons
Baltimore Ravens,BAL,BLT,Ravens
Buffalo Bills,BUF,BUF,Bills
Carolina Panthers,CAR,CAR,Panthers
Chicago Bears,CHI,CHI,Bears
Cincinnati Bengals,CIN,CIN,Bengals
Cleveland Browns,CLE,CLV,Browns
Dallas Cowboys,DAL,DAL,Cowboys
Denver Broncos,DEN,DEN,Broncos
Detroit Lions,DET,DET,Lions
Green Bay Packers,GB,GB,Packers
Houston Texans,HOU,HST,Texans
Indianapolis Colts,IND,IND,Colts
Jacksonville Jaguars,JAX,JAX,Jaguars
Kansas City Chiefs,KC,KC,Chiefs
Las Vegas Raiders,LV,LV,Raiders
Los Angeles Chargers,LAC,LAC,Chargers
Los Angeles Rams,LAR,LA,Rams
Miami Dolphins,MIA,MIA,Dolphins
Minnesota Vikings,MIN,MIN,Vikings
New England Patriots,NE,NE,Patriots
New Orleans Saints,NO,NO,Saints
New York Giants,NYG,NYG,Giants
New York Jets,NYJ,NYJ,Jets
Philadelphia Eagles,PHI,PHI,Eagles
Pittsburgh Steelers,PIT,PIT,Steelers
San Francisco 49ers,SF,SF,49ers
Seattle Seahawks,SEA,SEA,Seahawks
Tampa Bay Buccaneers,TB,TB,Buccaneers
Tennessee Titans,TEN,TEN,Titans
Washington Football Team,WAS,WAS,Football Team
