"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Cooper Kupp","LA","wr","11","SF","24.4","0","0","0","0","0","0","0.365","1.8922","0.0129","11.4983","8.9243","110.4288","0.6922","0.1407","0.0703","0.0289","12.5154","0.0152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Patrick Mahomes","KC","qb","12","CIN","23.6","25.7143","38.1687","299.2956","2.0545","0.6061","1.4126","5.2971","24.4517","0.276","0","0","0","0","0.5422","0.2711","0.0907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Joe Burrow","CIN","qb","10","@KC","21.3","25.0665","36.419","306.8303","1.9487","0.8713","3.2346","3.7866","11.4636","0.1676","0","0","0","0","0.5155","0.2578","0.1023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ja'Marr Chase","CIN","wr","10","@KC","19.6","0","0","0","0","0","0","0.7319","4.3842","0.0184","8.5213","5.9655","96.8649","0.5745","0.0938","0.0469","0.0228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Matthew Stafford","LA","qb","11","SF","19.6","25.1614","36.3349","294.714","1.9121","0.8613","2.2088","2.2446","5.7786","0.0876","0","0","0","0","0.3776","0.1888","0.0739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Tyreek Hill","KC","wr","12","CIN","18.7","0","0","0","0","0","0","0.5693","2.5888","0.036","8.7793","6.298","85.2147","0.573","0.0508","0.0254","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Jimmy Garoppolo","SF","qb","6","@LA","16.8","22.3868","33.1059","262.3356","1.5344","1.0077","2.7169","2.7936","5.8469","0.1052","0","0","0","0","0.4552","0.2276","0.0716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Tee Higgins","CIN","wr","10","@KC","16.7","0","0","0","0","0","0","0.0209","0.1197","0.0006","8.1735","5.6695","81.658","0.4616","0.0686","0.0343","0.0411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Travis Kelce","KC","te","12","CIN","16.3","0","0","0","0","0","0","0","0","0","8.0626","5.7585","72.9757","0.5423","0.0487","0.0244","0.0171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Joe Mixon","CIN","rb","10","@KC","15.8","0","0","0","0","0","0","15.6834","63.567","0.4047","4.3476","3.6259","24.9901","0.1578","0.1113","0.0556","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
