player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,11,0,,,4.3,,,0,0,0,,3,59.4,77.9,87.2,74.4,68.6,29.3,0,,100.0,5,0,0,0.0,0,14,322,5,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,12,2,-1.5,100.0,5.0,5.0,5.0,0,0,0,0.0,24,72.1,89.7,67.6,82.3,81.4,64.4,0,2,20.0,1,0,1,79.2,2,10,201,7,2,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,9,0,2.8,100.0,5.0,2.3,2.3,1,0,0,0.0,3,59.0,52.8,47.5,56.2,53.9,67.2,1,24,0.0,0,0,2,70.8,4,11,222,4,4,4,0,42,31,4.7,10.5
Kareem Jackson,5545,S,DEN,12,3,8.7,69.2,99.8,25.7,17.8,0,1,4,15.4,10,62.7,65.9,68.7,60.0,71.8,56.6,0,23,21.2,7,3,1,125.2,18,496,497,5,23,26,3,168,38,0.4,9.3
Devin McCourty,5552,S,NE,12,2,16.0,62.5,99.6,43.2,27.0,0,2,3,18.8,19,68.8,70.6,85.8,55.5,70.4,89.1,2,54,2.9,1,3,0,97.4,10,448,450,2,32,16,2,166,41,0.4,16.6
Jerry Hughes,5556,ED,HST,12,0,,,1.1,,,2,0,0,,13,68.1,73.2,53.5,71.1,61.3,26.5,1,,77.8,7,0,3,0.0,0,3,271,9,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,12,1,8.0,100.0,5.6,14.0,14.0,0,0,0,0.0,16,55.7,64.8,89.0,59.0,70.6,56.4,0,8,25.0,2,0,1,100.0,1,14,250,8,5,1,0,8,0,0.6,8.0
Von Miller,6154,ED,BUF,11,0,,,1.3,,,0,0,0,,4,74.2,85.8,26.0,81.8,78.8,53.2,0,,40.0,2,0,4,0.0,0,4,315,11,3,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,12,2,11.6,60.0,99.8,16.8,10.1,0,0,8,16.0,18,83.0,80.6,61.7,60.0,61.5,70.1,3,38,7.7,3,8,3,70.9,30,535,536,10,34,50,2,366,158,0.7,12.2
J.J. Watt,6163,DI,ARZ,11,1,,,0.3,,,0,0,0,,1,64.0,62.7,35.9,70.1,50.4,66.8,0,,33.3,1,0,5,0.0,0,1,363,8,1,0,0,0,0,0.0,
Robert Quinn,6166,ED,PHI,12,0,0.5,100.0,3.1,3.0,3.0,2,0,0,0.0,24,65.8,41.2,28.0,55.6,34.8,55.0,0,13,0.0,0,0,4,104.2,2,7,225,2,1,2,0,18,17,3.0,9.0
