player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Braxton Jones,60092,T,CHI,11,0,6,83.5,100.0,121,34.6,121,74.3,2,100.0,350,350,64.5,100.0,192,54.9,192
Chris Lindstrom,46692,G,ATL,11,0,2,80.2,100.0,94,27.4,94,90.1,0,100.0,343,343,90.4,100.0,230,67.1,230
Kaleb McGary,46912,T,ATL,11,0,2,71.4,100.0,94,27.4,94,85.8,2,100.0,343,343,78.6,100.0,230,67.1,230
Drew Dalman,52270,C,ATL,11,0,2,57.4,100.0,94,27.4,94,65.1,1,100.0,343,343,67.9,100.0,230,67.1,230
Sam Mustipher,13026,C,CHI,11,0,6,71.7,100.0,118,34.4,118,69.6,0,100.0,343,343,67.8,100.0,188,54.8,188
Jake Matthews,8641,T,ATL,11,0,2,62.7,100.0,94,27.4,94,67.8,1,100.0,343,343,69.4,100.0,230,67.1,230
Cole Kmet,60995,TE,CHI,11,0,6,62.2,100.0,112,35.0,112,65.5,4,99.4,320,322,69.1,100.0,173,54.1,173
Charles Leno Jr.,8880,T,WAS,11,0,32,66.8,100.0,111,35.8,111,57.5,0,100.0,310,310,57.1,100.0,160,51.6,160
Andrew Norwell,9126,G,WAS,11,0,32,64.6,100.0,111,35.9,111,59.2,0,100.0,309,309,58.3,100.0,159,51.5,159
Jason Kelce,6343,C,PHI,10,0,24,61.4,100.0,92,30.2,92,79.0,0,100.0,305,305,82.3,100.0,156,51.1,156
Joel Bitonio,8670,G,CLV,10,0,8,70.6,100.0,142,47.3,142,86.6,0,100.0,300,300,90.2,100.0,112,37.3,112
Tyler Smith,98385,T,DAL,10,0,9,58.8,100.0,117,39.0,117,62.2,3,100.0,300,300,59.5,100.0,143,47.7,143
Andrew Thomas,59701,T,NYG,10,0,21,67.6,100.0,149,50.0,149,79.6,1,100.0,298,298,87.1,100.0,113,37.9,113
Jedrick Wills Jr.,58467,T,CLV,10,1,8,63.4,100.0,142,47.7,142,64.5,2,100.0,298,298,69.5,100.0,111,37.2,111
Tyler Biadasz,41178,C,DAL,10,0,9,55.3,100.0,117,39.4,117,62.2,1,100.0,297,297,66.7,100.0,140,47.1,140
Zack Martin,8651,G,DAL,10,0,9,54.4,100.0,117,39.4,117,62.3,0,100.0,297,297,66.9,100.0,140,47.1,140
Terence Steele,39461,T,DAL,10,0,9,57.9,100.0,117,39.4,117,76.7,1,100.0,297,297,78.8,100.0,140,47.1,140
Nicholas Petit-Frere,82003,T,TEN,10,0,31,49.0,100.0,105,35.5,105,66.6,0,100.0,296,296,77.2,100.0,165,55.7,165
Aaron Brewer,46014,G,TEN,10,1,31,67.7,100.0,105,35.5,105,59.4,4,100.0,296,296,59.6,100.0,165,55.7,165
Mark Glowinski,9567,G,NYG,10,0,21,66.6,100.0,146,49.5,146,65.7,0,100.0,295,295,59.8,100.0,113,38.3,113
Marcus Mariota,9435,QB,ATL,11,0,2,60.0,79.8,75,25.5,94,60.0,0,85.7,294,343,60.0,93.9,216,73.5,230
Ben Powers,41482,G,BLT,10,0,3,52.4,100.0,198,67.8,198,51.9,0,100.0,292,292,51.4,100.0,58,19.9,58
Kevin Zeitler,7032,G,BLT,10,0,3,60.0,100.0,198,67.8,198,66.9,1,100.0,292,292,79.6,100.0,58,19.9,58
Tyler Linderbaum,82291,C,BLT,10,0,3,76.6,100.0,198,68.0,198,77.6,0,100.0,291,291,75.3,100.0,57,19.6,57
Jon Feliciano,9561,C,NYG,10,0,21,54.3,100.0,147,50.5,147,53.9,0,100.0,291,291,50.1,100.0,109,37.5,109
Isaac Seumalo,10713,G,PHI,10,1,24,58.8,100.0,91,31.5,91,69.9,1,100.0,289,289,70.4,100.0,144,49.8,144
Darnell Mooney,48236,WR,CHI,11,0,6,60.6,100.0,95,33.3,95,62.8,0,100.0,285,285,60.5,100.0,163,57.2,163
Landon Dickerson,41712,G,PHI,10,0,24,45.8,100.0,85,29.9,85,60.0,2,100.0,284,284,65.8,100.0,146,51.4,146
Justin Fields,82118,QB,CHI,11,1,6,60.1,84.2,101,35.8,120,60.1,1,81.0,282,348,60.1,86.9,166,58.9,191
Lane Johnson,7786,T,PHI,10,0,24,67.8,100.0,86,30.5,86,74.9,0,100.0,282,282,81.4,100.0,144,51.1,144
Jake Brendel,11117,C,SF,10,0,28,51.3,100.0,99,35.5,99,59.5,2,100.0,279,279,62.2,100.0,145,52.0,145
Penei Sewell,81788,T,DET,10,0,11,69.8,100.0,148,53.2,148,84.9,1,100.0,278,278,94.6,100.0,109,39.2,109
Josh Myers,59992,C,GB,11,0,12,60.3,100.0,96,34.5,96,54.9,0,100.0,278,278,53.3,100.0,169,60.8,169
Ethan Pocic,11813,C,CLV,10,0,8,60.1,100.0,137,49.3,137,84.3,0,100.0,278,278,91.9,100.0,102,36.7,102
Taylor Decker,10650,T,DET,10,0,11,55.7,100.0,148,53.2,148,73.1,1,100.0,278,278,75.0,100.0,109,39.2,109
Ryan Ramczyk,11787,T,NO,11,0,20,63.4,100.0,111,40.2,111,75.5,0,100.0,276,276,79.9,100.0,137,49.6,137
