player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jerry Jacobs,83025,CB,DET,6,0,11,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,206,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Steven Nelson,9531,CB,HST,13,0,13,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,404,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Tony Brown,49255,CB,IND,1,0,14,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,50.0,1,2,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Zyon Gilbert,55891,CB,NYG,2,0,21,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.0,2,40,2,75.0,0,0,1,0,100.0,2,2,75.0,1,1,0,1,1,0
Jamal Adams,11761,S,SEA,1,0,29,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,11.1,1,9,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
K'Von Wallace,42467,S,PHI,11,0,24,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,76,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Cobie Durant,79126,CB,LA,3,0,26,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,3.7,2,54,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Michael Davis,12040,CB,LAC,10,0,27,0,1,0,0,1,0,100.0,3,2,50.0,1,1,0,0,1.0,3,301,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Trayvon Mullen,41968,CB,ARZ,6,0,1,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.0,1,96,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Keion Crossen,49454,CB,MIA,11,0,17,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.6,1,179,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Da'Shawn Hand,48386,DI,TEN,1,0,31,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jeffrey Okudah,55674,CB,DET,12,0,11,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,365,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Emmanuel Moseley,50430,CB,SF,5,0,28,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,0.5,1,190,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
