player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tom Brady,698,QB,TB,9,74.7,371,398,7.5,2.24,5,20,4.7,65.3,260,0,76,6.1,416,17,125,30,77.8,76.2,75.9,39.9,1,1,442,0,18.4,90.5,3.4,14,2,3,18,10,8,1.8,2547,6.4
Kyler Murray,38334,QB,ARZ,9,77.3,330,360,7.0,2.56,9,8,2.1,66.7,240,0,110,5.9,407,15,116,1,43.8,65.2,62.8,66.6,2,6,437,1,21.8,86.8,5.9,24,21,3,16,12,16,3.7,2163,6.0
Justin Herbert,28237,QB,LAC,8,77.7,319,351,6.8,2.77,13,9,2.5,66.4,233,1,126,6.0,373,15,114,27,85.3,72.9,71.8,59.2,8,5,390,1,7.9,90.6,2.7,10,11,0,11,13,6,1.5,2254,6.4
Joe Burrow,28022,QB,CIN,9,79.5,307,333,7.4,2.46,12,13,3.7,70.0,233,0,98,4.5,377,11,124,7,65.7,80.6,78.5,71.9,5,6,401,2,30.6,102.6,8.0,30,13,0,9,18,10,2.5,2535,7.6
Patrick Mahomes,11765,QB,KC,8,78.5,298,331,7.6,2.76,5,17,4.7,66.2,219,0,133,6.4,370,15,149,16,85.7,88.6,83.5,89.1,5,6,402,1,12.0,103.6,4.3,16,21,0,23,21,10,2.5,2605,7.9
Aaron Rodgers,2241,QB,GB,9,75.6,291,317,7.7,2.53,4,20,5.9,64.7,205,0,91,6.8,342,15,98,12,83.7,76.4,74.7,66.1,3,7,365,2,19.8,89.0,5.3,18,6,1,18,14,7,1.9,2091,6.6
Trevor Lawrence,77632,QB,JAX,9,75.3,288,308,8.1,2.5,6,10,3.1,64.3,198,0,91,8.8,332,19,113,15,40.1,63.1,59.4,74.3,2,6,353,3,13.2,87.6,3.6,12,10,2,10,11,12,3.4,2080,6.8
Kirk Cousins,7102,QB,MIN,8,78.2,266,304,7.2,2.65,5,12,3.7,64.8,197,0,115,5.3,326,11,108,18,72.0,77.1,74.8,79.0,8,6,348,4,13.9,89.5,4.9,16,6,2,23,13,9,2.6,1998,6.6
Josh Allen,46601,QB,BUF,8,74.9,271,298,9.3,2.76,11,21,6.8,64.1,191,0,110,5.9,344,12,134,4,66.5,88.5,78.1,92.8,2,8,356,2,14.5,99.2,4.7,16,29,1,13,19,17,4.8,2403,8.1
Matt Ryan,4317,QB,IND,7,79.8,267,297,6.3,2.62,8,2,0.6,68.4,203,0,110,4.7,327,10,105,14,26.4,57.2,58.7,43.0,3,9,344,3,21.8,84.7,7.3,24,6,1,18,9,14,4.1,2011,6.8
Matthew Stafford,4924,QB,LA,8,75.2,270,285,6.7,2.57,3,12,4.1,68.4,195,0,102,3.9,318,8,101,26,44.8,62.8,63.3,56.2,0,8,326,4,27.5,85.0,8.8,28,4,0,12,8,12,3.7,1933,6.8
Geno Smith,7820,QB,SEA,9,79.1,268,283,8.0,2.75,4,18,5.8,73.1,207,0,106,2.4,318,5,112,29,91.1,87.0,83.0,82.7,0,4,345,5,19.8,107.2,6.6,21,14,0,11,15,12,3.5,2199,7.8
Jared Goff,10635,QB,DET,8,74.1,255,275,8.3,2.69,3,10,3.4,62.9,173,0,95,8.5,296,16,100,11,55.3,64.4,63.9,52.9,2,7,316,0,13.7,91.8,4.4,13,8,1,14,14,15,4.7,2041,7.4
Derek Carr,8671,QB,LV,8,72.1,247,273,9.1,2.73,2,12,4.2,62.3,170,0,109,4.5,298,8,96,23,56.3,67.0,65.9,67.0,6,5,316,4,15.6,88.4,5.7,17,7,0,18,11,12,3.8,1878,6.9
Davis Mills,52269,QB,HST,8,72.3,242,258,7.4,2.47,5,7,2.6,62.8,162,0,111,7.4,283,13,70,13,80.2,66.5,66.6,54.4,5,8,299,3,17.1,81.2,6.7,19,5,0,6,10,5,1.7,1656,6.4
Lamar Jackson,46416,QB,BLT,9,72.8,235,257,9.4,3.17,8,14,5.2,62.3,160,0,100,6.4,297,11,94,3,56.6,79.4,66.2,92.2,1,6,313,4,20.0,93.7,6.7,20,20,1,12,16,9,2.9,1768,6.9
Jacoby Brissett,10725,QB,CLV,8,75.8,231,255,9.3,2.89,4,12,4.4,63.9,163,1,83,6.9,285,12,96,8,43.1,77.5,71.1,90.3,3,5,303,3,19.3,86.8,5.6,16,14,3,14,7,13,4.3,1862,7.3
Jalen Hurts,40291,QB,PHI,8,81.5,216,239,7.6,2.85,7,9,3.5,68.2,163,0,98,7.4,287,13,106,24,62.4,85.1,85.3,69.5,2,2,304,2,20.4,107.8,7.0,20,27,0,14,12,5,1.6,2042,8.5
Carson Wentz,10636,QB,WAS,6,74.1,212,232,8.1,2.61,7,12,4.8,62.1,144,0,89,8.3,266,13,71,32,65.9,63.1,61.3,64.1,3,6,287,5,25.8,84.1,8.6,23,11,0,10,10,10,3.5,1489,6.4
Marcus Mariota,9435,QB,ATL,10,67.1,219,231,10.8,3.07,3,7,2.8,61.9,143,0,101,2.7,279,4,94,2,33.6,67.0,63.4,69.2,0,7,296,0,25.7,89.9,9.3,26,22,2,7,12,14,4.7,1747,7.6
Russell Wilson,7077,QB,DEN,7,71.5,207,228,9.9,2.77,7,9,3.7,58.8,134,0,82,9.5,265,14,73,10,79.9,63.2,61.7,67.3,1,4,285,2,28.0,83.5,8.7,23,14,1,12,6,8,2.8,1695,7.4
Daniel Jones,39395,QB,NYG,8,77.9,199,220,6.6,3.18,6,3,1.3,65.0,143,0,125,7.7,276,12,88,21,45.9,64.6,61.7,71.9,2,2,301,5,19.2,88.0,8.7,24,32,0,13,6,10,3.3,1399,6.4
Tua Tagovailoa,60326,QB,MIA,7,80.0,205,216,9.7,2.54,2,10,4.4,69.9,151,1,52,7.9,231,13,94,17,62.9,89.5,90.2,39.7,2,3,244,2,15.4,115.9,3.5,8,6,0,7,15,10,4.1,1980,9.2
Jimmy Garoppolo,8697,QB,SF,7,74.0,196,209,7.7,2.46,11,11,5.0,66.5,139,0,62,4.1,226,6,77,28,51.6,67.7,65.9,65.3,1,4,243,1,24.2,100.8,6.6,15,2,0,1,11,8,3.3,1690,8.1
Andy Dalton,6187,QB,NO,6,77.4,168,190,8.5,2.59,4,7,3.6,65.3,124,0,56,4.6,203,6,67,20,74.0,82.7,81.0,67.5,5,5,211,1,14.3,93.5,3.9,8,5,0,13,10,5,2.4,1389,7.3
Justin Fields,82118,QB,CHI,9,68.8,173,187,9.8,3.35,6,7,3.4,58.8,110,3,126,7.6,266,9,82,6,30.1,67.9,51.7,91.4,2,6,287,7,26.2,85.0,12.4,33,46,0,6,10,14,4.9,1322,7.1
Baker Mayfield,46518,QB,CAR,6,66.9,154,173,7.0,2.67,9,3,1.6,56.6,98,0,54,4.9,197,5,44,5,55.4,51.9,53.9,45.0,2,4,208,1,27.8,78.1,7.6,15,6,0,8,6,6,2.9,1117,6.5
Mac Jones,60323,QB,NE,6,72.2,158,168,8.3,2.75,2,7,4.0,66.1,111,0,61,2.6,198,3,54,19,73.7,51.5,49.4,68.6,0,7,207,2,24.6,76.0,7.6,15,15,0,8,4,10,4.8,1140,6.8
Zach Wilson,82096,QB,NYJ,6,70.8,144,167,8.2,3.07,5,3,1.7,57.5,96,0,67,5.9,189,6,57,22,73.3,54.9,50.6,68.7,3,5,197,0,17.9,75.5,6.3,12,9,0,15,4,11,5.6,1202,7.2
Kenny Pickett,60515,QB,PIT,5,75.8,157,165,7.5,2.77,2,3,1.7,67.9,112,1,54,5.9,191,7,58,25,56.1,60.6,59.4,68.3,0,8,207,2,22.2,66.8,6.3,12,14,1,5,2,8,3.9,962,5.8
Cooper Rush,12324,QB,DAL,6,69.1,139,156,9.1,2.43,6,3,1.8,57.7,90,0,52,6.3,166,6,50,9,70.6,57.1,56.5,54.8,3,3,176,1,13.5,80.1,4.2,7,2,1,7,5,8,4.5,1020,6.5
Joe Flacco,4332,QB,NYJ,3,74.6,134,155,8.3,2.63,4,3,1.9,58.7,91,0,61,9.0,165,9,49,22,29.7,55.0,54.5,61.5,7,3,173,1,14.8,77.9,5.5,9,1,0,10,5,6,3.5,901,5.8
Ryan Tannehill,7014,QB,TEN,6,80.3,132,146,7.8,2.68,3,5,3.1,65.1,95,0,70,10.4,165,11,55,31,71.9,69.2,68.4,61.7,5,3,178,2,20.0,92.8,8.5,14,4,1,5,6,5,2.8,1097,7.5
