player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tyreek Hill,10799,WR,MIA,10,12.0,10,77.1,60.0,9,15,1,3.6,3,52,17,1,85.6,57.3,92.0,,92.2,1.8,6,2,64,0.0,0,341,4,81,93.3,318,38.7,132,116.7,105,4,56.9,194,1148,358,4.4,14.2,3.61
Stefon Diggs,9579,WR,BUF,9,11.5,10,75.0,33.3,4,12,1,4.0,3,45,4,1,81.5,48.5,91.0,,91.0,0.0,0,0,53,0.0,0,353,3,72,96.6,341,38.5,136,131.6,96,7,61.5,217,985,321,4.5,13.7,2.89
Cooper Kupp,11824,WR,LA,9,7.5,13,78.9,53.8,7,13,0,1.3,1,42,26,2,90.4,53.5,86.3,77.6,88.1,0.0,0,4,75,0.9,3,351,0,75,96.3,338,55.6,195,106.1,95,6,43.3,152,819,426,5.7,10.9,2.42
Justin Jefferson,61398,WR,MIN,9,10.7,8,74.2,60.9,14,23,0,6.8,5,43,18,0,63.3,81.7,88.2,,88.5,0.0,0,4,64,0.0,0,407,2,69,93.4,380,30.2,123,107.8,93,4,68.8,280,1060,400,5.8,15.4,2.79
Davante Adams,8688,WR,LV,9,11.9,9,60.9,47.1,8,17,0,3.4,2,34,23,1,82.0,44.1,85.4,66.1,85.3,0.0,0,1,58,0.3,1,357,1,56,93.0,332,29.7,106,112.2,92,8,69.7,249,772,297,5.3,13.8,2.33
Michael Pittman Jr.,29049,WR,IND,9,7.0,4,73.5,55.0,11,20,0,3.2,2,32,14,2,84.7,26.5,71.4,,71.0,0.0,0,2,28,0.0,0,408,0,61,94.1,384,24.8,101,88.0,83,1,75.2,307,611,238,3.9,10.0,1.59
CeeDee Lamb,61570,WR,DAL,9,11.1,6,63.9,37.5,6,16,1,7.0,4,37,9,0,66.7,80.4,79.4,,80.7,0.3,1,3,35,0.0,0,309,2,53,94.8,293,58.3,180,95.8,83,5,39.5,122,706,243,4.6,13.3,2.41
Travis Kelce,7844,TE,KC,9,8.0,18,75.9,45.5,5,11,0,7.4,5,47,16,0,67.7,81.2,91.1,59.8,91.2,24.7,95,1,46,3.4,13,385,3,63,89.1,343,43.9,169,129.6,83,8,31.2,120,740,322,5.1,11.7,2.16
Diontae Johnson,33441,WR,PIT,9,11.0,3,59.5,45.5,5,11,0,6.0,3,22,25,1,65.6,41.3,65.5,,65.4,0.0,0,5,36,0.0,0,390,2,47,92.1,359,10.8,42,47.7,79,0,89.2,348,425,81,1.7,9.0,1.18
Austin Ekeler,12164,HB,LAC,9,-1.1,18,87.0,33.3,1,3,0,5.6,4,24,27,1,74.4,47.4,72.9,29.3,76.8,0.0,0,0,23,8.5,24,281,0,67,88.3,248,9.6,27,106.8,77,4,3.2,9,421,501,7.5,6.3,1.7
D.K. Metcalf,47864,WR,SEA,10,12.2,4,62.3,40.0,10,25,1,4.0,2,28,29,2,78.8,24.2,77.8,,78.3,0.0,0,1,54,0.0,0,328,4,48,92.7,304,18.0,59,97.4,77,4,82.0,269,581,137,2.9,12.1,1.91
Christian Kirk,47546,WR,JAX,10,10.0,4,68.4,25.0,3,12,0,8.8,5,35,15,1,59.5,81.9,74.3,62.3,76.5,0.5,2,3,49,0.3,1,386,1,52,94.0,363,76.7,296,110.6,76,7,21.5,83,679,229,4.4,13.1,1.87
Chris Olave,84355,WR,NO,9,15.5,2,63.0,38.9,7,18,2,2.1,1,30,20,1,85.6,34.5,80.6,,81.8,0.3,1,4,51,0.0,0,301,3,46,95.3,287,27.6,83,78.5,73,2,72.1,217,658,115,2.5,14.3,2.29
Mike Evans,8642,WR,TB,9,13.7,2,67.1,64.7,11,17,1,7.5,4,34,30,0,56.6,79.1,72.5,,73.4,0.0,0,2,51,0.0,0,373,1,49,94.6,353,28.7,107,98.6,73,3,71.3,266,671,120,2.4,13.7,1.9
Jaylen Waddle,84088,WR,MIA,10,11.6,5,69.9,21.4,3,14,0,10.5,6,42,17,1,51.3,39.5,84.5,65.7,85.9,0.0,0,2,59,0.3,1,344,0,51,93.3,321,24.7,85,126.4,73,6,73.5,253,878,319,6.3,17.2,2.74
D.J. Moore,48267,WR,CAR,10,12.5,6,54.9,45.5,5,11,1,4.9,2,24,5,0,73.7,79.3,70.8,,71.2,0.9,3,3,62,0.0,0,328,2,39,95.1,312,27.4,90,72.4,71,3,71.3,234,478,125,3.2,12.3,1.53
Courtland Sutton,48164,WR,DEN,9,13.0,1,57.7,37.0,10,27,0,8.9,4,24,10,0,59.1,78.5,63.5,,64.4,0.3,1,3,51,0.0,0,376,2,41,93.1,350,12.8,48,68.6,71,1,87.0,327,533,95,2.3,13.0,1.52
Amon-Ra St. Brown,84470,WR,DET,8,6.4,3,70.0,16.7,1,6,0,5.8,3,28,11,0,71.4,79.8,83.2,64.9,82.8,0.4,1,1,49,0.4,1,228,0,49,93.9,214,57.0,130,99.6,70,3,41.2,94,518,285,5.8,10.6,2.42
Terry McLaurin,48229,WR,WAS,10,13.5,8,66.7,62.5,10,16,0,4.2,2,31,32,0,76.8,35.8,75.4,,76.6,0.0,0,1,49,0.0,0,408,1,46,93.6,382,23.3,95,105.8,69,2,76.5,312,737,258,5.6,16.0,1.93
A.J. Brown,48327,WR,PHI,9,12.0,10,64.7,47.1,8,17,0,6.4,3,31,24,0,69.8,78.9,87.4,,87.8,0.0,0,1,54,0.0,0,300,2,44,94.3,283,24.7,74,123.7,68,6,75.0,225,725,284,6.5,16.5,2.56
Chris Godwin,11839,WR,TB,8,6.3,3,70.6,69.2,9,13,0,4.0,2,23,30,0,78.8,79.4,72.1,65.8,73.0,0.0,0,0,44,0.3,1,317,1,48,93.7,297,74.8,237,94.9,68,1,24.9,79,475,232,4.8,9.9,1.6
Ja'Marr Chase,84270,WR,CIN,7,9.9,5,69.1,45.5,5,11,0,6.0,3,34,7,1,70.3,38.0,78.9,,80.3,0.3,1,1,60,0.0,0,327,1,47,94.2,308,26.3,86,120.0,68,6,72.5,237,605,256,5.4,12.9,1.96
Amari Cooper,9437,WR,CLV,9,13.4,1,62.7,50.0,6,12,0,6.7,3,32,8,0,67.4,78.5,74.6,,77.6,0.0,0,2,55,0.0,0,317,3,42,93.1,295,24.3,77,103.1,67,5,75.7,240,585,106,2.5,13.9,1.98
Tyler Lockett,9502,WR,SEA,10,12.1,2,80.6,37.5,3,8,0,1.8,1,32,29,1,87.6,25.5,75.8,65.3,75.7,1.2,4,3,40,0.3,1,342,0,54,93.0,318,40.9,140,112.7,67,5,57.0,195,641,138,2.6,11.9,2.02
Zach Ertz,7816,TE,ARZ,10,8.0,4,71.2,38.5,5,13,0,6.0,3,24,1,0,85.8,79.7,62.5,29.6,66.6,25.8,106,1,32,1.9,8,411,5,47,91.2,375,57.7,237,100.9,66,4,13.6,56,406,136,2.9,8.6,1.08
Curtis Samuel,11795,WR,WAS,10,6.4,7,72.3,46.7,7,15,0,6.0,3,27,32,0,71.5,50.2,72.8,69.2,71.2,0.3,1,1,49,0.3,1,367,0,47,93.2,342,69.5,255,102.3,65,3,26.4,97,483,216,4.6,10.3,1.41
Mark Andrews,47436,TE,BLT,8,10.9,3,65.6,69.2,9,13,0,6.7,3,29,3,0,68.0,78.9,84.5,,82.4,12.3,29,1,25,0.0,0,235,1,42,95.3,224,66.4,156,108.1,64,5,21.3,50,488,160,3.8,11.6,2.18
Zay Jones,11792,WR,JAX,9,8.9,3,74.6,37.5,3,8,0,2.1,1,25,15,0,85.2,79.5,67.9,69.0,67.2,0.0,0,1,22,0.3,1,346,0,47,93.6,324,34.7,120,90.5,63,1,65.3,226,417,164,3.5,8.9,1.29
Garrett Wilson,97405,WR,NYJ,9,8.4,12,66.7,21.4,3,14,1,4.5,2,25,22,0,75.3,28.6,76.9,35.6,80.6,2.8,8,0,54,0.7,2,284,3,42,96.1,273,47.5,135,102.7,63,2,49.6,141,522,200,4.8,12.4,1.91
Tyler Higbee,10744,TE,LA,9,3.3,5,69.8,0.0,0,2,0,8.3,4,19,26,0,60.4,78.8,58.8,51.8,63.4,58.3,183,3,26,14.3,45,314,0,44,84.1,264,17.2,54,65.9,63,0,24.5,77,385,263,6.0,8.8,1.46
