player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,10,6,3.7,0,0,3,59.3,77.2,86.9,75.0,66.3,37.3,9.1,2,0,115,117,7.0,8,14
Ndamukong Suh,5527,DI,PHI,2,1,0.0,0,0,24,,62.0,76.5,71.7,53.7,70.2,0.0,0,0,19,20,5.3,1,1
Tyson Alualu,5535,DI,PIT,11,1,2.9,0,0,25,60.0,30.4,24.6,55.6,29.7,35.6,11.1,1,2,89,89,4.5,4,7
Brandon Graham,5538,ED,PHI,11,2,1.1,0,0,24,72.1,89.6,66.3,82.5,79.5,62.8,9.1,1,1,96,98,7.3,7,8
Jason Pierre-Paul,5540,ED,BLT,8,1,1.5,1,0,3,50.0,52.1,45.1,57.0,54.8,62.4,16.7,1,2,97,97,2.1,2,4
Kareem Jackson,5545,S,DEN,11,12,6.8,0,0,10,64.6,66.8,65.9,60.0,69.8,56.6,16.7,7,1,277,297,2.5,7,23
Devin McCourty,5552,S,NE,12,7,11.8,0,0,19,68.8,70.6,85.8,55.5,70.4,89.1,8.0,2,0,298,301,0.7,2,16
Jerry Hughes,5556,ED,HST,11,4,1.6,1,0,13,68.1,77.1,64.1,72.4,64.0,26.8,31.6,6,2,208,208,2.9,6,9
Linval Joseph,5571,DI,PHI,2,3,3.5,0,0,24,,60.6,3.7,64.6,63.3,33.2,16.7,1,1,33,35,3.0,1,2
Carlos Dunlap,5579,ED,KC,11,5,3.2,0,0,16,59.8,66.3,88.6,59.1,69.4,54.2,5.6,1,0,103,107,9.7,10,12
Corey Peters,5607,DI,JAX,7,3,0.8,0,0,15,62.8,61.3,83.1,58.0,57.9,73.6,0.0,0,0,67,68,4.5,3,5
Al Woods,5646,DI,SEA,10,8,2.1,0,0,29,60.5,72.4,61.3,70.6,68.6,63.0,6.5,2,1,164,167,9.1,15,21
Von Miller,6154,ED,BUF,11,1,1.9,0,0,4,74.2,85.8,26.0,81.8,78.8,53.2,15.4,2,4,134,135,7.5,10,10
Patrick Peterson,6157,CB,MIN,11,0,2.4,0,0,18,85.9,82.8,58.8,60.0,59.5,74.5,16.7,1,3,253,257,2.0,5,5
J.J. Watt,6163,DI,ARZ,11,1,0.7,0,0,1,64.0,62.7,35.9,70.1,50.4,66.8,0.0,0,5,162,166,5.6,9,10
Robert Quinn,6166,ED,PHI,12,2,2.4,2,0,24,65.8,41.2,28.0,55.6,34.8,55.0,10.0,1,4,147,150,1.4,2,7
Cameron Jordan,6176,ED,NO,11,10,1.3,0,0,20,84.3,67.9,76.7,53.9,73.0,42.9,16.2,6,1,198,207,8.1,16,21
Cameron Heyward,6183,DI,PIT,11,9,2.7,0,0,25,68.4,88.6,85.9,71.5,79.1,72.8,0.0,0,1,184,189,10.3,19,24
Justin Houston,6222,ED,BLT,8,1,0.5,0,0,3,69.1,75.9,59.7,71.5,70.7,59.8,0.0,0,1,28,31,7.1,2,2
Lawrence Guy,6385,DI,NE,9,15,2.2,0,0,19,,55.1,85.1,54.8,54.8,66.3,2.9,1,0,172,174,8.7,15,18
Chris Harris Jr.,6457,CB,NO,8,2,6.1,0,0,20,47.6,49.9,36.1,68.5,59.5,56.6,0.0,0,4,120,123,1.7,2,7
Josh Bynes,6503,LB,BLT,7,1,4.2,0,0,3,69.9,54.2,80.9,58.5,38.1,62.3,12.5,2,0,121,122,5.0,6,13
Nick Bellore,6515,LB,SEA,3,1,,0,0,29,60.0,80.8,65.9,60.0,74.9,71.7,0.0,0,0,8,8,0.0,0,0
Mario Addison,6558,ED,HST,7,5,3.3,0,0,13,64.1,53.7,86.9,58.1,45.3,61.6,11.1,1,0,86,88,2.3,2,3
Stephon Gilmore,7016,CB,IND,12,1,10.0,0,0,14,73.0,75.2,87.1,,76.7,69.3,8.3,1,2,331,342,0.6,2,10
Fletcher Cox,7018,DI,PHI,11,7,2.7,0,0,24,,57.8,72.3,62.9,51.2,54.6,8.0,2,1,174,177,6.3,11,16
Michael Brockers,7020,DI,DET,6,0,2.3,0,0,11,,51.3,81.3,55.2,50.4,37.2,0.0,0,0,62,62,4.8,3,4
Bruce Irvin,7021,ED,SEA,5,3,0.6,0,0,29,74.9,65.6,51.5,53.0,73.5,36.8,16.7,2,1,91,92,7.7,7,7
Melvin Ingram III,7024,ED,MIA,11,2,1.4,1,0,17,43.1,73.7,0.0,87.0,67.2,40.3,12.5,1,5,96,99,4.2,4,5
