player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Neville Hewitt,9836,LB,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Montaric Brown,55797,CB,JAX,2,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Christian Matthew,156140,CB,ARZ,1,1,,1.0,1,0,39.6,0,1,0,0,0,0.0
Stephon Gilmore,7016,CB,IND,4,6,,6.0,14,0,39.6,0,1,0,0,0,0.0
J.C. Jackson,42781,CB,LAC,1,1,,1.0,27,0,39.6,0,1,0,0,0,0.0
Kristian Fulton,42894,CB,TEN,7,24,,24.0,31,0,39.6,0,1,0,0,0,0.0
Sauce Gardner,100903,CB,NYJ,4,7,,7.0,22,0,39.6,0,1,0,0,0,0.0
Alontae Taylor,83469,CB,NO,6,9,,3.0,20,0,39.6,0,3,0,0,0,0.0
Marcus Jones,55717,CB,NE,6,41,,41.0,19,0,39.6,0,1,0,0,0,0.0
Andrew Wingard,49268,S,JAX,2,6,,6.0,15,1,0.0,0,1,0,0,0,0.0
Jaire Alexander,49350,CB,GB,5,14,,4.7,12,0,39.6,0,3,0,0,0,0.0
Duke Shelley,49569,CB,MIN,1,1,,1.0,18,0,39.6,0,1,0,0,0,0.0
Terrance Mitchell,8888,CB,TEN,8,18,,18.0,31,0,39.6,0,1,0,0,0,0.0
Micah Parsons,81360,ED,DAL,2,4,,4.0,9,0,39.6,0,1,0,0,0,0.0
Garret Wallow,60761,LB,HST,5,17,,8.5,13,0,39.6,0,2,0,0,0,0.0
Anthony Walker,11916,LB,CLV,3,5,,5.0,8,0,39.6,0,1,0,0,0,0.0
Michael Jackson,50437,CB,SEA,6,9,,9.0,29,0,39.6,0,1,0,0,0,0.0
Duke Riley,11830,LB,MIA,6,12,,12.0,17,0,39.6,0,1,0,0,0,0.0
Dawuane Smoot,11823,ED,JAX,2,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Andre Chachere,51194,CB,PHI,1,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Tracy Walker,51266,S,DET,3,22,,22.0,11,0,39.6,0,1,0,0,0,0.0
Steven Nelson,9531,CB,HST,4,15,,15.0,13,0,39.6,0,1,0,0,0,0.0
Caleb Farley,61803,CB,TEN,2,2,,2.0,31,0,39.6,0,1,0,0,0,0.0
Isaiah Pola-Mao,60781,S,LV,3,3,,3.0,23,0,39.6,0,1,0,0,0,0.0
Jonathon Cooper,43021,ED,DEN,2,2,,2.0,10,0,39.6,0,1,0,0,0,0.0
Arnold Ebiketie,56862,ED,ATL,2,1,,1.0,2,0,39.6,0,1,0,0,0,0.0
Martin Emerson,97872,CB,CLV,7,9,,9.0,8,0,39.6,0,1,0,0,0,0.0
Eric Murray,10740,S,HST,6,10,,10.0,13,0,39.6,0,1,0,0,0,0.0
Minkah Fitzpatrick,51206,S,PIT,10,51,51.0,17.0,25,2,2.8,1,3,0,7,4,0.14
Juston Burris,10752,S,CAR,5,41,41.0,13.7,5,0,81.9,1,3,1,4,0,0.1
Eddie Jackson,11867,S,CHI,11,39,39.0,13.0,6,0,42.4,1,3,0,4,0,0.1
Elijah Molden,56290,CB,TEN,2,35,35.0,8.8,31,0,39.6,1,4,0,9,7,0.26
Marcus Maye,11794,S,NO,9,35,35.0,17.5,20,0,56.3,1,2,0,4,5,0.11
Jordan Poyer,8000,S,BUF,10,51,25.5,12.8,4,2,56.3,2,4,1,12,13,0.24
C.J. Henderson,55593,CB,CAR,10,24,24.0,24.0,5,0,118.8,1,1,0,13,7,0.54
Jaycee Horn,83375,CB,CAR,11,94,23.5,15.7,5,0,76.4,4,6,0,27,22,0.29
Cory Littleton,11190,LB,CAR,9,23,23.0,11.5,5,0,93.8,1,2,0,24,10,1.04
David Long Jr.,27377,CB,LA,7,23,23.0,11.5,26,0,77.1,1,2,0,16,22,0.7
Siran Neal,27130,CB,BUF,5,23,23.0,3.3,4,0,41.4,1,7,0,24,9,1.04
