id,player,team,opponent,position,salary,ownership
82959-53681,Tyreek Hill,MIA,CLE,WR,9000,25.3
82959-86055,Dameon Pierce,HOU,NYG,RB,7700,25.0
82959-86997,Amon-Ra St. Brown,DET,CHI,WR,6900,22.1
82959-63759,Tony Pollard,DAL,GB,RB,7000,21.9
82959-64401,Saquon Barkley,NYG,HOU,RB,9500,19.7
82959-91591,Justin Fields,CHI,DET,QB,8300,19.7
82959-39280,Derrick Henry,TEN,DEN,RB,9400,17.0
82959-33076,Travis Kelce,KC,JAC,TE,8500,16.8
82959-42104,Alvin Kamara,NO,PIT,RB,8600,16.4
82959-72731,Josh Jacobs,LV,IND,RB,8400,16.1
82959-89956,Travis Etienne Jr.,JAC,KC,RB,8000,15.4
82959-57439,Patrick Mahomes,KC,JAC,QB,8500,15.0
82959-60858,Christian Kirk,JAC,KC,WR,6800,14.9
82959-91931,Greg Dulcich,DEN,TEN,TE,5900,14.5
82959-60712,Foster Moreau,LV,IND,TE,5200,14.1
82959-90572,Tua Tagovailoa,MIA,CLE,QB,8100,13.7
82959-69777,Darnell Mooney,CHI,DET,WR,6200,13.2
82959-31001,Amari Cooper,CLE,MIA,WR,7800,13.2
82959-12542,New Orleans Saints,NO,PIT,D,3900,12.7
82959-55987,JuJu Smith-Schuster,KC,JAC,WR,7000,12.4
82959-70603,Devin Singletary,BUF,MIN,RB,5600,12.3
82959-45889,Davante Adams,LV,IND,WR,8500,12.1
82959-90573,Jaylen Waddle,MIA,CLE,WR,8200,11.6
82959-12546,Arizona Cardinals,ARI,LAR,D,4000,10.9
82959-89675,Jonathan Taylor,IND,LV,RB,7000,10.8
82959-86631,CeeDee Lamb,DAL,GB,WR,7600,10.6
82959-79970,Cooper Kupp,LAR,ARI,WR,9200,9.8
82959-40687,James Conner,ARI,LAR,RB,6300,9.6
82959-40442,Aaron Jones,GB,DAL,RB,7200,9.1
82959-12547,Pittsburgh Steelers,PIT,NO,D,3600,8.9
82959-12540,Minnesota Vikings,MIN,BUF,D,3200,8.3
82959-91426,Donovan Peoples-Jones,CLE,MIA,WR,5700,8.2
82959-55552,Jeff Wilson Jr.,MIA,CLE,RB,6500,8.2
82959-45631,Jamaal Williams,DET,CHI,RB,7400,8.1
82959-25079,Stefon Diggs,BUF,MIN,WR,9100,8.1
82959-73273,David Montgomery,CHI,DET,RB,6700,7.3
82959-41872,Evan Engram,JAC,KC,TE,4900,6.9
82959-73111,Chase Claypool,CHI,DET,WR,5800,6.9
82959-12556,Houston Texans,HOU,NYG,D,3400,6.7
82959-54140,Dalvin Cook,MIN,BUF,RB,7500,6.7
82959-90561,Jerry Jeudy,DEN,TEN,WR,6400,6.6
82959-40647,Marquez Valdes-Scantling,KC,JAC,WR,5400,6.6
82959-41305,Zay Jones,JAC,KC,WR,5500,6.5
82959-87770,Chris Olave,NO,PIT,WR,7500,6.4
82959-66008,Diontae Johnson,PIT,NO,WR,6600,6.4
82959-62239,Josh Allen,BUF,MIN,QB,9200,6.4
82959-53562,Nick Chubb,CLE,MIA,RB,9000,6.2
82959-12538,Los Angeles Rams,LAR,ARI,D,4200,6.1
