player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,9,0,2,2,100.0,4,2,50.0,28,66.7,0,0,,21,20,95.2,0,2,2,100.0,16,13,81.3,8,7,87.5
Matt Prater,3471,K,ARZ,6,0,0,0,,3,3,100.0,1,74.4,0,0,,9,9,100.0,0,4,4,100.0,8,8,100.0,1,1,100.0
Nick Folk,3794,K,NE,9,0,3,2,66.7,8,7,87.5,19,75.1,1,1,100.0,20,20,100.0,0,6,6,100.0,21,19,90.5,3,3,100.0
Mason Crosby,3809,K,GB,10,0,2,0,0.0,4,3,75.0,12,68.2,0,0,,21,21,100.0,0,3,3,100.0,13,10,76.9,4,4,100.0
Ryan Succop,5180,K,TB,10,0,4,2,50.0,8,8,100.0,30,73.9,0,0,,13,13,100.0,0,6,5,83.3,25,22,88.0,7,7,100.0
Graham Gano,5443,K,NYG,9,0,4,4,100.0,7,6,85.7,21,86.4,0,0,,17,17,100.0,0,9,8,88.9,20,18,90.0,0,0,
Randy Bullock,7154,K,TEN,9,0,0,0,,7,5,71.4,31,64.4,0,0,,19,19,100.0,0,2,2,100.0,13,11,84.6,4,4,100.0
Greg Zuerlein,7163,K,NYJ,9,0,5,4,80.0,7,5,71.4,22,66.6,0,0,,21,20,95.2,0,4,4,100.0,19,16,84.2,3,3,100.0
Justin Tucker,7604,K,BLT,9,0,7,5,71.4,3,3,100.0,3,86.1,0,0,,26,25,96.2,0,6,6,100.0,20,18,90.0,4,4,100.0
Dustin Hopkins,7958,K,LAC,5,0,0,0,,2,1,50.0,27,70.2,0,0,,12,12,100.0,0,6,6,100.0,10,9,90.0,2,2,100.0
Brandon McManus,8437,K,DEN,9,0,6,3,50.0,5,5,100.0,10,58.0,0,0,,11,9,81.8,0,4,3,75.0,20,16,80.0,5,5,100.0
Brett Maher,8585,K,DAL,9,1,6,4,66.7,3,3,100.0,9,80.2,0,0,,23,22,95.7,1,3,3,100.0,17,15,88.2,5,5,100.0
Cairo Santos,8932,K,CHI,9,0,4,4,100.0,4,4,100.0,6,61.2,0,0,,20,17,85.0,0,5,5,100.0,14,14,100.0,1,1,100.0
Chris Boswell,8990,K,PIT,7,0,6,5,83.3,4,2,50.0,25,70.6,0,0,,9,9,100.0,0,3,2,66.7,16,12,75.0,3,3,100.0
Jason Myers,10207,K,SEA,10,0,5,5,100.0,3,3,100.0,29,80.8,0,0,,27,26,96.3,0,9,8,88.9,20,19,95.0,3,3,100.0
Wil Lutz,11096,K,NO,10,0,4,3,75.0,5,3,60.0,20,72.9,0,0,,21,21,100.0,0,10,8,80.0,20,15,75.0,1,1,100.0
Ka'imi Fairbairn,11161,K,HST,9,0,3,3,100.0,8,7,87.5,13,73.4,0,0,,14,14,100.0,0,6,5,83.3,19,17,89.5,2,2,100.0
Taylor Bertolet,11182,K,LAC,2,0,0,0,,0,0,,27,66.6,0,0,,6,6,100.0,0,0,0,,3,3,100.0,3,3,100.0
Jake Elliott,11908,K,PHI,8,0,2,1,50.0,1,0,0.0,24,65.8,0,0,,27,26,96.3,0,3,3,100.0,8,6,75.0,2,2,100.0
Harrison Butker,11988,K,KC,5,0,3,2,66.7,2,1,50.0,16,54.4,0,0,,17,15,88.2,0,1,0,0.0,8,5,62.5,2,2,100.0
Younghoe Koo,12042,K,ATL,10,0,6,3,50.0,6,5,83.3,2,63.2,0,0,,24,22,91.7,0,4,4,100.0,20,16,80.0,4,4,100.0
Tristan Vizcaino,13076,K,ARZ,1,0,0,0,,1,1,100.0,1,67.9,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,
Austin Seibert,13701,K,DET,3,0,1,0,0.0,3,2,66.7,11,58.2,0,0,,12,12,100.0,0,1,1,100.0,5,3,60.0,0,0,
Greg Joseph,22842,K,MIN,9,0,6,1,16.7,2,2,100.0,18,47.1,0,0,,25,21,84.0,0,3,3,100.0,18,13,72.2,7,7,100.0
Daniel Carlson,28121,K,LV,8,0,5,5,100.0,1,1,100.0,23,79.7,0,0,,18,17,94.4,0,7,7,100.0,18,18,100.0,5,5,100.0
Jason Sanders,29578,K,MIA,10,0,3,0,0.0,8,8,100.0,17,48.9,0,0,,30,27,90.0,0,2,2,100.0,17,13,76.5,4,3,75.0
Tyler Bass,33010,K,BUF,9,0,2,1,50.0,5,4,80.0,4,65.7,0,0,,29,29,100.0,0,9,8,88.9,18,15,83.3,2,2,100.0
Chase McLaughlin,33285,K,IND,8,0,5,4,80.0,8,7,87.5,14,76.2,0,0,,9,9,100.0,0,3,2,66.7,19,16,84.2,3,3,100.0
Dominik Eberle,33789,K,DET,1,0,0,0,,1,1,100.0,11,36.2,0,0,,4,2,50.0,0,0,0,,1,1,100.0,0,0,
Rodrigo Blankenship,34038,K,ARZ,2,0,1,1,100.0,2,1,50.0,1,42.6,0,0,,5,4,80.0,0,0,0,,5,4,80.0,2,2,100.0
Matt Ammendola,34039,K,ARZ,4,0,0,0,,1,0,0.0,1,28.4,1,1,100.0,7,5,71.4,0,2,1,50.0,7,5,71.4,3,3,100.0
