"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Tyreek Hill","MIA","wr","11","HST","23.9","0","0","0","0","0","0","0.912","4.3617","0.0645","10.0038","7.3943","99.8323","0.962","0.0775","0.0387","0.0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Derrick Henry","TEN","rb","6","CIN","19.9","0","0","0","0","0","0","21.9994","95.0734","0.8833","3.1311","2.6078","19.213","0.0907","0.1742","0.0871","0.0359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Jonathan Taylor","IND","rb","14","PIT","19","0","0","0","0","0","0","20.4429","91.0746","0.7209","3.4984","2.9925","19.7952","0.1112","0.222","0.111","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Dalvin Cook","MIN","rb","7","NE","18.2","0","0","0","0","0","0","18.9274","84.7671","0.6507","3.7309","3.1739","20.685","0.1052","0.2426","0.1213","0.0303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Josh Allen","BUF","qb","7","@DET","28","25.902","37.8578","302.3403","2.6777","0.7838","1.6607","6.909","38.7574","0.3595","0","0","0","0","0.5671","0.2835","0.092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Kenneth Walker III","SEA","rb","11","LV","16.8","0","0","0","0","0","0","18.2019","82.5071","0.7356","2.7518","2.3381","13.7795","0.0707","0.11","0.055","0.0162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Austin Ekeler","LAC","rb","8","@ARZ","16.7","0","0","0","0","0","0","13.142","56.2513","0.4253","5.152","4.3498","30.5636","0.1916","0.1963","0.0981","0.0332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Stefon Diggs","BUF","wr","7","@DET","19.8","0","0","0","0","0","0","0.0912","0.4358","0.0032","9.0941","6.689","84.2215","0.7578","0.0426","0.0213","0.0288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Jeff Wilson Jr.","MIA","rb","11","HST","16.3","0","0","0","0","0","0","15.3995","67.3036","0.6927","2.8093","2.3155","19.6937","0.1919","0.1895","0.0947","0.0114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Saquon Barkley","NYG","rb","9","@DAL","16.3","0","0","0","0","0","0","15.191","61.7722","0.3999","5.2193","4.2554","27.3899","0.1202","0.1333","0.0666","0.0219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","James Conner","ARZ","rb","13","LAC","15.4","0","0","0","0","0","0","14.923","62.2829","0.6881","3.1602","2.6563","18.7085","0.0947","0.2018","0.1009","0.0134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Jaylen Waddle","MIA","wr","11","HST","18.8","0","0","0","0","0","0","0.5732","3.4779","0.0331","8.5306","6.3386","77.3657","0.7043","0.1572","0.0786","0.018","74.8348","0.0728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Justin Jefferson","MIN","wr","7","NE","18.4","0","0","0","0","0","0","0.302","1.8073","0.0135","8.877","6.032","90.5914","0.5143","0.0548","0.0274","0.0154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Travis Kelce","KC","te","8","LA","16.6","0","0","0","0","0","0","0.151","0.6485","0.0111","7.4532","5.5161","69.9123","0.6614","0.0401","0.02","0.0167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Christian McCaffrey","SF","rb","9","NO","14.8","0","0","0","0","0","0","12.6593","54.6676","0.4794","3.7311","3.0956","24.8391","0.1544","0.1002","0.0501","0.0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Josh Jacobs","LV","rb","6","@SEA","14.7","0","0","0","0","0","0","18.1614","73.1279","0.4985","2.8913","2.3667","16.6801","0.0644","0.1125","0.0562","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Mike Evans","TB","wr","11","@CLV","18.2","0","0","0","0","0","0","0.0226","0.107","0.0008","9.2998","5.9582","83.2423","0.65","0.0214","0.0107","0.0104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Alvin Kamara","NO","rb","14","@SF","14.6","0","0","0","0","0","0","12.6861","49.0681","0.3489","4.8051","3.8542","29.3382","0.147","0.088","0.044","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
