player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tyreek Hill,10799,WR,MIA,10,12.0,10,77.1,60.0,9,15,1,3.6,3,52,17,1,85.6,57.3,92.0,,92.2,1.8,6,2,64,0.0,0,341,4,81,93.3,318,38.7,132,116.7,105,4,56.9,194,1148,358,4.4,14.2,3.61
Davante Adams,8688,WR,LV,10,12.2,11,61.2,50.0,9,18,0,4.5,3,40,23,1,78.4,47.4,87.8,66.1,88.1,0.0,0,1,58,0.3,1,398,2,63,93.0,370,30.9,123,118.3,103,10,68.3,272,913,326,5.2,14.5,2.47
Stefon Diggs,9579,WR,BUF,10,11.6,10,75.2,42.9,6,14,2,5.0,4,48,4,1,77.2,50.0,90.8,,90.9,0.0,0,0,53,0.0,0,381,4,76,96.3,367,36.5,139,133.8,101,8,63.5,242,1033,328,4.3,13.6,2.81
Justin Jefferson,61398,WR,MIN,10,10.8,8,73.5,60.9,14,23,0,6.5,5,45,18,0,64.8,81.9,87.3,,87.6,0.0,0,4,64,0.0,0,440,2,72,93.2,410,30.0,132,106.4,98,4,68.9,303,1093,407,5.7,15.2,2.67
Cooper Kupp,11824,WR,LA,9,7.5,13,78.9,53.8,7,13,0,1.3,1,42,26,2,90.4,53.5,86.3,77.6,88.1,0.0,0,4,75,0.9,3,351,0,75,96.3,338,55.6,195,106.1,95,6,43.3,152,819,426,5.7,10.9,2.42
Travis Kelce,7844,TE,KC,10,7.7,20,74.2,45.5,5,11,0,6.8,5,52,16,0,70.4,81.7,92.0,62.6,92.1,25.6,107,1,46,3.6,15,418,3,69,89.0,372,43.1,180,137.2,93,11,31.1,130,855,411,6.0,12.4,2.3
Michael Pittman Jr.,29049,WR,IND,10,6.9,4,74.4,54.5,12,22,0,2.9,2,35,14,2,86.8,27.2,72.4,,72.6,0.0,0,2,28,0.0,0,445,1,67,94.4,420,26.3,117,90.3,90,1,73.7,328,686,269,4.0,10.2,1.63
CeeDee Lamb,61570,WR,DAL,10,10.7,7,65.9,37.5,6,16,1,6.5,4,39,9,0,69.3,80.8,79.9,,80.9,0.3,1,3,35,0.0,0,333,3,58,94.9,316,58.0,193,97.3,88,5,39.9,133,751,262,4.5,12.9,2.38
Diontae Johnson,33441,WR,PIT,10,10.5,3,60.7,45.5,5,11,0,5.6,3,22,25,1,67.8,44.1,63.3,,63.4,0.0,0,5,36,0.0,0,436,3,51,92.0,401,10.8,47,50.0,84,0,89.2,389,446,93,1.8,8.7,1.11
Amari Cooper,9437,WR,CLV,10,13.6,1,62.5,47.1,8,17,0,5.7,3,39,8,0,71.9,79.5,79.0,,81.9,0.0,0,2,55,0.0,0,362,4,50,92.5,335,24.6,89,109.3,80,7,75.4,273,698,126,2.5,14.0,2.08
Chris Olave,84355,WR,NO,10,15.6,2,64.6,38.9,7,18,2,1.9,1,34,20,1,87.4,38.1,83.2,,84.2,0.3,1,4,53,0.0,0,321,3,51,95.6,307,28.7,92,87.5,79,3,71.0,228,760,140,2.7,14.9,2.48
Austin Ekeler,12164,HB,LAC,10,-1.0,18,87.3,33.3,1,3,0,5.5,4,25,27,1,75.2,51.7,77.1,35.4,79.3,0.0,0,0,23,9.2,28,304,0,69,87.8,267,9.9,30,106.6,79,4,3.3,10,438,513,7.4,6.3,1.64
Courtland Sutton,48164,WR,DEN,10,12.9,3,59.0,39.3,11,28,0,9.8,5,28,10,0,55.5,79.1,65.0,,66.3,0.2,1,3,51,0.0,0,412,3,46,93.2,384,13.3,55,72.2,78,1,86.4,356,613,120,2.6,13.3,1.6
D.K. Metcalf,47864,WR,SEA,10,12.2,4,62.3,40.0,10,25,1,4.0,2,28,29,2,78.8,24.2,77.8,,78.3,0.0,0,1,54,0.0,0,328,4,48,92.7,304,18.0,59,97.4,77,4,82.0,269,581,137,2.9,12.1,1.91
Amon-Ra St. Brown,84470,WR,DET,9,6.5,4,72.7,16.7,1,6,0,5.1,3,31,11,0,75.3,80.8,85.6,64.9,83.6,0.4,1,1,49,0.4,1,257,0,56,93.0,239,55.3,142,102.4,77,3,43.2,111,594,314,5.6,10.6,2.49
Christian Kirk,47546,WR,JAX,10,10.0,4,68.4,25.0,3,12,0,8.8,5,35,15,1,59.5,81.9,74.3,62.3,76.5,0.5,2,3,49,0.3,1,386,1,52,94.0,363,76.7,296,110.6,76,7,21.5,83,679,229,4.4,13.1,1.87
D.J. Moore,48267,WR,CAR,11,12.1,6,55.3,46.2,6,13,1,6.7,3,25,5,0,67.4,79.7,68.1,,69.0,0.8,3,3,62,0.0,0,369,2,42,94.9,350,27.6,102,72.4,76,3,71.3,263,502,124,3.0,12.0,1.43
A.J. Brown,48327,WR,PHI,10,11.7,11,65.3,44.4,8,18,0,5.8,3,33,24,1,73.4,38.8,86.8,,87.0,0.0,0,1,54,0.0,0,332,2,49,93.4,310,24.7,82,121.3,75,6,75.0,249,785,317,6.5,16.0,2.53
Terry McLaurin,48229,WR,WAS,11,13.8,8,66.7,64.7,11,17,0,3.8,2,34,32,0,78.7,39.3,76.5,,78.1,0.0,0,1,49,0.0,0,432,1,50,93.8,405,23.6,102,105.0,75,2,76.2,329,792,265,5.3,15.8,1.96
Jaylen Waddle,84088,WR,MIA,10,11.6,5,69.9,21.4,3,14,0,10.5,6,42,17,1,51.3,39.5,84.5,65.7,85.9,0.0,0,2,59,0.3,1,344,0,51,93.3,321,24.7,85,126.4,73,6,73.5,253,878,319,6.3,17.2,2.74
Mike Evans,8642,WR,TB,9,13.7,2,67.1,64.7,11,17,1,7.5,4,34,30,0,56.6,79.1,72.5,,73.4,0.0,0,2,51,0.0,0,373,1,49,94.6,353,28.7,107,98.6,73,3,71.3,266,671,120,2.4,13.7,1.9
Mark Andrews,47436,TE,BLT,9,10.6,3,66.7,69.2,9,13,0,5.9,3,32,3,0,71.4,79.6,83.8,,81.5,12.5,34,2,25,0.0,0,273,1,48,95.2,260,66.7,182,101.1,72,5,20.9,57,551,172,3.6,11.5,2.12
Tyler Higbee,10744,TE,LA,10,3.6,5,67.6,28.6,2,7,0,9.4,5,21,26,0,55.9,79.3,59.2,52.5,63.4,58.0,202,3,26,13.2,46,348,0,48,85.1,296,17.5,61,66.1,71,0,24.4,85,430,272,5.7,9.0,1.45
T.J. Hockenson,40912,TE,MIN,10,7.3,6,69.1,50.0,8,16,0,9.6,5,25,18,0,56.9,79.1,69.4,51.2,72.2,45.5,176,3,81,10.6,41,387,4,47,83.7,324,36.4,141,89.3,68,3,18.1,70,544,276,5.9,11.6,1.68
DeVonta Smith,61100,WR,PHI,10,9.0,5,76.5,25.0,3,12,0,7.1,4,28,24,1,66.1,80.2,74.5,,75.6,0.0,0,0,45,0.0,0,354,2,52,93.5,331,21.5,76,115.3,68,3,78.5,278,568,224,4.3,10.9,1.72
Chris Godwin,11839,WR,TB,8,6.3,3,70.6,69.2,9,13,0,4.0,2,23,30,0,78.8,79.4,72.1,65.8,73.0,0.0,0,0,44,0.3,1,317,1,48,93.7,297,74.8,237,94.9,68,1,24.9,79,475,232,4.8,9.9,1.6
Ja'Marr Chase,84270,WR,CIN,7,9.9,5,69.1,45.5,5,11,0,6.0,3,34,7,1,70.3,38.0,78.9,,80.3,0.3,1,1,60,0.0,0,327,1,47,94.2,308,26.3,86,120.0,68,6,72.5,237,605,256,5.4,12.9,1.96
Tyler Lockett,9502,WR,SEA,10,12.1,2,80.6,37.5,3,8,0,1.8,1,32,29,1,87.6,25.5,75.8,65.3,75.7,1.2,4,3,40,0.3,1,342,0,54,93.0,318,40.9,140,112.7,67,5,57.0,195,641,138,2.6,11.9,2.02
