player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,12,48,48,4.25,39.58,46.9,9.3,0,0,3,9,1,63.2,12,65,3,0,60.4,271,29,48,203.76,1900,4,2251
Kevin Huber,5066,P,CIN,9,31,31,4.27,37.42,43.23,14.5,0,0,3,13,7,54.4,10,63,3,0,35.5,160,11,31,132.43,1160,1,1340
Thomas Morstead,5088,P,MIA,10,36,36,4.38,40.53,47.58,10.7,0,0,6,8,17,72.2,15,66,0,0,55.6,214,20,37,157.75,1459,2,1713
Bryan Anger,7072,P,DAL,11,43,43,4.53,42.44,48.72,7.9,0,0,4,13,9,72.5,17,83,1,0,44.2,150,19,43,194.92,1825,6,2095
Johnny Hekker,7252,P,CAR,12,61,61,4.36,44.05,48.74,8.7,0,0,8,20,5,77.1,29,67,4,0,42.6,226,26,61,265.76,2687,3,2973
Sam Martin,7947,P,BUF,11,27,27,4.31,42.0,48.11,8.5,0,0,1,9,4,70.8,11,63,3,0,37.0,85,10,27,116.4,1134,4,1299
Tress Way,8358,P,WAS,12,60,60,4.4,43.67,47.2,6.0,0,0,10,20,32,63.0,30,67,4,0,36.7,132,22,60,264.23,2620,4,2832
Pat O'Donnell,8826,P,GB,12,44,44,4.09,40.77,44.95,9.6,1,0,8,14,12,60.8,24,72,4,0,38.6,164,17,45,180.01,1794,1,1978
Michael Palardy,9277,P,NE,3,16,16,4.16,40.44,43.19,4.8,0,0,3,6,19,52.9,5,56,1,0,31.3,24,5,16,66.53,647,1,691
Bradley Pinion,9598,P,ATL,12,45,45,4.55,40.84,46.36,12.2,0,0,7,15,2,80.1,17,73,4,0,37.8,208,17,45,204.74,1838,2,2086
Riley Dixon,10862,P,LA,11,50,50,4.32,42.88,49.0,9.9,2,0,2,11,26,84.0,11,64,7,0,58.0,286,29,52,215.76,2144,1,2450
Matt Haack,12212,P,IND,12,51,51,4.48,41.2,45.08,7.3,1,0,7,14,14,67.4,23,70,8,0,37.3,138,19,52,228.31,2101,3,2299
Cameron Johnston,12255,P,HST,11,57,57,4.24,43.37,48.75,8.2,0,0,5,16,13,65.9,26,67,3,0,52.6,247,30,57,241.4,2472,3,2779
Corey Bojorquez,27626,P,CLV,11,35,35,4.33,38.63,47.94,16.1,0,0,5,4,8,70.0,14,76,7,0,40.0,226,14,35,151.44,1352,5,1678
Logan Cooke,29214,P,JAX,11,38,38,4.32,43.97,50.95,6.9,0,0,5,5,15,78.1,12,70,1,0,55.3,145,21,38,164.14,1671,6,1936
Tommy Townsend,33007,P,KC,11,30,30,4.77,46.5,50.67,6.5,0,0,5,11,16,81.8,12,74,1,0,33.3,65,10,30,142.96,1395,3,1520
Jake Bailey,33963,P,NE,9,37,37,4.14,35.14,42.05,9.8,0,0,3,8,19,57.5,13,62,5,0,43.2,156,16,37,153.15,1300,5,1556
Jack Fox,34735,P,DET,11,35,35,4.31,40.8,48.77,12.6,0,0,6,6,11,58.4,10,63,2,0,54.3,239,19,35,150.83,1428,2,1707
Michael Dickson,35381,P,SEA,10,39,39,4.3,45.03,49.13,6.0,0,0,4,9,29,66.7,18,68,4,0,51.3,120,20,39,167.66,1756,2,1916
A.J. Cole III,36038,P,LV,11,36,36,4.41,44.67,50.56,11.8,0,0,6,10,23,85.6,19,67,2,0,50.0,212,18,36,158.8,1608,0,1820
J.K. Scott,38809,P,LAC,11,46,46,4.76,41.46,43.15,3.9,0,0,8,19,27,68.9,20,54,3,0,32.6,58,15,46,218.75,1907,1,1985
Corliss Waitman,39620,P,DEN,11,65,65,4.39,41.35,46.63,8.2,0,0,9,19,10,62.6,24,58,1,0,49.2,263,32,65,285.56,2688,4,3031
Mitch Wishnowsky,44663,P,SF,11,39,39,4.29,39.74,44.1,9.0,0,0,12,8,28,73.1,21,74,5,0,25.6,90,10,39,167.36,1550,4,1720
Braden Mann,44664,P,NYJ,11,54,54,4.38,42.17,48.5,10.5,1,0,8,9,22,74.5,17,72,8,0,46.3,262,25,55,236.62,2277,4,2619
Drue Chrisman,44787,P,CIN,2,8,8,4.03,45.38,51.13,7.7,0,0,0,2,7,61.0,4,62,0,0,75.0,46,6,8,32.23,363,0,409
Blake Gillikin,45045,P,NO,12,50,50,4.4,42.38,47.88,9.7,0,0,4,17,20,70.9,20,63,6,0,36.0,175,18,50,219.76,2119,5,2394
Ryan Stonehouse,52045,P,TEN,11,59,59,4.34,44.69,53.08,9.9,0,0,6,9,31,67.4,24,74,1,0,61.0,355,36,59,256.32,2637,7,3132
Jordan Stout,57649,P,BLT,11,37,37,4.45,40.03,46.46,7.9,0,0,4,10,3,65.9,15,69,2,0,40.5,118,15,37,164.59,1481,6,1719
Trenton Gill,60295,P,CHI,12,45,45,4.2,40.89,47.07,9.9,1,0,4,15,6,57.4,11,62,1,0,48.9,218,22,46,189.16,1840,3,2118
Pressley Harvin III,62973,P,PIT,11,53,53,4.37,41.3,44.47,5.4,0,0,6,19,25,65.8,17,69,5,0,37.7,108,20,53,231.67,2189,3,2357
Jamie Gillan,63303,P,NYG,11,47,47,4.49,40.45,47.72,11.4,0,0,4,15,21,72.5,15,69,4,0,34.0,182,16,47,211.14,1901,8,2243
