player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Justin Herbert,28237,QB,LAC,12,2.76,2.67,3.26,4.63,560,27,81.5,205,216,4.2,1.97,6,4,1.8,73.6,159,59,4.8,223,39.8,8,77,,,,,90.2,72.9,83.7,71.6,,,,,1,2,229,11.9,103.7,3.1,7,0,0,4,13,2,0.9,1246,5.8,75.0,256,294,9.0,3.3,13,13,4.2,61.6,181,148,5.7,334,59.6,11,93,,,,,70.3,72.6,85.4,72.2,,,58.4,,12,5,350,12.8,83.8,5.7,19,21,0,13,7,7,2.0,2089,7.1
Tom Brady,698,QB,TB,12,2.3,2.27,3.06,5.1,543,30,80.3,314,326,4.8,1.84,3,11,3.2,74.5,243,34,3.6,332,61.1,9,102,,,,,82.8,72.5,85.3,71.2,,,,,1,3,346,17.6,97.7,1.8,6,0,0,8,12,6,1.7,1961,6.0,65.9,176,195,12.6,3.06,5,15,7.0,53.3,104,72,10.3,209,38.5,12,66,,,,,90.2,84.7,83.7,82.8,,,59.2,,0,0,229,16.7,82.7,5.7,12,2,0,14,4,5,2.2,1371,7.0
Patrick Mahomes,11765,QB,KC,12,2.85,2.67,3.17,5.22,525,16,82.2,242,249,4.4,1.76,2,5,2.0,75.5,188,34,5.5,249,47.4,11,108,,,,,76.9,77.7,84.1,76.1,,,,,1,3,253,0.0,110.9,0.0,0,0,0,4,15,5,2.0,1840,7.4,73.0,178,220,12.7,3.85,4,20,7.9,54.5,120,148,7.7,274,52.2,10,111,,,,,90.7,92.8,84.9,90.5,,,89.5,,7,5,311,12.8,98.1,6.9,19,35,0,31,15,8,2.6,1968,8.9
Josh Allen,46601,QB,BUF,12,2.83,2.64,3.66,4.36,512,4,82.8,209,224,4.2,1.79,10,7,3.0,71.4,160,25,7.5,227,44.3,13,82,,,,,58.7,81.2,83.8,79.3,,,,,0,2,233,12.0,101.2,1.3,3,0,0,5,12,5,2.1,1369,6.1,68.5,197,218,14.4,3.68,2,27,11.7,56.9,124,146,8.1,284,55.5,11,116,,,,,66.0,90.9,50.6,79.8,,,94.3,,2,9,300,15.1,91.1,7.7,22,44,0,17,13,19,6.3,2037,9.3
Joe Burrow,28022,QB,CIN,12,2.52,2.39,3.02,4.62,497,7,79.3,266,282,6.2,1.91,10,9,3.0,71.3,201,39,4.7,290,58.4,10,103,,,,,66.6,89.4,84.8,86.9,,,,,1,5,305,20.5,104.3,2.8,8,0,0,5,16,3,1.0,2118,7.5,76.3,139,158,10.1,3.4,7,9,5.2,65.2,103,90,2.8,206,41.4,3,67,,,,,74.4,78.6,83.6,75.9,,,71.2,,4,3,224,28.9,102.5,12.6,26,22,0,8,9,7,3.1,1328,8.4
Kirk Cousins,7102,QB,MIN,12,2.7,2.63,3.03,5.44,486,18,76.9,182,196,4.8,1.98,6,5,2.4,67.3,132,56,5.7,202,41.6,8,58,,,,,90.1,63.7,83.4,63.2,,,,,3,2,212,10.7,87.1,3.0,6,0,0,5,6,7,3.3,1079,5.5,76.6,218,251,9.9,3.22,1,15,5.5,62.9,158,131,5.4,284,58.4,9,100,,,,,53.9,78.0,84.9,75.3,,,75.3,,8,7,307,18.3,89.6,8.5,24,9,0,24,12,12,3.9,1853,7.4
Matt Ryan,4317,QB,IND,11,2.59,2.49,3.33,4.86,471,14,84.7,235,249,5.1,1.97,5,3,1.1,75.5,188,48,5.5,254,53.9,11,87,,,,,77.7,75.9,49.0,74.9,,,,,3,5,268,10.4,97.4,2.0,5,0,0,6,9,8,3.0,1715,6.9,70.4,152,178,8.3,3.33,4,3,1.6,57.3,102,108,4.7,217,46.1,5,62,,,,,22.2,47.9,83.7,47.3,,,66.7,,1,8,229,27.8,65.9,13.8,30,9,0,21,4,14,6.1,1168,6.6
Derek Carr,8671,QB,LV,13,2.8,2.7,3.53,5.48,468,23,75.5,184,195,5.3,1.97,4,3,1.5,66.2,129,37,7.2,196,41.9,10,60,,,,,90.0,55.3,83.3,55.4,,,,,1,3,207,2.7,84.9,0.5,1,0,0,6,6,4,1.9,1114,5.7,69.2,211,239,12.9,3.41,2,18,7.1,58.6,140,127,4.1,271,57.9,6,89,,,,,65.2,78.0,49.3,75.9,,,72.1,,9,7,288,15.7,93.1,7.4,20,12,0,17,14,12,4.2,2003,8.4
Trevor Lawrence,77632,QB,JAX,12,2.49,2.34,3.34,5.1,456,15,85.2,250,259,4.4,1.82,6,7,2.6,74.9,194,38,8.9,261,57.2,19,88,,,,,90.5,78.6,84.4,76.9,,,,,0,2,271,5.3,103.4,0.8,2,0,0,3,12,3,1.1,1659,6.4,62.3,138,155,14.1,3.42,4,11,6.5,51.0,79,85,8.1,193,42.3,7,66,,,,,22.8,56.5,83.4,54.3,,,70.5,,2,4,210,24.7,76.3,10.9,21,17,0,11,5,13,6.2,1181,7.6
Aaron Rodgers,2241,QB,GB,13,2.64,2.53,3.7,5.66,455,12,81.9,227,232,4.3,1.63,3,7,2.9,73.7,171,16,8.1,234,51.4,15,74,,,,,90.3,78.6,83.9,77.0,,,,,0,4,242,12.5,97.0,0.9,2,0,0,2,9,2,0.8,1547,6.7,65.5,165,190,13.9,3.74,1,20,9.6,53.2,101,104,6.5,220,48.4,7,63,,,,,59.2,70.9,83.9,68.8,,,70.8,,3,5,241,21.2,87.1,10.0,22,8,0,21,13,9,3.7,1317,6.9
