"offPlayer","offTeam","defPlayer","defTeam","advantage","expectedSnaps"
"George Pickens","PIT","All Defenders","LV","21.47504157","42.30740737"
"George Pickens","PIT","Sidney Jones","LV","33.1534977","14.43297692"
"George Pickens","PIT","Nate Hobbs","LV","24.84487317","18.73339621"
"George Pickens","PIT","Tyler Hall","LV","52.37436187","8.03102026"
"Drake London","ATL","All Defenders","BLT","54.19088128","43.72867524"
"Drake London","ATL","Marlon Humphrey","BLT","48.97206741","21.6739478"
"Drake London","ATL","Brandon Stephens","BLT","73.92522896","12.8977998"
"Drake London","ATL","Kyle Hamilton","BLT","37.37511241","9.156927649"
"Chris Olave","NO","All Defenders","CLV","44.6071188","47.80922725"
"Chris Olave","NO","Martin Emerson","CLV","52.71290534","11.68786992"
"Chris Olave","NO","Denzel Ward","CLV","50.25945027","17.7236909"
"Chris Olave","NO","Greg Newsome II","CLV","31.51565206","17.26974242"
"Jahan Dotson","WAS","All Defenders","SF","35.62645318","38.73130269"
"Jahan Dotson","WAS","Charvarius Ward","SF","29.93191813","10.923102"
"Jahan Dotson","WAS","Deommodore Lenoir","SF","59.34388627","16.40499173"
"Jahan Dotson","WAS","Jimmie Ward","SF","21.09743213","11.40320897"
"Garrett Wilson","NYJ","All Defenders","JAX","93.77167195","50.33406055"
"Garrett Wilson","NYJ","Tyson Campbell","JAX","75.76054473","17.38445465"
"Garrett Wilson","NYJ","Darious Williams","JAX","74.46098195","30.20043633"
"Garrett Wilson","NYJ","Tre Herndon","JAX","81.54172622","20.41662697"
"Christian Watson","GB","All Defenders","MIA","31.61112533","30.58740532"
"Christian Watson","GB","Noah Igbinoghene","MIA","70.78452719","10.03668343"
"Christian Watson","GB","Xavien Howard","MIA","35.63893382","11.230071"
"Christian Watson","GB","Kader Kohou","MIA","0","9.604618341"
"Isaiah Hodgins","NYG","All Defenders","MIN","36.27144801","29.8653435"
"Isaiah Hodgins","NYG","Patrick Peterson","MIN","44.47293996","15.87464509"
"Isaiah Hodgins","NYG","Cameron Dantzler","MIN","42.28755604","9.0800638"
"Isaiah Hodgins","NYG","Chandon Sullivan","MIN","44.37010252","4.910634612"
"Alec Pierce","IND","All Defenders","LAC","21.27386905","38.46955488"
"Alec Pierce","IND","Michael Davis","LAC","39.28211155","16.28799971"
"Alec Pierce","IND","Asante Samuel Jr.","LAC","28.6179795","19.39551077"
"Alec Pierce","IND","Bryce Callahan","LAC","6.47703412","2.786044402"
"Treylon Burks","TEN","All Defenders","HST","47.17775576","30.26732642"
"Treylon Burks","TEN","Desmond King II","HST","54.25813173","14.86103238"
"Treylon Burks","TEN","Tremon Smith","HST","70.55524714","8.877180482"
"Treylon Burks","TEN","Tavierre Thomas","HST","21.49344427","6.271569947"
"Stefon Diggs","BUF","All Defenders","CHI","90.92372583","47.94151439"
"Stefon Diggs","BUF","Jaylon Jones","CHI","100","14.56591951"
"Stefon Diggs","BUF","Jaylon Johnson","CHI","78.42112396","19.70313117"
"Stefon Diggs","BUF","Kyler Gordon","CHI","75.01516232","13.54094299"
"Isaiah McKenzie","BUF","All Defenders","CHI","87.0363513","34.94151439"
"Isaiah McKenzie","BUF","Jaylon Jones","CHI","99.7181545","4.206515695"
"Isaiah McKenzie","BUF","Jaylon Johnson","CHI","74.37992667","4.381787182"
"Isaiah McKenzie","BUF","Kyler Gordon","CHI","74.69625751","25.91503279"
"Gabriel Davis","BUF","All Defenders","CHI","86.75276791","42.94151439"
"Gabriel Davis","BUF","Jaylon Jones","CHI","100","18.49177238"
"Gabriel Davis","BUF","Jaylon Johnson","CHI","75.65230857","15.84378588"
"Gabriel Davis","BUF","Kyler Gordon","CHI","75.77163684","8.297024363"
"Richie James Jr.","NYG","All Defenders","MIN","37.29269157","42.7997591"
"Richie James Jr.","NYG","Patrick Peterson","MIN","33.90665138","2.834421133"
"Richie James Jr.","NYG","Cameron Dantzler","MIN","29.76274768","4.393352756"
"Richie James Jr.","NYG","Chandon Sullivan","MIN","33.78450706","35.2885431"
"JuJu Smith-Schuster","KC","All Defenders","SEA","42.90227289","42.37909332"
"JuJu Smith-Schuster","KC","Tariq Woolen","SEA","50.53385652","10.65637085"
"JuJu Smith-Schuster","KC","Michael Jackson","SEA","43.5545995","8.808445268"
"JuJu Smith-Schuster","KC","Coby Bryant","SEA","38.45038659","22.72948464"
"Marquez Valdes-Scantling","KC","All Defenders","SEA","38.90849221","42.37909332"
"Marquez Valdes-Scantling","KC","Tariq Woolen","SEA","48.71833053","11.78590169"
"Marquez Valdes-Scantling","KC","Michael Jackson","SEA","41.40255576","14.89537363"
"Marquez Valdes-Scantling","KC","Coby Bryant","SEA","36.63154324","15.29659581"
"DeSean Jackson","BLT","All Defenders","ATL","43.23146648","42.2832971"
"DeSean Jackson","BLT","A.J. Terrell","ATL","47.33136744","15.3276952"
"DeSean Jackson","BLT","Darren Hall","ATL","54.37011885","16.56095803"
"DeSean Jackson","BLT","Isaiah Oliver","ATL","37.70731577","10.21846347"
"Devin Duvernay","BLT","All Defenders","ATL","30.35610628","42.2832971"
"Devin Duvernay","BLT","A.J. Terrell","ATL","36.53373936","9.425541944"
"Devin Duvernay","BLT","Darren Hall","ATL","41.57109093","12.16368821"
"Devin Duvernay","BLT","Isaiah Oliver","ATL","26.8899581","20.43078365"
"Demarcus Robinson","BLT","All Defenders","ATL","22.35046095","42.2832971"
"Demarcus Robinson","BLT","A.J. Terrell","ATL","32.4017848","21.44267969"
"Demarcus Robinson","BLT","Darren Hall","ATL","36.67325583","15.79255675"
"Demarcus Robinson","BLT","Isaiah Oliver","ATL","22.75045356","4.723873279"
"A.J. Brown","PHI","All Defenders","DAL","86.17689474","41.92619486"
