"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass","dropbacks_game","sum_sd","opp","def_pass_epa_rank","def_rank","cov_rank","ttt_run_p2s","grades_run","def_rush_epa_rank","def_pass_epa_sd","pbe_rank","prsh_rank","prsh","pressure_grades_pass","avg_time_to_throw","pressure_vs_prsh","blitz_dropbacks_percent","blitz_grades_pass","blitz_rank","blitz_grades_pass_sq_blitz_rate","total_rec_salary","name_salary_own"
"1","Josh Allen","BUF",8500,6.25,23.03,83,42.3,0.964,"CHI",32,32,20,17.2,92.9,23,2.07,20,32,56.1,69.8,2.82,1.2,0.285,68.2,17,340,6820,"Josh Allen 8500 6.25"
"2","Patrick Mahomes","KC",8400,8.1,24.31,89.1,43.9,0.832,"SEA",26,24,24,22.4,85.6,27,0.95,13,27,62.3,66,2.83,1.1,0.234,73,25,300,6958,"Patrick Mahomes 8400 8.1"
"3","Kirk Cousins","MIN",6300,11.54,19.88,74.7,42.4,0.581,"NYG",25,30,32,9.5,64.3,26,0.81,27,14,65.8,58.8,2.7,0.9,0.242,54,2,360,6853,"Kirk Cousins 6300 11.54"
"4","Joe Burrow","CIN",7000,6.86,18.76,86.1,41.1,0.4,"NE",8,10,12,7.8,75.6,11,-0.76,11,12,66.2,55.3,2.49,0.8,0.203,78.3,4,690,7063,"Joe Burrow 7000 6.86"
"5","Sam Darnold","CAR",5100,1.02,14.6,74.3,25.7,0.398,"DET",26,25,30,6.8,43.7,29,0.95,3,24,63.9,50.1,3.24,0.8,0.312,60.7,8,390,5907,"Sam Darnold 5100 1.02"
"6","Tyler Huntley","BAL",5300,3.32,16.27,53.5,30.7,0.232,"ATL",31,28,30,9.6,62.5,32,2.02,6,31,58.5,43.2,2.9,0.7,0.228,41.1,9,160,6376,"Tyler Huntley 5300 3.32"
"7","Daniel Jones","NYG",5600,17.82,20.47,68,35.2,0.163,"MIN",29,6,26,12.5,77,7,1.01,28,9,67.1,51.6,3.01,0.8,0.3,69.2,29,230,6035,"Daniel Jones 5600 17.82"
"8","Geno Smith","SEA",5800,7.23,18.03,78.5,38.2,-0.025,"KC",9,8,7,10.6,77.6,15,-0.48,23,13,66,58.1,2.78,0.9,0.312,58.6,6,380,6556,"Geno Smith 5800 7.23"
"9","Jared Goff","DET",5400,2.08,15.7,64.9,36.7,-0.078,"CAR",12,21,24,13.2,58.8,12,-0.38,16,25,63.6,43.3,2.7,0.7,0.333,63.8,3,500,6335,"Jared Goff 5400 2.08"
"10","Davis Mills","HOU",5100,0.27,11.36,64.4,34.5,-0.269,"TEN",19,7,16,7.9,53.4,1,0.21,24,8,67.6,48.3,2.55,0.7,0.292,60.2,23,220,6130,"Davis Mills 5100 0.27"
"11","Brock Purdy","SF",5500,2.45,15.47,63.3,25,-0.388,"WAS",12,9,5,16.1,71.6,18,-0.38,5,6,68.8,47.9,2.72,0.7,0.23,48.3,21,150,6985,"Brock Purdy 5500 2.45"
"12","Deshaun Watson","CLE",6000,0.74,13.81,55.6,35,-0.397,"NO",15,18,14,12.9,76.6,22,-0.13,14,26,62.8,39.7,2.97,0.6,0.229,63,7,430,6272,"Deshaun Watson 6000 0.74"
"13","Justin Fields","CHI",7500,3.93,18.36,55.1,29.5,-0.59,"BUF",18,18,6,11.9,91.8,3,0.16,29,5,69.4,32.4,3.42,0.5,0.302,49.5,18,170,6038,"Justin Fields 7500 3.93"
"14","Mac Jones","NE",5000,2.78,14.7,65,34.6,-0.738,"CIN",4,14,12,6.7,57.8,14,-1.49,18,18,64.8,25.7,2.71,0.4,0.215,64.5,11,350,6005,"Mac Jones 5000 2.78"
"15","Dak Prescott","DAL",6100,7.17,17.63,68.7,33.4,-0.792,"PHI",2,3,4,17.6,80.5,8,-1.58,16,1,72.5,54.6,2.66,0.8,0.276,74,30,160,6325,"Dak Prescott 6100 7.17"
"16","Taylor Heinicke","WAS",5200,0.61,12.68,48.6,34,-1.067,"SF",6,1,2,10.7,57.8,2,-1.18,30,7,68.5,27.7,2.9,0.4,0.272,75.2,24,340,6194,"Taylor Heinicke 5200 0.61"
"17","Andy Dalton","NO",5100,0.18,9.14,86.2,31.5,NA,"CLE",5,29,20,8.8,63.5,30,-1.35,10,20,64.5,66.3,2.61,1,0.254,82.6,NA,NA,6180,"Andy Dalton 5100 0.18"
"18","Desmond Ridder","ATL",5000,0.72,12.11,43.1,36,NA,"BAL",7,14,17,5.1,55.9,4,-1.01,9,18,64.8,62.1,3.33,1,0.194,36.7,NA,NA,5710,"Desmond Ridder 5000 0.72"
"19","Malik Willis","TEN",4900,1.48,13.09,45.6,10.2,NA,"HOU",22,31,32,7.9,56.3,28,0.47,32,19,64.7,34.2,3.5,0.5,0.314,61.6,NA,NA,6129,"Malik Willis 4900 1.48"
"20","Taysom Hill","NO",4800,0.02,7,85.1,1.8,NA,"CLE",5,29,20,12.6,82.4,30,-1.35,10,20,64.5,75.8,2.56,1.2,0.444,65.1,NA,NA,6180,"Taysom Hill 4800 0.02"
"21","Gardner Minshew II","PHI",4800,15.4,17.16,NA,NA,NA,"DAL",16,12,10,NA,NA,5,-0.09,2,4,70.1,NA,NA,NA,NA,NA,22,NA,7283,"Gardner Minshew II 4800 15.4"
