"","Name","TeamAbbrev","Salary","proj_own","fpts","sum_sd","touches_game","runBlockAdv","opp","off_def","off_rush_epa_rank","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","yco_attempt","yprr","name_salary_own"
"1","Derrick Henry","TEN",8600,29.24,23,1.187,23.3,4,"HOU",16.5,13,28,31,2.3,28.9,66,24,81.9,3.65,2.34,"Derrick Henry 8600 29.24"
"2","David Montgomery","CHI",6500,2.47,11.84,1.026,15.4,-4,"BUF",1,15,3,29,4,6.2,78.6,31,69.9,2.97,1.26,"David Montgomery 6500 2.47"
"3","Miles Sanders","PHI",6200,11.32,13.71,1.014,16.7,7,"DAL",8.5,3,5,18,2.9,25.9,54.9,6,77.5,3.06,0.3,"Miles Sanders 6200 11.32"
"4","Nick Chubb","CLE",7700,4.47,15.14,0.911,19.4,-14,"NO",16,7,22,24,4.3,36.6,101.4,25,86.9,3.49,0.83,"Nick Chubb 7700 4.47"
"5","Ezekiel Elliott","DAL",6000,5.51,12.29,0.867,17,-22,"PHI",9,5,8,20,2.3,18.7,38.8,22,76.7,2.93,0.49,"Ezekiel Elliott 6000 5.51"
"6","Khalil Herbert","CHI",4000,0.27,5.32,0.852,11.4,-4,"BUF",1,15,3,29,4.7,33.1,94.3,31,74.4,3.98,0.78,"Khalil Herbert 4000 0.27"
"7","Christian McCaffrey","SF",8800,25,26.45,0.838,19.6,3,"WAS",12.5,8,18,23,1.5,30.6,53.8,8,87.6,2.95,1.83,"Christian McCaffrey 8800 25"
"8","Tony Pollard","DAL",7000,10.99,15.45,0.818,15,-22,"PHI",9,5,8,20,3.7,45.4,75.3,22,90.2,3.95,1.54,"Tony Pollard 7000 10.99"
"9","Cordarrelle Patterson","ATL",5800,2.06,10.9,0.764,13.4,29,"BAL",3,4,4,10,2.1,29.6,48,12,80.6,3.07,0.52,"Cordarrelle Patterson 5800 2.06"
"10","Rhamondre Stevenson","NE",7100,12.58,16.84,0.762,17.4,-16,"CIN",8,6,14,14,2.6,35.4,92.2,9,88.2,3.93,1.36,"Rhamondre Stevenson 7100 12.58"
"11","Tyler Allgeier","ATL",5200,1.38,9.43,0.722,12.2,29,"BAL",3,4,4,10,2.9,29.9,75.3,12,85.9,3.52,0.62,"Tyler Allgeier 5200 1.38"
"12","Alvin Kamara","NO",6800,9.28,13.69,0.646,18.1,4,"CLE",10,21,30,32,1.6,13,43.9,29,67.6,2.51,1.76,"Alvin Kamara 6800 9.28"
