player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,13,2,0,3,72.1,11,14,331,95.9,13.3,44,0,5.6,6,366,351,31,2,81.1,7,10,156,98.2,21.8,34,9.3,6,167,164,23
Ndamukong Suh,5527,DI,PHI,7,0,0,24,54.7,0,6,84,100.0,9.5,8,0,6.0,2,86,86,8,0,47.5,0,2,41,100.0,9.8,4,4.9,1,43,43,3
Tyson Alualu,5535,DI,PIT,16,1,0,25,58.1,2,6,133,100.0,6.8,9,2,3.8,1,140,140,9,1,60.9,2,5,67,100.0,9.0,6,5.2,0,69,69,7
Brandon Graham,5538,ED,PHI,16,1,0,24,89.2,3,28,250,95.6,22.0,55,1,11.4,13,275,263,44,0,90.2,1,15,121,96.3,28.1,34,15.7,11,135,130,27
Jason Pierre-Paul,5540,ED,BLT,13,3,1,3,51.9,0,15,268,94.7,8.2,22,2,3.9,3,300,284,18,1,50.9,0,9,124,97.1,10.5,13,5.2,2,136,132,11
Kareem Jackson,5545,S,DEN,16,0,0,10,56.7,0,0,2,0.3,0.0,0,1,0.0,0,661,2,0,0,,0,0,0,0.0,,0,,0,293,0,0
Devin McCourty,5552,S,NE,16,0,0,19,55.5,0,0,2,0.3,0.0,0,0,0.0,0,646,2,0,0,55.5,0,0,2,0.7,0.0,0,0.0,0,306,2,0
Jerry Hughes,5556,ED,HST,16,0,2,13,71.7,0,45,343,99.2,18.7,64,3,9.2,9,360,357,54,0,67.1,0,17,143,98.0,21.7,31,10.1,6,152,149,23
Linval Joseph,5571,DI,PHI,7,0,0,24,60.2,0,2,67,100.0,6.0,4,1,3.0,1,68,68,3,0,64.7,0,2,16,100.0,12.5,2,6.3,0,16,16,2
Carlos Dunlap,5579,ED,KC,16,7,0,16,61.6,5,18,311,95.2,11.3,35,1,5.3,5,354,337,28,5,58.6,3,7,138,93.3,10.9,15,6.5,4,163,152,14
Corey Peters,5607,DI,JAX,11,0,0,15,58.6,1,5,117,99.2,7.7,9,0,2.6,0,125,124,6,0,62.0,1,2,44,100.0,11.4,5,3.4,0,46,46,3
Al Woods,5646,DI,SEA,13,1,0,29,68.8,0,11,138,99.3,10.1,14,1,5.4,2,144,143,13,0,73.9,0,5,35,97.4,17.1,6,10.0,1,38,37,6
Von Miller,6154,ED,BUF,11,0,0,4,81.8,4,33,286,98.7,18.2,52,4,9.3,8,315,311,45,0,81.5,3,19,144,98.7,23.6,34,12.5,7,157,155,29
Patrick Peterson,6157,CB,MIN,16,0,0,18,59.2,0,1,4,0.6,25.0,1,4,12.5,0,686,4,1,0,,0,0,0,0.0,,0,,0,306,0,0
J.J. Watt,6163,DI,ARZ,15,6,0,1,71.8,14,27,483,99.4,12.8,62,8,6.5,11,503,500,52,1,76.4,6,21,216,100.0,19.4,42,10.0,8,223,223,35
Robert Quinn,6166,ED,PHI,12,0,2,24,55.6,4,15,205,96.9,10.2,21,4,5.1,1,225,218,20,0,57.5,2,9,103,96.5,13.6,14,6.3,1,114,110,12
Cameron Jordan,6176,ED,NO,15,1,0,20,53.2,4,21,422,97.2,9.7,41,2,5.1,9,464,451,34,1,51.3,2,13,201,98.7,12.9,26,6.7,6,224,221,21
Cameron Heyward,6183,DI,PIT,16,1,0,25,78.0,9,35,436,100.0,18.6,81,2,7.1,9,457,457,53,0,78.5,7,23,250,100.0,20.8,52,9.2,8,263,263,38
Justin Houston,6222,ED,BLT,13,0,0,3,69.4,5,21,258,92.3,17.8,46,2,8.9,10,299,276,36,0,68.3,3,15,139,94.4,23.0,32,11.5,7,160,151,25
Lawrence Guy,6385,DI,NE,13,0,0,19,55.2,1,14,220,100.0,10.0,22,0,4.8,3,227,227,18,0,53.2,1,6,62,100.0,14.5,9,7.3,1,66,66,8
Chris Harris Jr.,6457,CB,NO,10,0,0,20,66.3,0,5,19,8.1,10.5,2,4,18.4,1,246,20,6,0,67.1,0,4,9,7.0,22.2,2,22.2,0,129,9,4
Josh Bynes,6503,LB,BLT,7,0,0,3,58.5,0,1,20,15.6,5.0,1,0,7.5,1,147,23,2,0,67.1,0,0,4,11.9,0.0,0,25.0,1,42,5,1
Nick Bellore,6515,FB,SEA,1,0,0,29,60.0,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Mario Addison,6558,ED,HST,11,1,0,13,60.5,1,16,183,99.5,10.4,19,0,5.7,2,189,188,19,1,64.9,1,8,85,100.0,14.1,12,6.5,1,87,87,10
Fletcher Cox,7018,DI,PHI,16,0,0,24,59.5,7,17,404,100.0,9.7,39,1,5.0,8,423,423,32,0,65.9,4,13,197,100.0,14.7,29,7.9,7,208,208,24
Michael Brockers,7020,DI,DET,6,1,0,11,55.2,1,1,60,100.0,5.0,3,0,1.7,0,61,61,2,0,47.8,0,0,14,100.0,0.0,0,0.0,0,15,15,0
