player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Justin Jefferson,61398,WR,MIN,16,171,0,18,12.7,3,61.8,53.3,8,15,2.9,1,24,0,71.4,88.8,1,47,0.0,0,223,34,91.0,203,106.8,55,32.2,2,642,239,7.0,18.9,3.16,0,10.1,6,80.4,57.9,11,19,5.1,4,48,0,81.9,90.7,4,64,0.0,0,366,74,95.1,348,104.3,92,53.8,3,990,341,4.6,13.4,2.84
Tyreek Hill,10799,WR,MIA,16,162,0,17,11.4,3,69.0,37.5,3,8,0.0,0,13,1,83.6,90.0,2,26,0.0,0,83,20,92.8,77,87.1,29,17.9,2,232,61,3.1,11.6,3.01,0,13.1,5,73.5,61.5,8,13,4.6,4,53,0,80.9,91.8,4,64,0.0,0,346,83,94.8,328,108.3,113,69.8,5,1220,334,4.0,14.7,3.72
Davante Adams,8688,WR,LV,16,160,0,23,12.1,5,53.3,42.9,3,7,5.9,1,13,0,67.7,83.2,0,58,0.0,0,123,16,92.7,114,118.8,30,18.8,4,235,98,6.1,14.7,2.06,0,12.6,7,61.2,47.4,9,19,6.0,4,36,1,71.8,89.5,6,60,0.3,1,337,63,96.1,324,81.5,103,64.4,5,904,320,5.1,14.3,2.79
Travis Kelce,7844,TE,KC,16,143,0,16,8.3,13,71.2,40.0,4,10,5.1,2,28,0,73.9,91.1,1,39,2.7,6,220,37,87.7,193,128.7,52,36.4,7,446,264,7.1,12.1,2.31,0,7.3,8,76.4,37.5,3,8,3.5,2,38,1,81.4,90.7,2,52,5.0,16,318,55,90.9,289,103.3,72,50.3,1,769,352,6.4,14.0,2.66
CeeDee Lamb,61570,WR,DAL,16,141,0,9,11.0,2,68.3,58.3,7,12,3.4,1,21,0,77.8,91.0,1,34,0.0,0,147,28,91.8,135,104.5,41,29.1,2,388,114,4.1,13.9,2.87,0,10.2,7,75.3,40.0,4,10,4.7,3,35,0,76.7,80.4,1,39,0.0,0,324,61,95.1,308,115.9,81,57.4,4,772,316,5.2,12.7,2.51
Stefon Diggs,9579,WR,BUF,15,139,0,4,11.8,5,60.8,40.0,4,10,13.9,5,24,0,41.2,82.7,0,41,0.0,0,183,31,91.3,167,113.6,51,36.7,4,425,185,6.0,13.7,2.54,0,10.5,9,81.4,75.0,6,8,1.7,1,34,0,89.2,85.1,0,46,0.0,0,308,57,95.5,294,116.6,70,50.4,2,679,188,3.3,11.9,2.31
Michael Pittman Jr.,29049,WR,IND,15,133,0,14,7.4,1,64.0,53.8,7,13,8.6,3,19,2,61.5,70.7,2,25,0.0,0,192,32,92.7,178,68.5,50,37.6,1,277,108,3.4,8.7,1.56,0,7.3,4,77.4,45.5,5,11,0.0,0,24,0,90.4,70.7,1,28,0.0,0,352,48,96.6,340,98.6,62,46.6,1,496,162,3.4,10.3,1.46
Diontae Johnson,33441,WR,PIT,16,133,0,25,10.6,1,52.4,30.0,3,10,8.3,2,17,1,62.3,70.8,2,20,0.0,0,156,22,91.7,143,45.9,42,31.6,0,202,61,2.8,9.2,1.41,0,11.1,10,67.5,66.7,4,6,8.5,5,26,0,55.4,68.9,4,37,0.0,0,395,54,94.7,374,67.3,80,60.2,0,572,139,2.6,10.6,1.53
D.K. Metcalf,47864,WR,SEA,16,131,0,29,14.2,2,56.1,33.3,6,18,4.2,1,14,0,73.7,80.2,1,54,0.0,0,125,23,89.6,112,92.2,41,31.3,2,367,98,4.3,16.0,3.28,0,10.2,1,72.5,75.0,12,16,5.7,3,23,2,72.0,70.6,0,26,0.0,0,337,50,95.8,323,97.1,69,52.7,1,494,116,2.3,9.9,1.53
Amon-Ra St. Brown,84470,WR,DET,15,130,0,11,7.0,1,72.1,50.0,4,8,3.1,1,24,0,78.4,90.7,0,49,0.0,0,138,31,91.3,126,127.8,43,33.1,4,357,147,4.7,11.5,2.83,0,6.1,7,78.9,20.0,1,5,5.1,3,32,0,75.0,81.7,1,32,0.0,0,277,56,96.4,267,97.1,71,54.6,0,619,296,5.3,11.1,2.32
