player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Joe Mixon,11803,HB,CIN,2,46,5,1,22.3,31,0,139,0,1,5,91,21.2,2,4,7,0,19,83.0,61.5,81.1,,62.8,75.1,55.9,60.0,31,0,89,10,62,50,0,0,12,56,0,139,91,1.98,3.0,1.44,25
Leonard Fournette,11759,HB,TB,2,45,6,2,17.7,34,0,192,1,0,6,118,32.1,7,7,30,0,28,82.3,56.2,79.0,,53.7,45.2,61.5,44.9,17,0,19,4,47,50,0,0,6,49,0,192,118,2.62,4.3,0.4,17
Jonathan Taylor,57488,HB,IND,2,40,12,3,27.4,59,0,215,0,1,12,138,99.7,7,12,14,0,11,81.9,66.8,79.3,,6.2,61.5,72.6,60.0,21,0,23,5,56,44,0,0,7,45,1,215,138,3.45,5.4,0.41,27
Saquon Barkley,45791,HB,NYG,2,39,8,5,62.3,147,0,236,0,0,8,185,79.1,7,9,21,1,25,41.8,73.0,79.5,,57.2,70.3,72.9,59.7,68,0,46,9,55,47,0,0,11,48,1,236,185,4.74,6.1,0.84,13
Nick Chubb,45783,HB,CLV,2,39,19,4,36.4,83,0,228,0,0,19,144,163.1,7,11,8,0,20,81.7,86.7,78.2,,39.1,63.1,86.6,60.0,25,0,28,4,25,45,0,0,4,43,3,228,144,3.69,5.8,1.12,16
James Robinson,22425,HB,JAX,2,34,6,2,45.4,59,0,130,0,1,6,114,63.4,3,8,15,0,10,81.0,67.7,78.3,,58.5,62.2,67.5,60.0,37,0,17,3,31,41,0,0,4,37,2,130,114,3.35,3.8,0.55,24
Derrick Henry,10679,HB,TEN,2,34,4,1,17.1,18,0,105,1,0,4,101,34.9,1,2,31,1,19,80.4,60.7,77.0,,73.4,38.0,64.9,60.0,18,0,0,0,21,37,0,0,1,34,1,105,101,2.97,3.1,0.0,15
Cordarrelle Patterson,7810,HB,ATL,2,32,6,1,9.3,15,0,161,1,0,6,89,47.7,5,12,2,0,13,81.1,70.2,80.2,,59.9,52.2,75.3,54.4,15,0,16,3,32,46,0,0,6,35,1,161,89,2.78,5.0,0.5,19
David Montgomery,45719,HB,CHI,2,32,10,1,18.9,28,0,148,0,3,10,114,125.2,6,6,6,0,11,80.6,58.5,78.3,,81.7,68.9,55.4,60.0,28,0,38,5,25,39,0,0,6,37,0,148,114,3.56,4.6,1.52,21
Miles Sanders,40555,HB,PHI,2,30,6,2,27.3,48,0,176,0,0,6,128,73.1,6,9,24,0,10,80.2,73.4,81.0,,68.8,56.5,76.8,56.2,24,0,15,5,32,41,0,0,5,35,1,176,128,4.27,5.9,0.47,18
Jalen Hurts,40291,QB,PHI,2,15,9,0,0.0,0,0,34,0,0,3,16,21.3,5,9,24,1,4,56.6,84.1,0.0,90.8,,,57.7,60.0,26,2,0,0,0,61,108,14,0,15,3,142,105,3.62,4.9,,5
Josh Jacobs,45953,HB,LV,2,29,12,1,14.3,18,0,126,0,1,12,113,163.4,2,5,23,0,20,79.7,73.8,78.8,,32.6,54.8,81.6,,18,0,28,2,34,30,0,0,2,31,0,126,113,3.9,4.3,0.82,6
Antonio Gibson,78050,HB,WAS,2,28,7,0,0.0,0,0,86,2,3,7,73,70.5,2,6,32,0,6,80.0,68.6,81.5,,68.0,64.5,68.7,59.9,13,0,85,9,43,34,0,0,12,37,1,86,73,2.61,3.1,1.98,22
Austin Ekeler,12164,HB,LAC,2,28,4,0,0.0,0,0,75,1,6,4,66,57.5,0,4,27,0,7,80.3,63.5,78.4,,1.0,78.1,65.0,60.0,8,0,91,13,45,30,0,0,14,41,0,75,66,2.36,2.7,2.02,19
A.J. Dillon,57165,HB,GB,2,28,5,0,0.0,0,0,106,1,1,5,83,52.3,3,9,12,0,10,79.9,79.1,81.4,,80.7,71.6,75.5,70.6,14,0,52,6,31,36,0,0,8,34,1,106,83,2.96,3.8,1.68,18
Jeff Wilson Jr.,29413,HB,SF,2,27,5,1,15.1,16,0,106,0,2,5,69,57.7,2,4,28,0,10,79.5,66.0,79.6,,79.9,66.6,66.9,41.5,16,0,27,4,27,44,0,0,4,31,0,106,69,2.56,3.9,1.0,17
Dalvin Cook,11796,HB,MIN,2,26,6,1,15.0,16,0,107,1,0,6,82,57.3,2,6,18,0,12,79.5,63.5,82.1,,19.0,53.9,70.9,60.0,16,0,37,7,54,27,0,0,9,33,0,107,82,3.15,4.1,0.69,13
Dameon Pierce,83659,HB,HST,2,26,8,0,0.0,0,0,102,0,0,8,88,96.7,3,8,13,0,14,79.1,67.7,77.0,,59.7,56.5,68.8,60.0,12,0,14,2,20,29,0,0,2,28,0,102,88,3.38,3.9,0.7,12
Ezekiel Elliott,10638,HB,DAL,2,25,1,0,0.0,0,0,105,2,0,1,72,10.7,1,6,9,0,8,78.7,58.6,79.6,,47.3,29.2,69.0,69.0,11,0,-7,2,37,31,0,0,4,27,0,105,72,2.88,4.2,-0.19,17
Christian McCaffrey,11763,HB,CAR,2,25,10,1,36.3,49,0,135,0,1,10,112,149.3,1,8,5,0,13,79.5,81.7,78.7,,61.6,69.3,84.2,62.2,49,0,50,8,48,31,0,0,9,33,1,135,112,4.48,5.4,1.04,12
Najee Harris,57121,HB,PIT,2,25,2,0,0.0,0,0,72,0,2,2,61,30.5,1,3,25,0,8,79.3,61.8,79.8,,50.0,71.8,58.5,60.0,11,0,43,7,34,30,0,0,8,32,0,72,61,2.44,2.9,1.26,16
Kareem Hunt,11841,HB,CLV,2,24,6,1,23.1,24,0,104,0,2,6,88,97.8,5,7,8,0,17,78.9,67.8,81.0,,75.9,64.1,66.7,58.5,24,0,40,6,34,27,0,0,6,30,1,104,88,3.67,4.3,1.18,6
Damien Harris,35134,HB,NE,2,24,4,1,13.4,16,0,119,0,2,4,90,80.4,3,6,19,0,16,78.7,69.0,77.7,,79.6,71.0,66.1,60.0,16,0,26,4,19,25,0,0,4,28,1,119,90,3.75,5.0,1.37,8
Darrell Henderson,41193,HB,LA,2,23,2,1,19.1,18,0,94,0,1,2,55,25.6,2,6,26,0,8,78.6,53.3,83.0,,32.1,53.6,55.0,60.0,18,0,26,5,59,24,0,0,5,28,1,94,55,2.39,4.1,0.44,15
Jamaal Williams,11889,HB,DET,2,23,1,0,0.0,0,0,81,1,0,1,45,7.8,1,5,11,0,20,78.2,53.9,75.0,,75.5,39.7,58.6,60.0,12,0,9,2,16,25,0,0,3,25,2,81,45,1.96,3.5,0.56,3
Melvin Gordon III,9448,HB,DEN,2,22,7,0,0.0,0,0,105,0,0,7,76,96.7,1,3,10,1,6,27.0,64.7,0.0,,81.7,58.6,69.8,60.0,13,2,20,3,22,24,0,0,3,25,0,105,76,3.45,4.8,0.91,16
Javonte Williams,77803,HB,DEN,2,22,7,2,28.8,34,0,118,0,5,7,85,136.4,5,6,10,1,10,29.5,69.0,0.0,,58.0,81.3,66.5,60.0,17,1,75,12,48,26,0,0,15,34,0,118,85,3.86,5.4,1.56,12
Aaron Jones,11937,HB,GB,2,20,13,4,54.1,98,0,181,0,2,13,107,308.7,6,10,12,0,9,78.0,85.3,83.8,,74.2,70.6,89.8,61.8,36,0,65,6,46,28,0,0,8,26,1,181,107,5.35,9.1,1.41,11
D'Andre Swift,57212,HB,DET,2,20,6,4,67.0,134,0,200,1,2,6,107,171.2,6,6,11,0,14,78.1,76.8,81.2,,56.4,59.3,84.6,,50,0,62,5,46,21,0,0,8,25,1,200,107,5.35,10.0,1.35,6
Justin Fields,82118,QB,CHI,2,12,3,0,0.0,0,1,9,0,0,2,6,8.3,1,5,6,1,1,35.5,39.0,2.3,37.1,,,54.0,60.0,12,2,0,0,0,58,39,7,0,12,1,48,38,2.0,2.5,,8
Rashaad Penny,27414,HB,SEA,2,18,5,1,34.7,26,0,75,0,1,5,74,123.3,2,1,29,1,3,25.7,58.6,77.1,,8.5,57.1,61.6,59.1,26,0,7,2,30,24,0,0,3,20,0,75,74,4.11,4.2,0.23,14
Cam Akers,57206,HB,LA,2,18,4,0,0.0,0,0,44,0,0,4,48,53.3,0,2,26,0,10,76.6,62.3,73.9,,83.2,60.8,61.2,,8,0,18,2,18,17,0,0,2,20,0,44,48,2.67,2.4,1.0,7
Marcus Mariota,9435,QB,ATL,2,10,2,0,0.0,0,0,33,0,0,1,12,12.0,3,4,2,3,6,23.2,59.5,81.8,60.6,,,54.7,60.0,16,0,0,0,0,62,55,7,0,10,1,88,25,1.47,5.2,,2
Daniel Jones,39395,QB,NYG,2,8,1,0,0.0,0,0,0,0,0,0,2,0.0,2,6,21,1,3,83.9,52.9,20.1,55.5,,58.9,53.0,60.3,11,1,0,0,1,56,41,9,0,8,0,41,35,2.06,2.4,0.0,2
James Conner,11860,HB,ARZ,2,17,3,0,0.0,0,0,55,0,1,3,39,38.2,0,4,1,1,7,26.5,56.7,80.1,,63.3,62.7,56.6,38.9,8,0,55,7,36,20,0,0,8,24,1,55,39,2.29,3.2,1.53,9
Michael Carter,57337,HB,NYJ,2,17,6,2,49.4,41,0,83,1,3,6,50,91.3,2,2,22,0,6,78.8,70.2,82.5,,30.0,70.3,72.9,59.5,22,0,67,12,51,28,0,0,13,29,0,83,50,2.94,4.9,1.31,10
Kenyan Drake,10707,HB,BLT,2,17,0,0,0.0,0,0,39,0,1,0,33,10.8,0,1,3,0,12,77.0,51.6,75.9,,31.9,58.8,52.8,60.0,8,0,15,1,22,23,0,0,1,18,0,39,33,1.94,2.3,0.68,5
Rhamondre Stevenson,98689,HB,NE,2,17,4,0,0.0,0,0,72,0,0,4,55,64.7,1,4,19,0,9,76.7,72.5,76.5,,84.7,56.9,74.4,59.9,12,0,6,3,28,22,0,0,4,20,0,72,55,3.24,4.2,0.21,7
Chase Edmonds,45851,HB,MIA,2,17,0,1,48.3,28,0,58,0,2,0,29,15.5,1,2,17,0,3,77.1,60.2,0.0,,60.8,63.9,61.1,60.0,28,1,48,5,45,20,0,0,7,22,0,58,29,1.71,3.4,1.07,13
Clyde Edwards-Helaire,57279,HB,KC,2,16,2,2,60.3,70,0,116,0,4,2,83,135.3,2,2,16,0,4,77.4,67.5,79.4,,81.9,89.7,56.6,60.0,52,0,76,7,27,18,0,0,7,23,0,116,83,5.19,7.3,2.81,12
Raheem Mostert,9783,HB,MIA,2,16,5,0,0.0,0,0,67,0,4,5,44,123.8,2,3,17,0,5,77.3,68.9,79.3,,80.0,68.9,66.5,60.0,11,0,44,4,37,23,0,0,4,20,0,67,44,2.75,4.2,1.19,9
Trey Lance,91399,QB,SF,2,12,3,0,0.0,0,0,52,0,0,2,17,23.6,1,7,28,1,5,34.8,53.1,80.1,52.4,,,56.7,60.0,13,0,0,0,0,45,15,4,0,12,0,67,30,1.88,4.2,,0
Tony Pollard,27126,HB,DAL,2,15,0,1,33.3,17,0,51,0,0,0,35,0.0,1,3,9,0,4,77.1,66.2,80.0,,67.9,66.8,63.5,59.5,17,0,69,6,28,20,0,0,9,21,1,51,35,2.33,3.4,2.46,9
Lamar Jackson,46416,QB,BLT,2,11,3,1,58.1,79,0,98,0,0,1,9,7.4,3,5,3,1,8,50.7,73.7,10.3,72.5,,,67.8,60.1,79,1,0,0,0,45,38,4,0,11,1,136,34,2.27,9.1,,0
Mark Ingram II,6180,HB,NO,2,14,4,0,0.0,0,0,82,0,0,4,51,85.7,2,5,20,2,3,17.5,49.6,76.1,,23.9,28.5,63.6,58.4,12,0,4,3,19,18,0,0,3,17,0,82,51,3.64,5.9,0.21,11
Devin Singletary,40485,HB,BUF,2,14,3,1,23.9,16,0,67,0,1,3,40,63.5,3,3,4,0,4,76.0,63.5,81.2,,50.5,63.7,64.2,59.2,16,0,16,4,46,17,0,0,4,18,0,67,40,2.86,4.8,0.35,8
Isiah Pacheco,83747,HB,KC,2,14,1,2,60.3,41,0,68,0,0,1,50,25.5,3,4,16,1,5,23.5,54.1,73.0,,25.3,55.0,56.7,,22,0,0,0,6,14,0,0,0,14,1,68,50,3.57,4.9,0.0,9
Tyrion Davis-Price,99169,HB,SF,1,14,2,1,60.6,20,0,33,0,0,2,29,29.6,1,2,28,0,3,75.5,51.1,75.3,,,52.7,53.5,60.0,20,0,0,0,10,19,0,0,0,14,0,33,29,2.07,2.4,0.0,11
