player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Cooper Kupp,11824,WR,LA,6,70,0,26,0,-1.8,5,90.0,,0,0,0.0,0,5,0,91.6,88.1,1,22,2.9,1,35,9,97.1,34,52.5,10,14.3,0,61,79,8.8,6.8,1.79,7.8,8,82.9,50.0,3,6,3.3,1,16,1,90.3,90.6,1,75,0.8,1,133,29,97.7,130,105.7,35,50.0,1,348,198,6.8,12.0,2.68
Tyreek Hill,10799,WR,MIA,6,65,0,17,0,-2.3,3,77.8,,0,0,12.5,1,2,0,56.2,88.6,0,18,0.0,0,20,7,85.0,17,90.7,9,13.8,0,52,70,10.0,7.4,3.06,10.3,3,79.2,100.0,1,1,5.0,1,10,1,80.5,92.2,0,26,0.0,0,76,19,94.7,72,104.5,24,36.9,0,218,108,5.7,11.5,3.03
Stefon Diggs,9579,WR,BUF,6,62,0,4,0,-1.9,3,100.0,,0,0,0.0,0,3,0,91.4,92.1,0,13,0.0,0,17,8,100.0,17,88.0,8,12.9,0,41,56,7.0,5.1,2.41,5.4,1,94.4,,0,0,5.6,1,10,0,84.2,90.6,0,41,0.0,0,88,17,97.7,86,114.8,18,29.0,0,208,124,7.3,12.2,2.42
Marquise Brown,61568,WR,ARZ,6,61,0,1,0,-1.9,0,100.0,,0,0,0.0,0,3,0,91.1,67.7,0,20,0.0,0,41,7,100.0,41,103.6,7,11.5,0,62,75,10.7,8.9,1.51,12.2,0,57.9,60.0,3,5,8.3,1,7,0,88.9,78.2,2,24,0.0,0,69,11,92.8,64,71.5,19,31.1,2,117,4,0.4,10.6,1.83
Justin Jefferson,61398,WR,MIN,6,60,0,18,0,-2.3,0,100.0,,0,0,0.0,0,1,0,90.2,70.5,0,14,0.0,0,25,4,96.0,24,87.5,4,6.7,0,20,29,7.3,5.0,0.83,6.6,3,94.7,,0,0,0.0,0,10,0,67.7,81.6,0,64,0.0,0,83,18,92.8,77,136.3,19,31.7,1,261,145,8.1,14.5,3.39
Ja'Marr Chase,84270,WR,CIN,6,58,0,7,0,-1.3,0,83.3,,0,0,16.7,1,2,0,32.0,85.6,0,11,0.0,0,20,5,90.0,18,88.9,6,10.3,0,32,39,7.8,6.4,1.78,4.0,0,81.3,,0,0,7.1,1,9,0,75.5,85.8,1,17,0.0,0,69,13,92.8,64,71.1,16,27.6,0,117,77,5.9,9.0,1.83
Mark Andrews,47436,TE,BLT,6,57,0,3,0,-1.0,1,100.0,,0,0,0.0,0,1,0,84.5,65.4,0,7,0.0,0,14,2,100.0,14,131.3,2,3.5,1,12,14,7.0,6.0,0.86,12.4,2,66.7,85.7,6,7,9.7,3,22,0,67.4,82.0,0,25,0.0,0,137,28,94.2,129,115.4,42,73.7,3,342,98,3.5,12.2,2.65
Diontae Johnson,33441,WR,PIT,6,55,0,25,0,-2.7,0,100.0,,0,0,0.0,0,1,0,27.0,49.7,0,6,0.0,0,15,3,86.7,13,79.2,3,5.5,0,9,17,5.7,3.0,0.69,4.0,0,57.1,0.0,0,1,20.0,1,1,0,54.3,65.3,1,6,0.0,0,22,4,95.5,21,22.6,7,12.7,0,17,18,4.5,4.3,0.81
CeeDee Lamb,61570,WR,DAL,6,55,0,9,0,-1.8,2,80.0,,0,0,0.0,0,0,0,90.2,54.5,0,13,0.0,0,14,4,100.0,14,88.3,5,9.1,0,26,32,8.0,6.5,1.86,7.3,0,69.2,40.0,2,5,5.3,1,12,0,53.6,73.5,0,26,0.0,0,119,18,94.1,112,95.8,26,47.3,0,225,102,5.7,12.5,2.01
Amari Cooper,9437,WR,CLV,6,53,0,8,0,-2.0,0,100.0,,0,0,0.0,0,0,0,84.5,50.1,0,2,0.0,0,17,2,94.1,16,79.2,2,3.8,0,2,6,3.0,1.0,0.13,11.5,0,81.8,66.7,2,3,0.0,0,8,0,63.6,74.5,0,28,0.0,0,48,9,93.8,45,151.7,11,20.8,2,120,31,3.4,13.3,2.67
Travis Kelce,7844,TE,KC,6,52,0,16,0,-1.8,0,100.0,,0,0,0.0,0,1,0,90.2,61.8,0,6,5.3,1,19,4,94.7,18,79.2,4,7.7,0,12,19,4.8,3.0,0.67,9.1,4,76.2,20.0,1,5,5.9,1,13,0,76.5,90.6,0,29,0.0,0,101,16,92.1,93,136.0,21,40.4,2,195,63,3.9,12.2,2.1
