player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Kristian Fulton,42894,CB,TEN,4,12,,12.0,31,0,39.6,0,1,0,0,0,0.0
Jaire Alexander,49350,CB,GB,3,7,,2.3,12,0,39.6,0,3,0,0,0,0.0
Minkah Fitzpatrick,51206,S,PIT,4,22,,22.0,25,2,0.0,0,1,0,0,0,0.0
Rudy Ford,11963,S,GB,1,2,,2.0,12,0,39.6,0,1,0,0,0,0.0
Siran Neal,27130,CB,BUF,4,22,,3.7,4,0,39.6,0,6,0,0,0,0.0
Tanner Vallejo,11950,LB,ARZ,2,3,,3.0,1,0,39.6,0,1,0,0,0,0.0
Xavier Woods,11946,S,CAR,5,17,,17.0,5,0,39.6,0,1,0,0,0,0.0
Rodney Thomas II,108389,S,IND,4,8,,8.0,14,0,39.6,0,1,0,0,0,0.0
Sauce Gardner,100903,CB,NYJ,2,5,,5.0,22,0,39.6,0,1,0,0,0,0.0
Travon Walker,98940,ED,JAX,3,8,,8.0,15,0,39.6,0,1,0,0,0,0.0
Blake Cashman,35413,LB,HST,1,1,,1.0,13,0,39.6,0,1,0,0,0,0.0
Justin Bethel,7654,CB,MIA,1,7,,7.0,17,0,39.6,0,1,0,0,0,0.0
Tracy Walker,51266,S,DET,3,22,,22.0,11,0,39.6,0,1,0,0,0,0.0
Amani Hooker,51378,S,TEN,3,32,,16.0,31,1,0.0,0,2,0,0,0,0.0
Anthony Walker,11916,LB,CLV,3,5,,5.0,8,0,39.6,0,1,0,0,0,0.0
Joshuah Bledsoe,60691,S,NE,1,4,,4.0,19,0,39.6,0,1,0,0,0,0.0
Terrel Bernard,57739,LB,BUF,2,2,,2.0,4,0,39.6,0,1,0,0,0,0.0
Steven Nelson,9531,CB,HST,3,9,,9.0,13,0,39.6,0,1,0,0,0,0.0
Arnold Ebiketie,56862,ED,ATL,2,1,,1.0,2,0,39.6,0,1,0,0,0,0.0
Marcus Maye,11794,S,NO,3,7,,7.0,20,0,39.6,0,1,0,0,0,0.0
Alontae Taylor,83469,CB,NO,1,2,,2.0,20,0,39.6,0,1,0,0,0,0.0
Marcus Jones,55717,CB,NE,2,18,,18.0,19,0,39.6,0,1,0,0,0,0.0
Neville Hewitt,9836,LB,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Stephon Gilmore,7016,CB,IND,1,1,,1.0,14,0,39.6,0,1,0,0,0,0.0
Christian Kirksey,8706,LB,HST,5,20,,20.0,13,0,39.6,0,1,0,0,0,0.0
Terrance Mitchell,8888,CB,TEN,2,5,,5.0,31,0,39.6,0,1,0,0,0,0.0
Eddie Jackson,11867,S,CHI,5,21,,21.0,6,0,39.6,0,1,0,0,0,0.0
J.C. Jackson,42781,CB,LAC,1,1,,1.0,27,0,39.6,0,1,0,0,0,0.0
Micah Parsons,81360,ED,DAL,1,2,,2.0,9,0,39.6,0,1,0,0,0,0.0
Cobie Durant,79126,S,LA,1,8,,8.0,26,1,0.0,0,1,0,0,0,0.0
Jaylon Johnson,56259,CB,CHI,1,2,,2.0,6,0,39.6,0,1,0,0,0,0.0
Caleb Farley,61803,CB,TEN,2,2,,2.0,31,0,39.6,0,1,0,0,0,0.0
Noah Igbinoghene,61155,CB,MIA,2,6,,3.0,17,0,39.6,0,2,0,0,0,0.0
Garret Wallow,60761,LB,HST,3,14,,7.0,13,0,39.6,0,2,0,0,0,0.0
Rachad Wildgoose,83111,CB,WAS,3,74,37.0,18.5,32,0,70.8,2,4,0,26,19,0.35
Budda Baker,11791,S,ARZ,6,34,34.0,34.0,1,0,79.2,1,1,0,1,4,0.03
Ronnie Harrison,49206,S,CLV,5,29,29.0,14.5,8,0,56.3,1,2,0,5,5,0.17
Bobby McCain,9578,S,WAS,6,58,29.0,29.0,32,0,79.2,2,2,0,5,5,0.09
Zaire Franklin,49834,LB,IND,6,25,25.0,25.0,14,0,118.8,1,1,0,20,13,0.8
Israel Mukuamu,83377,S,DAL,3,24,24.0,12.0,9,0,56.3,1,2,0,6,7,0.25
Terrell Edmunds,51334,S,PIT,5,46,23.0,11.5,25,0,117.7,2,4,1,33,3,0.72
Jevon Holland,83873,S,MIA,6,22,22.0,22.0,17,0,91.7,1,1,0,6,7,0.27
Jordan Poyer,8000,S,BUF,4,21,21.0,7.0,4,2,42.4,1,3,1,4,0,0.19
Xavier McKinney,55775,S,NYG,6,20,20.0,4.0,21,0,39.6,1,5,0,6,2,0.3
Bradley Roby,8666,CB,NO,6,58,19.3,6.4,20,0,42.4,3,9,0,18,8,0.31
Devin McCourty,5552,S,NE,6,19,19.0,19.0,19,0,158.3,1,1,1,16,0,0.84
Essang Bassey,45258,CB,DEN,3,19,19.0,19.0,10,0,87.5,1,1,0,5,6,0.26
Camryn Bynum,38408,S,MIN,4,18,18.0,18.0,18,0,118.8,1,1,0,14,8,0.78
Roquan Smith,50892,LB,CHI,6,18,18.0,6.0,6,1,9.7,1,3,0,14,19,0.78
Ugo Amadi,49352,CB,TEN,2,17,17.0,8.5,31,0,56.3,1,2,0,6,6,0.35
Jaycee Horn,83375,CB,CAR,5,34,17.0,11.3,5,0,71.5,2,3,0,10,9,0.29
Ryan Neal,49132,S,SEA,3,17,17.0,5.7,29,0,81.9,1,3,1,4,0,0.24
Benjamin St-Juste,56061,CB,WAS,6,99,16.5,7.6,32,0,57.2,6,13,0,52,36,0.53
Tyrann Mathieu,7850,S,NO,6,33,16.5,8.3,20,0,56.3,2,4,0,11,8,0.33
Tre Norwood,55675,S,PIT,5,16,16.0,8.0,25,0,58.3,1,2,0,7,9,0.44
Juston Burris,10752,S,CAR,2,16,16.0,16.0,5,0,122.9,1,1,1,4,0,0.25
Foyesade Oluokun,24904,LB,JAX,4,16,16.0,16.0,15,0,118.8,1,1,0,15,11,0.94
Jaquan Brisker,101665,S,CHI,4,16,16.0,8.0,6,0,56.3,1,2,0,3,8,0.19
Jalen Ramsey,10639,CB,LA,6,47,15.7,7.8,26,0,56.3,3,6,0,18,15,0.38
Kevin Byard,10698,S,TEN,5,31,15.5,10.3,31,0,109.7,2,3,1,9,1,0.29
Jalen Mills,10867,CB,NE,5,15,15.0,3.8,19,0,40.6,1,4,0,13,11,0.87
