"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","245","20","0.31","71","1.22","64.9","-31","Demario Davis","190","9","0.12","71","0.53","86.4"
"Kyle Pitts","101","25","0.36","52","1.67","68.7","-2","Akeem Davis-Gaither","61","20","0.32","75","1.75","57.5"
"Mark Andrews","196","29","0.58","68","2.32","85.1","-3","Sione Takitaki","62","8","0.13","80","0.63","71.4"
"Tommy Tremble","87","10","0.11","56","0.48","45.9","-28","Devin White","197","12","0.2","62","0.89","37.7"
"Cole Kmet","145","11","0.15","62","0.8","56.1","-46","Kyle Dugger","117","11","0.19","62","0.69","71"
"Hayden Hurst","199","15","0.27","79","0.89","63.2","10","Rashaan Evans","225","12","0.2","85","1.01","57.9"
"David Njoku","177","19","0.38","79","1.96","81.6","12","Patrick Queen","209","17","0.28","81","1.46","59.3"
"Jake Ferguson","48","21","0.4","70","1.25","65.7","-20","DeShon Elliott","176","4","0.06","71","0.36","64.4"
"Greg Dulcich","27","11","0.46","67","1.63","56.6","-35","C.J. Mosley","213","14","0.2","73","0.99","60.9"
"T.J. Hockenson","156","21","0.41","58","1.71","64.8","-8","Anthony Barr","135","10","0.12","77","0.44","59.8"
"Robert Tonyan","137","23","0.4","87","1.6","66","30","Jamin Davis","133","14","0.23","61","1.07","51.8"
"O.J. Howard","55","18","0.44","50","1.31","52.8","-35","Denzel Perryman","47","15","0.37","100","0.91","65.2"
"Kylen Granson","120","17","0.27","76","1.32","57.9","-9","Dylan Cole","57","14","0.26","88","1.37","63.3"
"Evan Engram","179","18","0.25","75","1.16","57.2","19","Dane Belton","108","10","0.12","45","0.7","29.8"
"Travis Kelce","219","24","0.59","79","2.08","88.2","31","Dre Greenlaw","195","17","0.3","91","1.11","77"
"Gerald Everett","182","19","0.32","63","1.33","64","34","Cody Barton","131","14","0.32","89","1.56","50.4"
"Darren Waller","142","17","0.28","67","1.23","62.8","8","Christian Kirksey","180","14","0.23","64","0.79","64"
"Mike Gesicki","143","13","0.35","83","1.19","67.7","2","Myles Jack","202","15","0.18","73","0.75","65.4"
"Hunter Henry","138","15","0.25","62","1.13","59","-4","Roquan Smith","172","12","0.13","55","0.71","52"
"Juwan Johnson","152","14","0.2","64","1.12","66.9","-19","Isaiah Simmons","148","9","0.21","86","0.93","55"
"Daniel Bellinger","100","16","0.41","94","1.39","76.3","5","Devin Lloyd","211","21","0.38","86","1.68","61.5"
"Tyler Conklin","182","16","0.27","76","1.14","53.4","-62","Alex Singleton","132","16","0.21","90","0.68","90.1"
"Pat Freiermuth","128","24","0.39","65","1.84","73.1","14","Brandon Jones","167","16","0.22","73","1.02","58.4"
"Noah Fant","111","21","0.36","83","1.35","70.5","30","Kenneth Murray","136","15","0.22","85","0.99","35.9"
"George Kittle","119","18","0.31","86","1.53","67.5","18","Willie Gay Jr.","62","27","0.48","94","2.18","48.4"
"Cade Otton","109","14","0.2","80","0.91","59","-17","Frankie Luvu","113","13","0.31","80","0.94","71.9"
"Austin Hooper","91","10","0.13","67","0.6","50.6","-31","Bobby Okereke","188","18","0.25","68","1.26","66.8"
"Cole Turner","44","9","0.1","50","0.52","57.7","6","Quay Walker","116","13","0.24","80","1.39","42.8"
