id,player,team,opponent,position,salary,ownership
25056657,Travis Etienne Jr.,JAC,LV,RB,6300,27.5
25056661,Rhamondre Stevenson,NE,IND,RB,6200,18.5
25056886,DeAndre Hopkins,ARI,SEA,WR,7900,17.2
25056882,Stefon Diggs,BUF,NYJ,WR,8400,16.4
25056880,Tyreek Hill,MIA,CHI,WR,8500,16.2
25056653,Joe Mixon,CIN,CAR,RB,6500,16.1
25056647,Aaron Jones,GB,DET,RB,7400,15.7
25056649,Josh Jacobs,LV,JAC,RB,7300,15.7
25057500,Carolina Panthers,CAR,CIN,D,2300,15.4
25056659,Kenneth Walker III,SEA,ARI,RB,6200,15.3
25056703,Deon Jackson,IND,NE,RB,5200,15.3
25057274,Robert Tonyan,GB,DET,TE,3800,14.9
25056910,Chris Godwin,TB,LAR,WR,6200,14.3
25056641,Austin Ekeler,LAC,ATL,RB,8800,13.8
25056936,Josh Palmer,LAC,ATL,WR,5100,13.4
25057492,Tampa Bay Buccaneers,TB,LAR,D,3000,13.3
25057499,Washington Commanders,WAS,MIN,D,2400,13.3
25056667,D'Onta Foreman,CAR,CIN,RB,6000,12.2
25056884,Davante Adams,LV,JAC,WR,8100,12.1
25056575,Josh Allen,BUF,NYJ,QB,8500,11.4
25056912,Tyler Lockett,SEA,ARI,WR,6100,11.2
25056582,Aaron Rodgers,GB,DET,QB,5900,10.6
25056663,Raheem Mostert,MIA,CHI,RB,6100,10.6
25056916,Terry McLaurin,WAS,MIN,WR,5900,10.2
25056918,D.J. Moore,CAR,CIN,WR,5800,10.2
25057270,Kyle Pitts,ATL,LAC,TE,4500,10.1
25056908,Tyler Boyd,CIN,CAR,WR,6300,9.9
25056878,Justin Jefferson,MIN,WAS,WR,8600,9.8
25056892,Tee Higgins,CIN,CAR,WR,7300,9.7
25057495,Indianapolis Colts,IND,NE,D,2700,9.0
25056928,Romeo Doubs,GB,DET,WR,5300,8.9
25056902,Amon-Ra St. Brown,DET,GB,WR,6600,8.7
25056671,Jamaal Williams,DET,GB,RB,5900,8.6
25057276,Tyler Higbee,LAR,TB,TE,3700,8.5
25056914,Allen Lazard,GB,DET,WR,6000,8.2
25056579,Joe Burrow,CIN,CAR,QB,6600,8.1
25056577,Justin Herbert,LAC,ATL,QB,7200,8.0
25056576,Kyler Murray,ARI,SEA,QB,7400,7.8
25056876,Cooper Kupp,LAR,TB,WR,8900,7.8
25057284,Evan Engram,JAC,LV,TE,3300,7.3
25056689,Antonio Gibson,WAS,MIN,RB,5500,7.3
25056946,Garrett Wilson,NYJ,BUF,WR,4800,7.2
25056681,Devin Singletary,BUF,NYJ,RB,5700,7.1
25056906,DK Metcalf,SEA,ARI,WR,6400,7.0
25056894,Mike Evans,TB,LAR,WR,7200,6.9
25056687,Michael Carter,NYJ,BUF,RB,5500,6.9
25056679,AJ Dillon,GB,DET,RB,5700,6.7
25056583,Geno Smith,SEA,ARI,QB,5800,6.7
25056669,Eno Benjamin,ARI,SEA,RB,5900,6.7
25056890,Jaylen Waddle,MIA,CHI,WR,7400,6.6
25056578,Tua Tagovailoa,MIA,CHI,QB,6700,6.6
25056944,Drake London,ATL,LAC,WR,4900,6.4
25056930,Rondale Moore,ARI,SEA,WR,5200,6.1
25056587,Derek Carr,LV,JAC,QB,5400,6.0
25056589,Justin Fields,CHI,MIA,QB,5300,6.0
25056924,Christian Kirk,JAC,LV,WR,5500,5.9
25056651,Leonard Fournette,TB,LAR,RB,6600,5.6
25056896,Gabe Davis,BUF,NYJ,WR,6900,5.6
25056581,Tom Brady,TB,LAR,QB,6000,5.3
25056673,James Conner,ARI,SEA,RB,5800,5.3
25056695,Brian Robinson Jr.,WAS,MIN,RB,5400,5.2
25056707,Darrell Henderson Jr.,LAR,TB,RB,5100,5.2
25056926,Jakobi Meyers,NE,IND,WR,5400,5.2
25056580,Kirk Cousins,MIN,WAS,QB,6200,5.0
25056932,Curtis Samuel,WAS,MIN,WR,5200,4.9
25057268,Gerald Everett,LAC,ATL,TE,4800,4.9
25057487,Minnesota Vikings,MIN,WAS,D,3500,4.9
25056898,Michael Pittman Jr.,IND,NE,WR,6800,4.8
25056974,Zay Jones,JAC,LV,WR,4100,4.8
25056655,D'Andre Swift,DET,GB,RB,6400,4.7
25057482,Buffalo Bills,BUF,NYJ,D,4300,4.7
25056922,Adam Thielen,MIN,WAS,WR,5600,4.7
25056693,Tyler Allgeier,ATL,LAC,RB,5400,4.6
25057278,Hayden Hurst,CIN,CAR,TE,3600,4.5
25057280,Dawson Knox,BUF,NYJ,TE,3500,4.5
25056675,Khalil Herbert,CHI,MIA,RB,5800,4.5
25056677,Cordarrelle Patterson,ATL,LAC,RB,5800,4.3
25057489,Los Angeles Rams,LAR,TB,D,3300,4.3
25056691,Nyheim Hines,BUF,NYJ,RB,5500,4.2
25057286,Tyler Conklin,NYJ,BUF,TE,3200,4.1
25057483,New England Patriots,NE,IND,D,4100,4.1
25057484,Cincinnati Bengals,CIN,CAR,D,4000,4.0
25057501,New York Jets,NYJ,BUF,D,2000,4.0
25056938,Allen Robinson II,LAR,TB,WR,5000,3.9
25139571,Jeff Wilson Jr.,MIA,CHI,RB,4900,3.9
25057485,Miami Dolphins,MIA,CHI,D,3800,3.7
25056715,Caleb Huntley,ATL,LAC,RB,4900,3.6
25056962,DeAndre Carter,LAC,ATL,WR,4300,3.5
25056948,Darnell Mooney,CHI,MIA,WR,4700,3.5
25057292,Cade Otton,TB,LAR,TE,3100,3.5
25057304,Noah Fant,SEA,ARI,TE,2900,3.5
25057490,Las Vegas Raiders,LV,JAC,D,3200,3.5
25056665,David Montgomery,CHI,MIA,RB,6000,3.4
25057498,Chicago Bears,CHI,MIA,D,2500,3.4
25056984,Terrace Marshall Jr.,CAR,CIN,WR,3900,3.3
25056591,Trevor Lawrence,JAC,LV,QB,5200,3.3
25056643,Dalvin Cook,MIN,WAS,RB,7800,3.3
25056585,Jared Goff,DET,GB,QB,5500,3.1
25056588,Marcus Mariota,ATL,LAC,QB,5300,3.1
25056727,Rachaad White,TB,LAR,RB,4700,3.0
25056862,Phillip Lindsay,IND,NE,RB,4000,3.0
25056711,Sony Michel,LAC,ATL,RB,5000,2.9
25057493,Arizona Cardinals,ARI,SEA,D,2900,2.9
25057262,Zach Ertz,ARI,SEA,TE,5100,2.9
25057298,Cole Kmet,CHI,MIA,TE,3000,2.8
25057296,Hunter Henry,NE,IND,TE,3000,2.8
25057264,T.J. Hockenson,MIN,WAS,TE,5000,2.6
25056952,Mack Hollins,LV,JAC,WR,4500,2.6
25056954,Hunter Renfrow,LV,JAC,WR,4500,2.6
25057000,Michael Bandy,LAC,ATL,WR,3500,2.6
25057488,Los Angeles Chargers,LAC,ATL,D,3400,2.6
25056978,Kalif Raymond,DET,GB,WR,4000,2.5
25057294,Will Dissly,SEA,ARI,TE,3000,2.4
25056747,Ty Johnson,NYJ,BUF,RB,4300,2.3
25057266,Darren Waller,LV,JAC,TE,4900,2.2
25057272,Mike Gesicki,MIA,CHI,TE,4000,2.2
25057288,Foster Moreau,LV,JAC,TE,3200,2.2
25057300,Jonnu Smith,NE,IND,TE,2900,2.2
25057302,Logan Thomas,WAS,MIN,TE,2900,2.2
25056741,Ameer Abdullah,LV,JAC,RB,4300,2.2
25056723,Ronnie Rivers,LAR,TB,RB,4800,2.2
25057497,Seattle Seahawks,SEA,ARI,D,2500,2.1
25056593,Mac Jones,NE,IND,QB,5100,2.1
25056940,Julio Jones,TB,LAR,WR,5000,2.0
25056584,Matthew Stafford,LAR,TB,QB,5600,2.0
25056699,Samaje Perine,CIN,CAR,RB,5300,2.0
25056739,Travis Homer,SEA,ARI,RB,4400,1.9
25056685,Damien Harris,NE,IND,RB,5600,1.9
25056942,Isaiah McKenzie,BUF,NYJ,WR,4900,1.9
25056966,Marvin Jones Jr.,JAC,LV,WR,4200,1.8
25056683,Alexander Mattison,MIN,WAS,RB,5600,1.7
25056958,Alec Pierce,IND,NE,WR,4400,1.7
25056970,Parris Campbell,IND,NE,WR,4200,1.7
25056713,Cam Akers,LAR,TB,RB,5000,1.6
25057486,Green Bay Packers,GB,DET,D,3700,1.6
25056586,Taylor Heinicke,WAS,MIN,QB,5400,1.5
25056996,Olamide Zaccheaus,ATL,LAC,WR,3600,1.5
25057444,James Mitchell,DET,GB,TE,2500,1.5
25056968,K.J. Osborn,MIN,WAS,WR,4200,1.4
25057306,Mo Alie-Cox,IND,NE,TE,2800,1.4
25057308,Johnny Mundt,MIN,WAS,TE,2800,1.4
25057320,Ian Thomas,CAR,CIN,TE,2600,1.4
25057476,C.J. Uzomah,NYJ,BUF,TE,2500,1.4
25057006,Van Jefferson,LAR,TB,WR,3500,1.3
25057442,Brock Wright,DET,GB,TE,2500,1.3
25056721,JaMycal Hasty,JAC,LV,RB,4800,1.3
25056590,P.J. Walker,CAR,CIN,QB,5200,1.3
25056595,Zach Wilson,NYJ,BUF,QB,5100,1.3
25056866,Spencer Brown,CAR,CIN,RB,4000,1.2
25057004,Christian Watson,GB,DET,WR,3500,1.2
25057491,Jacksonville Jaguars,JAC,LV,D,3100,1.2
25056725,Keaontay Ingram,ARI,SEA,RB,4700,1.2
25057494,Atlanta Falcons,ATL,LAC,D,2800,1.1
25057018,Tyquan Thornton,NE,IND,WR,3300,1.1
25057496,Detroit Lions,DET,GB,D,2600,1.0
25057002,Khalil Shakir,BUF,NYJ,WR,3500,0.9
25056601,Sam Ehlinger,IND,NE,QB,5000,0.9
25139569,Chase Claypool,CHI,MIA,WR,4800,0.9
25057008,Damiere Byrd,ATL,LAC,WR,3500,0.9
25057022,Trent Sherfield,MIA,CHI,WR,3300,0.8
25057014,Kendrick Bourne,NE,IND,WR,3400,0.8
25057208,Tom Kennedy,DET,GB,WR,3000,0.8
