player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jason Pierre-Paul,5540,ED,BLT,1,3,0,3,0,,,16.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,6,0,0,0,0,0,0,0.0,,0,0,1.0,100.0,15.4,2.0,2.0,0,0,0.0,46.1,0,9,100.0,1,0,104.2,1,2,66.7,13,0,0,1,0,9,8,4.5,9.0
Kareem Jackson,5545,S,DEN,1,29,0,10,0,,,100.0,,,0,0,,62.7,0,,,0,0,0.0,0,5,17.2,5,0,0,0,0,0,0,0.0,,0,0,14.0,100.0,100.0,17.0,17.0,0,0,0.0,53.9,0,19,,0,0,118.8,1,17,58.6,17,0,0,1,0,19,5,1.1,19.0
Devin McCourty,5552,S,NE,1,58,0,19,0,,,100.0,,,0,0,,61.1,0,,,0,0,0.0,0,4,6.9,4,0,0,0,0,0,0,0.0,,0,0,6.0,0.0,100.0,,40.0,0,0,0.0,59.9,1,,0.0,0,0,0.0,0,43,74.1,43,1,2,1,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,1,1,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,,0,0,,,10.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,10,0,0,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,1,51,0,18,0,,,100.0,,,0,0,,55.9,0,,,0,0,0.0,0,19,37.3,19,0,0,0,0,0,0,0.0,,0,0,11.7,66.7,100.0,5.0,3.3,0,0,0.0,54.3,1,29,0.0,0,0,97.9,4,21,41.2,21,0,2,6,1,58,11,2.9,14.5
J.J. Watt,6163,DI,ARZ,1,2,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,-1.0,100.0,6.3,2.0,2.0,0,0,0.0,60.6,0,5,,0,0,87.5,1,2,100.0,32,0,0,1,0,5,6,2.5,5.0
Cameron Jordan,6176,ED,NO,1,1,0,20,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,4.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,23,0,0,0,0,0,0,0.0,
Justin Houston,6222,ED,BLT,1,3,0,3,0,,,12.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,8,0,0,0,0,0,0,0.0,,0,0,,,15.4,,,0,0,,60.4,0,,,0,0,0.0,0,2,66.7,13,0,0,0,0,0,0,0.0,
Chris Harris Jr.,6457,CB,NO,1,2,0,20,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,,0,0,,,33.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,3,0,0,0,0,0,0,0.0,
Stephon Gilmore,7016,CB,IND,1,37,0,14,0,11.0,100.0,100.0,3.0,3.0,0,0,0.0,46.9,0,16,0.0,0,0,118.8,1,3,8.1,3,0,1,1,0,16,5,5.3,16.0,0,0,2.0,100.0,100.0,13.5,13.5,0,0,0.0,71.9,0,18,0.0,0,0,118.8,2,28,75.7,28,1,1,2,0,27,23,1.0,13.5
Bruce Irvin,7021,ED,SEA,1,3,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,-3.0,100.0,30.0,3.0,3.0,0,0,0.0,41.2,0,5,100.0,1,0,87.5,1,3,100.0,10,0,0,1,0,5,8,1.7,5.0
Chandler Jones,7027,ED,LV,1,2,0,23,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,0,0,0,0,0,0,,,0,0,,,20.0,,,0,0,,75.2,0,,0.0,0,0,0.0,0,2,100.0,10,1,1,0,0,0,0,0.0,
Bobby Wagner,7050,LB,LA,1,35,0,26,0,-3.0,0.0,80.0,,3.0,0,0,0.0,64.0,0,,0.0,0,0,39.6,0,4,11.4,5,0,1,1,0,0,0,0.0,,0,1,2.3,50.0,72.4,10.5,5.3,0,0,0.0,68.4,1,11,0.0,0,0,21.9,2,21,60.0,29,1,1,4,0,17,18,0.8,8.5
Lavonte David,7060,LB,TB,1,44,0,30,0,,,100.0,,,0,0,,60.7,0,,,0,0,0.0,0,2,4.5,2,0,0,0,0,0,0,0.0,,0,1,3.7,50.0,87.5,11.3,5.7,0,1,16.7,78.4,0,22,14.3,1,1,68.1,3,35,79.5,40,4,5,6,0,35,32,1.0,11.7
Demario Davis,7079,LB,NO,1,33,0,20,0,,,88.9,,,0,0,,64.4,0,,,0,0,0.0,0,8,24.2,9,0,0,0,0,0,0,0.0,,0,0,,,92.3,,,0,0,,61.7,0,,100.0,1,0,0.0,0,24,72.7,26,0,0,0,0,0,0,0.0,
Akiem Hicks,7090,DI,TB,1,1,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,5.0,,,0,0,,59.5,0,,,0,0,0.0,0,1,100.0,20,0,0,0,0,0,0,0.0,
Rodney McLeod,7271,S,IND,1,36,0,14,0,,,100.0,,,0,0,,60.7,0,,,0,0,0.0,0,3,8.3,3,0,0,0,0,0,0,0.0,,0,1,-3.0,100.0,96.4,26.0,26.0,0,0,0.0,63.2,0,4,33.3,1,0,83.3,1,27,75.0,28,0,1,1,0,4,7,0.2,4.0
Tashaun Gipson Sr.,7288,S,SF,1,30,0,28,0,13.0,0.0,71.4,,4.0,0,0,0.0,48.4,0,,,0,0,39.6,0,5,16.7,7,0,0,1,0,0,0,0.0,,0,0,17.0,100.0,100.0,11.0,11.0,1,1,50.0,52.1,0,25,0.0,0,1,118.8,2,23,76.7,23,0,1,2,0,39,5,1.8,19.5
Harrison Smith,7641,S,MIN,1,46,0,18,0,6.0,100.0,100.0,16.0,16.0,0,0,0.0,65.3,0,12,0.0,0,0,116.7,1,17,37.0,17,1,1,1,0,12,6,0.8,12.0,0,0,4.0,100.0,100.0,17.0,17.0,0,0,0.0,66.3,0,5,0.0,0,0,87.5,1,18,39.1,18,1,1,1,0,5,1,0.3,5.0
Darius Slay,7817,CB,PHI,1,45,0,24,0,,,100.0,,,0,0,,67.3,0,,,0,0,0.0,0,11,24.4,11,0,0,0,0,0,0,0.0,,0,0,7.5,100.0,100.0,10.5,10.5,0,0,0.0,49.8,0,8,0.0,0,0,100.0,2,22,48.9,22,0,1,2,0,16,1,0.8,8.0
Tyrann Mathieu,7850,S,NO,1,35,0,20,0,10.5,50.0,88.9,7.0,3.5,0,0,0.0,73.8,0,8,0.0,0,0,60.4,1,8,22.9,9,0,1,2,0,8,0,1.1,8.0,0,0,0.0,100.0,100.0,6.3,6.3,0,0,0.0,69.6,0,21,0.0,0,0,103.1,4,26,74.3,26,2,2,4,0,35,35,1.4,8.8
Logan Ryan,7864,S,TB,1,43,0,30,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.3,1,0,0,0,0,0,0,0.0,,0,0,11.0,50.0,97.2,34.0,17.0,0,1,50.0,72.6,0,3,33.3,1,1,56.3,1,35,81.4,36,1,2,2,0,3,5,0.1,3.0
Duron Harmon,7872,S,LV,1,40,0,23,0,,,100.0,,,0,0,,61.6,0,,,0,0,0.0,0,8,20.0,8,0,0,0,0,0,0,0.0,,0,0,1.0,100.0,96.7,28.0,28.0,0,0,0.0,64.7,0,1,25.0,1,0,79.2,1,29,72.5,30,1,3,1,0,1,0,0.0,1.0
