"","Name","TeamAbbrev","Salary","ownership","fantasyPoints","sum_sd","runBlockAdv","opponent","def_rush_epa","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","touches_game","yco_attempt","yprr","name_salary_own"
"1","Saquon Barkley","NYG",7700,11.3,17.6,1.132,-21,"BAL",-0.055,21,20,1.1,50.7,73,26,77,23,3.81,1.14,"Saquon Barkley 7700 11.3"
"2","Rhamondre Stevenson","NE",6000,26,17.1,1.097,34,"CLE",0.215,32,32,0.9,33.9,109.8,31,86.9,16.2,4.24,0.89,"Rhamondre Stevenson 6000 26"
"3","Nick Chubb","CLE",8200,3.7,13.4,0.956,24,"NE",0.074,29,22,3.1,42,171,2,90.2,20.8,4.23,0.54,"Nick Chubb 8200 3.7"
"4","Joe Mixon","CIN",6900,11,13.4,0.761,-39,"NO",-0.148,5,11,0.6,10.3,18.5,13,62.7,23.2,1.95,0.98,"Joe Mixon 6900 11"
"5","Leonard Fournette","TB",7400,13.6,14.2,0.728,21,"PIT",-0.009,22,7,0.5,12.1,37.1,17,64,20,2.47,1.46,"Leonard Fournette 7400 13.6"
"6","Dalvin Cook","MIN",7500,6.7,15.7,0.724,8,"MIA",-0.198,2,4,1,8.3,59.7,24,72.9,18.4,2.89,0.7,"Dalvin Cook 7500 6.7"
"7","Breece Hall","NYJ",5800,11.9,13.5,0.479,10,"GB",0.062,28,30,0.8,37.5,70.1,16,61.4,14.6,3.41,2.2,"Breece Hall 5800 11.9"
"8","Alvin Kamara","NO",6700,11.7,16.1,0.438,1,"CIN",-0.103,9,17,0.4,20.6,39,6,52.3,19.3,2.51,1.87,"Alvin Kamara 6700 11.7"
"9","Aaron Jones","GB",7600,5.8,14.9,0.332,-14,"NYJ",0.007,24,13,1.7,34.6,116.9,22,80.4,15,3.98,0.9,"Aaron Jones 7600 5.8"
"10","Kareem Hunt","CLE",5700,3.7,11.1,0.293,24,"NE",0.074,29,22,1.2,24.7,65.2,2,67.3,14.2,3.09,0.98,"Kareem Hunt 5700 3.7"
"11","Michael Carter","NYJ",5000,2.4,5.3,0.237,10,"GB",0.062,28,30,2.7,25.9,68.4,16,64,12.8,2.57,1.09,"Michael Carter 5000 2.4"
