"","player","id","pos"
"1","R.Tannehill","00-0029701","QB"
"2","K.Murray","00-0035228","QB"
"3","M.Farley","00-0032496","QB"
"4","D.Carr","00-0031280","QB"
"5","L.Jackson","00-0034796","QB"
"6","A.Dalton","00-0027973","QB"
"7","J.Fields","00-0036945","QB"
"8","M.Stafford","00-0026498","QB"
"9","B.Mayfield","00-0034855","QB"
"10","P.Mahomes","00-0033873","QB"
"11","J.Landry","00-0031382","QB"
"12","T.Brady","00-0019596","QB"
"13","D.Prescott","00-0033077","QB"
"14","D.Jones","00-0035710","QB"
"15","T.Bridgewater","00-0031237","QB"
"16","J.Winston","00-0031503","QB"
"17","A.Rodgers","00-0023459","QB"
"18","T.Hill","00-0033357","QB"
"19","J.Love","00-0036264","QB"
"20","T.Taylor","00-0028118","QB"
"21","T.Lawrence","00-0036971","QB"
"22","J.Herbert","00-0036355","QB"
"23","R.Fitzpatrick","00-0023682","QB"
"24","T.Heinicke","00-0031800","QB"
"25","M.Jones","00-0036972","QB"
"26","T.Tagovailoa","00-0036212","QB"
"27","K.Cousins","00-0029604","QB"
"28","J.Burrow","00-0036442","QB"
"29","J.Jefferson","00-0036322","QB"
"30","Z.Wilson","00-0037013","QB"
"31","S.Darnold","00-0034869","QB"
"32","M.Ryan","00-0026143","QB"
"33","J.Hurts","00-0036389","QB"
"34","J.Allen","00-0034857","QB"
"35","B.Roethlisberger","00-0022924","QB"
"36","C.Wentz","00-0032950","QB"
"37","R.Wilson","00-0029263","QB"
"38","J.Goff","00-0033106","QB"
"39","J.Garoppolo","00-0031345","QB"
"40","T.Lance","00-0037012","QB"
"41","J.Rosen","00-0034343","QB"
"42","J.Brissett","00-0033119","QB"
"43","D.Mills","00-0036898","QB"
"44","J.Eason","00-0036226","QB"
"45","G.Ward","00-0033733","QB"
"46","D.Swift","00-0036275","QB"
"47","M.Trubisky","00-0033869","QB"
"48","D.Lock","00-0035704","QB"
"49","T.Long","00-0031543","QB"
"50","J.Meyers","00-0034960","QB"
"51","G.Smith","00-0030565","QB"
"52","B.Gabbert","00-0027948","QB"
"53","K.Toney","00-0036913","QB"
"54","M.Glennon","00-0030520","QB"
"55","C.Wilson","00-0034418","QB"
"56","C.Patterson","00-0030578","QB"
"57","C.Keenum","00-0028986","QB"
"58","D.Knox","00-0035689","QB"
"59","B.Allen","00-0032434","QB"
"60","J.Hekker","00-0028872","QB"
"61","J.Wolford","00-0034899","QB"
"62","D.Pettis","00-0034860","QB"
"63","P.Walker","00-0033275","QB"
"64","T.Huntley","00-0035993","QB"
"65","J.Fox","00-0035156","QB"
"66","D.Henry","00-0032764","QB"
"67","C.Henne","00-0026197","QB"
"68","K.Bourne","00-0033307","QB"
"69","M.White","00-0034401","QB"
"70","B.Hoyer","00-0026625","QB"
"71","T.Boyd","00-0033009","QB"
"72","J.Johnson","00-0026300","QB"
"73","J.Crowder","00-0031941","QB"
"74","C.Rush","00-0033662","QB"
"75","R.Burkhead","00-0030288","QB"
"76","C.Beasley","00-0029000","QB"
"77","G.Minshew II","00-0035289","QB"
"78","D.Blough","00-0035040","QB"
"79","C.Boswell","00-0031136","QB"
"80","T.Siemian","00-0032156","QB"
"81","L.Fournette","00-0033856","QB"
"82","A.Brown","00-0035676","QB"
"83","C.McCoy","00-0027688","QB"
"84","C.Kirk","00-0034775","QB"
"85","C.Beathard","00-0033936","QB"
"86","D.Amendola","00-0026035","QB"
"87","E.Elliott","00-0033045","QB"
"88","A.Wilson","00-0030669","QB"
"89","J.Flacco","00-0026158","QB"
"90","C.Newton","00-0027939","QB"
"91","C.Streveler","00-0035752","QB"
"92","M.Rudolph","00-0034771","QB"
"93","T.Townsend","00-0035889","QB"
"94","T.Boyle","00-0034177","QB"
"95","F.Franks","00-0036825","QB"
"96","B.Gillikin","00-0035859","QB"
"97","C.Kupp","00-0033908","QB"
"98","A.Lee","00-0022824","QB"
"99","K.Allen","00-0030279","QB"
"100","K.Allen","00-0034577","QB"
"101","R.Dixon","00-0032943","QB"
"102","D.Samuel","00-0035719","QB"
"103","J.Fromm","00-0036197","QB"
"104","N.Mullens","00-0033319","QB"
"105","K.Cole","00-0033681","QB"
"106","G.Gilbert","00-0031395","QB"
"107","N.Foles","00-0029567","QB"
"108","I.Book","00-0036929","QB"
"109","C.Banjo","00-0029747","QB"
"110","S.Diggs","00-0031588","QB"
"111","B.Rypien","00-0034955","QB"
"112","K.Hinton","00-0035864","QB"
"113","M.Mariota","00-0032268","QB"
"114","M.Gesicki","00-0034829","QB"
"115","S.Mannion","00-0032245","QB"
"116","K.Mond","00-0036946","QB"
"117","D.Montgomery","00-0035685","QB"
"118","B.Zylstra","00-0034052","QB"
"119","T.Kennedy","00-0035544","QB"
