"Player","Team","Pos","Alive Team Rate","ADP","Drafted Count","Round 2 Count","Round 3 Count","Final Round Count","Adv From Round 1","Adv From Round 2","Adv From Round 3"
"Justin Jefferson ","MIN","WR","0.41","3.7","37600","9820","1711","193","0.26","0.17","0.11"
"George Kittle","SF","TE","0.39","51.1","37600","5763","1310","182","0.15","0.23","0.14"
"DeVonta Smith","PHI","WR","0.38","74.2","37600","8451","1274","178","0.22","0.15","0.14"
"T.J. Hockenson","MIN","TE","0.27","89.3","37600","8258","654","129","0.22","0.08","0.2"
"Jaylen Waddle","MIA","WR","0.27","37.9","37600","9965","1213","125","0.27","0.12","0.1"
"Kirk Cousins","MIN","QB","0.26","116.9","37600","6081","1271","124","0.16","0.21","0.1"
"Tee Higgins","CIN","WR","0.26","26.2","37600","6574","810","120","0.17","0.12","0.15"
"Saquon Barkley","NYG","RB","0.23","17.2","37600","7481","1100","106","0.2","0.15","0.1"
"Jerick McKinnon","KC","RB","0.22","189.3","29246","6133","1842","105","0.21","0.3","0.06"
"Cam Akers","LAR","RB","0.22","49.2","37600","4253","365","104","0.11","0.09","0.28"
"Jalen Hurts","PHI","QB","0.22","61.2","37600","12716","2162","104","0.34","0.17","0.05"
"Jahan Dotson","WAS","WR","0.22","135.8","37600","6353","1094","104","0.17","0.17","0.1"
"Zay Jones","JAX","WR","0.22","189.7","27758","6797","2245","104","0.24","0.33","0.05"
"Tyreek Hill","MIA","WR","0.2","21.7","37600","13434","1529","96","0.36","0.11","0.06"
"Tyler Higbee","LAR","TE","0.19","165.4","37598","5709","640","91","0.15","0.11","0.14"
"A.J. Brown","PHI","WR","0.19","25.6","37600","9556","1913","89","0.25","0.2","0.05"
"Joe Burrow","CIN","QB","0.19","71.8","37600","7754","646","89","0.21","0.08","0.14"
"Tyler Allgeier","ATL","RB","0.18","148.9","37535","5779","1050","85","0.15","0.18","0.08"
"CeeDee Lamb","DAL","WR","0.17","14.1","37600","5934","612","82","0.16","0.1","0.13"
"Rhamondre Stevenson","NE","RB","0.17","96.7","37600","9392","1853","80","0.25","0.2","0.04"
"K.J. Osborn","MIN","WR","0.17","147.2","37599","5520","1612","79","0.15","0.29","0.05"
"Devin Singletary","BUF","RB","0.16","104.4","37600","7192","668","75","0.19","0.09","0.11"
