"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"c4439f4a-8ccb-4aaf-b327-b7cb94cee0a4","Nathan","MacKinnon","1.0","486.0",,"C","Colorado Avalanche",,
"0d3a615d-2364-4851-a991-21c73c00e73f","Auston","Matthews","2.0","469.0",,"C","Toronto Maple Leafs",,
"e764e1a7-a668-4ac9-b6d5-f54b526df216","David","Pastrnak","3.0","446.0",,"W","Boston Bruins",,
"2b3153c0-0612-4346-8fd5-b396a10ce379","William","Nylander","4.0","399.0",,"W","Toronto Maple Leafs",,
"71778ba5-889e-4369-8ae8-bfd31728f808","J.T.","Miller","5.0","375.0",,"C","Vancouver Canucks",,
"23300552-ebf5-404b-955c-f28264bdc34f","Artemi","Panarin","6.0","370.0",,"W","New York Rangers",,
"2c750d81-72c9-48ce-93a8-54f55b641ce8","Mikko","Rantanen","7.0","367.0",,"W","Colorado Avalanche",,
"365ae7f2-1c92-4c28-a144-7d9e7b9b229a","Cale","Makar","8.0","366.0",,"D","Colorado Avalanche",,
"2505583e-c43b-4e6d-a8ec-0a980e102504","Elias","Pettersson","9.0","359.0",,"C","Vancouver Canucks",,
"7e5bd717-070e-4b3f-9dbb-7b6cc16ea458","Matthew","Tkachuk","10.0","353.0",,"W","Florida Panthers",,
"afc436b6-23de-477b-b457-dd753b7e8bdd","Sam","Reinhart","11.0","349.0",,"W","Florida Panthers",,
"c81e62ac-08e1-4b6f-bf49-3669bed68208","Thatcher","Demko","12.0","455.0",,"G","Vancouver Canucks",,
"043bf279-bde0-4e58-bb27-f969973a7eb4","Nikita","Kucherov","13.0","349.0",,"W","Tampa Bay Lightning",,
"734025d3-6374-4a6b-876a-9a7234cc0061","Igor","Shesterkin","14.0","414.0",,"G","New York Rangers",,
"409c77d7-25ee-4532-bfd2-a2f158e45b17","Mitchell","Marner","15.0","342.0",,"W","Toronto Maple Leafs",,
"938c1394-166c-4f48-8cf2-bb66c73fcf85","Jeremy","Swayman","16.0","439.0",,"G","Boston Bruins",,
"d8bd0626-1776-430b-a8d6-03404e8e9129","Sergei","Bobrovsky","17.0","423.0",,"G","Florida Panthers",,
"bc95f01d-e089-4137-8e4b-396de2f7c101","Valeri","Nichushkin","18.0","341.0",,"W","Colorado Avalanche",,
"68a3307b-6f75-4f6c-909a-225f7b6af9ed","Kyle","Connor","19.0","328.0",,"W","Winnipeg Jets",,
"9118c09e-83b7-480a-8a45-a74feb369f19","Connor","McDavid","20.0","322.0",,"C","Edmonton Oilers",,
"a8ee3c1a-c093-4905-87ff-338fd3e9273d","Carter","Verhaeghe","21.0","321.0",,"W","Florida Panthers",,
"777ccda1-cd8f-48e0-9e61-5f46d6f17b2a","Connor","Hellebuyck","22.0","474.0",,"G","Winnipeg Jets",,
"22842155-8326-4640-ace8-923e47e97b6a","Vincent","Trocheck","23.0","319.0",,"C","New York Rangers",,
"af517ad8-219a-4581-bbca-a6c829f22220","Jake","Oettinger","24.0","370.0",,"G","Dallas Stars",,
"eaad5b3d-faec-468d-80e7-51c20bb77dfa","Aleksander","Barkov","25.0","315.0",,"C","Florida Panthers",,
"dda8018b-e750-456c-b4cf-5e6f359ef5a8","Morgan","Rielly","26.0","311.0",,"D","Toronto Maple Leafs",,
"1294a869-13e6-46cb-baf1-d73dd817ce44","Chris","Kreider","27.0","307.0",,"W","New York Rangers",,
"c197806c-dc41-4d14-a391-498cd2f478a0","Sebastian","Aho","28.0","305.0",,"C","Carolina Hurricanes",,
"7e6a65db-64ec-457a-944b-5baeba21b461","John","Tavares","29.0","303.0",,"C","Toronto Maple Leafs",,
"d0b2ad2d-51f0-41c2-8db1-7edcdb0571b2","Charlie","McAvoy","30.0","298.0",,"D","Boston Bruins",,
"7e8d4c21-f90e-4459-9d13-6d739fdd21a9","Linus","Ullmark","31.0","404.0",,"G","Boston Bruins",,
"d70ab492-d487-4f25-a29f-6bc737230ddf","Brock","Boeser","32.0","298.0",,"W","Vancouver Canucks",,
"5fac1034-6fbe-4cd7-836a-ab07789f1d83","Andrei","Svechnikov","33.0","297.0",,"W","Carolina Hurricanes",,
"f974dcba-cfb4-46b0-9dbf-0f98c36a3ff6","Quinn","Hughes","34.0","295.0",,"D","Vancouver Canucks",,
"f40ab7e7-5a0f-48dd-9c2e-2fb649119cae","Jason","Robertson","35.0","288.0",,"W","Dallas Stars",,
