Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2024-02-28 01:41:25 UTC,69,3844b48b-49f2-49a0-9d02-b7655e591f05,Antti,Raanta,,G,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:40:00 UTC,64,86ee20b0-a266-4a1d-8311-325ae7ae0f6f,Michael,Bunting,PIT,LW,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:38:08 UTC,57,66b593d1-937a-4fb6-8d4e-babb9255bdc6,Brent,Burns,CAR,D,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:36:30 UTC,52,e41f7f92-1c64-4321-91bd-f80e4bce2d5a,Seth,Jarvis,CAR,C,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:34:51 UTC,45,6260cbb5-b87c-49b7-bdb3-36a8523724bb,Alexandar,Georgiev,COL,G,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:33:45 UTC,40,61d802f9-f701-4dc5-8519-2045dfae64b6,Josh,Morrissey,WPG,D,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:32:14 UTC,33,84fb2680-85f5-4f42-8487-1cb748191067,Mark,Scheifele,WPG,C,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:30:45 UTC,28,a8ee3c1a-c093-4905-87ff-338fd3e9273d,Carter,Verhaeghe,FLA,LW,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:29:16 UTC,21,68a3307b-6f75-4f6c-909a-225f7b6af9ed,Kyle,Connor,WPG,LW,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:27:45 UTC,16,409c77d7-25ee-4532-bfd2-a2f158e45b17,Mitchell,Marner,TOR,RW,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:26:32 UTC,9,31dd0613-0240-47a3-97f1-359bfe755fd9,Leon,Draisaitl,EDM,C,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-02-28 01:24:47 UTC,4,0d3a615d-2364-4851-a991-21c73c00e73f,Auston,Matthews,TOR,C,ac839c28-bd50-4de7-8f5d-e9e0eac3d6c4,5c28a3a6-f179-4480-93bd-d7eaf6834c20,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-03-04 14:44:43 UTC,72,ec3daf07-b843-49c5-9852-779d2f60bb3d,Anze,Kopitar,LA,C,2dfdb06a-edae-484b-990c-325d0e0a9b55,db22c116-e820-413d-b4a7-10eb36d93a29,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-03-04 14:41:58 UTC,61,2a694bc0-1bab-4436-84d4-e1c7c2d635a2,Pyotr,Kochetkov,CAR,G,2dfdb06a-edae-484b-990c-325d0e0a9b55,db22c116-e820-413d-b4a7-10eb36d93a29,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-03-04 14:41:29 UTC,60,bac3edf9-8d96-495c-9c81-e5a8d94e913f,Nikolaj,Ehlers,WPG,LW,2dfdb06a-edae-484b-990c-325d0e0a9b55,db22c116-e820-413d-b4a7-10eb36d93a29,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-03-04 14:38:29 UTC,49,84fb2680-85f5-4f42-8487-1cb748191067,Mark,Scheifele,WPG,C,2dfdb06a-edae-484b-990c-325d0e0a9b55,db22c116-e820-413d-b4a7-10eb36d93a29,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
2024-03-04 14:38:26 UTC,48,61d802f9-f701-4dc5-8519-2045dfae64b6,Josh,Morrissey,WPG,D,2dfdb06a-edae-484b-990c-325d0e0a9b55,db22c116-e820-413d-b4a7-10eb36d93a29,,6,,The Zamboni,d6bfdf8c-5a1f-44ab-b8fe-b6bb8a696378,10.0,100000.0,11160,,,,,,,,,,
