TeamAbbrev,Team,City,Mascot
ANA,Anaheim Ducks,Anaheim,Ducks
ARI,Arizona Coyotes,Arizona,Coyotes
BOS,Boston Bruins,Boston,Bruins
BUF,Buffalo Sabres,Buffalo,Sabres
CAR,Carolina Hurricanes,Carolina,Hurricanes
CBJ,Columbus Blue Jackets,Columbus,Blue Jackets
CGY,Calgary Flames,Calgary,Flames
CHI,Chicago Blackhawks,Chicago,Blackhawks
COL,Colorado Avalanche,Colorado,Avalanche
DAL,Dallas Stars,Dallas,Stars
DET,Detroit Red Wings,Detroit,Red Wings
EDM,Edmonton Oilers,Edmonton,Oilers
FLA,Florida Panthers,Florida,Panthers
LAK,Los Angeles Kings,Los Angeles,Kings
MIN,Minnesota Wild,Minnesota,Wild
MTL,Montreal Canadiens,Montreal,Canadiens
NJD,New Jersey Devils,New Jersey,Devils
NSH,Nashville Predators,Nashville,Predators
NYI,New York Islanders,New York,Islanders
NYR,New York Rangers,New York,Rangers
OTT,Ottawa Senators,Ottawa,Senators
PHI,Philadelphia Flyers,Philadelphia,Flyers
PIT,Pittsburgh Penguins,Pittsburgh,Penguins
SEA,Seattle Kraken,Seattle,Kraken
SJS,San Jose Sharks,San Jose,Sharks
STL,St Louis Blues,St Louis,Blues
TBL,Tampa Bay Lightning,Tampa Bay,Lightning
TOR,Toronto Maple Leafs,Toronto,Maple Leafs
VAN,Vancouver Canucks,Vancouver,Canucks
VGK,Vegas Golden Knights,Vegas,Golden Knights
WPG,Winnipeg Jets,Winnipeg,Jets
WSH,Washington Capitals,Washington,Capitals
