"","G","G","G","G","G","G"
"1",23114141,23114157,23114159,23114167,23114185,23114221
"2",23114141,23114157,23114159,23114166,23114187,23114221
"3",23114141,23114157,23114159,23114166,23114185,23114221
"4",23114141,23114157,23114159,23114167,23114193,23114221
"5",23114141,23114157,23114159,23114162,23114210,23114221
"6",23114141,23114159,23114162,23114166,23114167,23114221
"7",23114141,23114157,23114159,23114167,23114182,23114221
"8",23114141,23114152,23114159,23114167,23114210,23114221
"9",23114141,23114157,23114159,23114166,23114193,23114221
"10",23114141,23114152,23114159,23114185,23114187,23114221
"11",23114141,23114157,23114159,23114166,23114182,23114221
"12",23114141,23114157,23114159,23114167,23114187,23114210
"13",23114141,23114157,23114159,23114167,23114185,23114210
"14",23114141,23114157,23114159,23114166,23114187,23114210
"15",23114141,23114159,23114162,23114167,23114185,23114187
"16",23114141,23114157,23114159,23114167,23114187,23114203
"17",23114141,23114157,23114159,23114167,23114193,23114210
"18",23114141,23114157,23114159,23114185,23114187,23114193
"19",23114141,23114157,23114162,23114167,23114187,23114193
"20",23114141,23114157,23114162,23114167,23114185,23114193
"21",23114141,23114157,23114162,23114166,23114187,23114193
"22",23114141,23114152,23114157,23114187,23114193,23114210
"23",23114141,23114152,23114166,23114167,23114187,23114193
"24",23114141,23114157,23114166,23114167,23114185,23114187
"25",23114141,23114157,23114166,23114167,23114176,23114185
"26",23114141,23114157,23114162,23114167,23114182,23114193
"27",23114141,23114157,23114164,23114166,23114167,23114210
"28",23114141,23114157,23114162,23114167,23114185,23114210
"29",23114141,23114157,23114162,23114167,23114176,23114210
"30",23114141,23114157,23114162,23114166,23114185,23114210
"31",23114141,23114162,23114164,23114166,23114167,23114185
"32",23114152,23114157,23114162,23114164,23114166,23114167
"33",23114149,23114152,23114162,23114164,23114167,23114185
"34",23114149,23114152,23114162,23114166,23114167,23114176
"35",23114149,23114152,23114162,23114164,23114166,23114185
"36",23114149,23114152,23114162,23114164,23114176,23114185
"37",23114149,23114152,23114154,23114164,23114185,23114203
"38",23114149,23114152,23114154,23114164,23114182,23114203
"39",23114149,23114152,23114154,23114164,23114179,23114203
"40",23114149,23114152,23114154,23114164,23114184,23114203
"41",23114149,23114152,23114154,23114176,23114182,23114184
"42",23114149,23114152,23114154,23114164,23114182,23114201
"43",23114149,23114152,23114154,23114176,23114179,23114184
"44",23114149,23114152,23114154,23114175,23114176,23114184
"45",23114147,23114149,23114154,23114176,23114182,23114203
"46",23114149,23114153,23114154,23114176,23114179,23114182
"47",23114149,23114153,23114154,23114176,23114182,23114184
"48",23114149,23114150,23114154,23114176,23114182,23114184
"49",23114147,23114149,23114154,23114176,23114179,23114203
"50",23114147,23114149,23114154,23114176,23114184,23114203
"51",23114149,23114153,23114154,23114170,23114176,23114182
"52",23114147,23114153,23114154,23114176,23114179,23114182
"53",23114143,23114147,23114170,23114175,23114179,23114182
"54",23114147,23114150,23114153,23114175,23114179,23114203
"55",23114143,23114147,23114163,23114175,23114179,23114203
"56",23114143,23114147,23114153,23114195,23114203,23114213
"57",23114143,23114147,23114170,23114175,23114179,23114195
"58",23114143,23114147,23114168,23114175,23114179,23114195
"59",23114143,23114147,23114170,23114175,23114179,23114180
"60",23114143,23114147,23114170,23114175,23114179,23114201
"61",23114147,23114150,23114153,23114179,23114195,23114201
"62",23114147,23114150,23114153,23114175,23114195,23114201
"63",23114143,23114147,23114168,23114170,23114179,23114195
"64",23114143,23114147,23114168,23114170,23114175,23114195
"65",23114143,23114153,23114163,23114175,23114179,23114195
"66",23114147,23114150,23114153,23114170,23114195,23114201
"67",23114143,23114153,23114156,23114175,23114195,23114201
"68",23114143,23114147,23114168,23114170,23114175,23114201
"69",23114143,23114153,23114163,23114170,23114175,23114201
"70",23114143,23114153,23114163,23114170,23114175,23114186
"71",23114147,23114150,23114153,23114175,23114180,23114213
"72",23114147,23114150,23114153,23114170,23114180,23114213
"73",23114147,23114150,23114153,23114170,23114177,23114213
"74",23114143,23114147,23114163,23114170,23114180,23114213
"75",23114147,23114150,23114153,23114170,23114186,23114213
"76",23114143,23114153,23114156,23114170,23114186,23114213
"77",23114143,23114153,23114163,23114170,23114177,23114180
"78",23114143,23114150,23114153,23114180,23114205,23114213
"79",23114143,23114150,23114156,23114180,23114186,23114213
"80",23114143,23114150,23114163,23114168,23114180,23114213
"81",23114150,23114156,23114158,23114163,23114168,23114180
"82",23114150,23114156,23114158,23114163,23114168,23114177
"83",23114150,23114156,23114158,23114163,23114168,23114186
"84",23114148,23114150,23114156,23114163,23114186,23114213
"85",23114150,23114155,23114156,23114163,23114177,23114180
"86",23114150,23114155,23114156,23114163,23114168,23114213
"87",23114148,23114150,23114156,23114168,23114180,23114213
"88",23114148,23114150,23114156,23114168,23114180,23114205
"89",23114148,23114150,23114158,23114168,23114180,23114186
"90",23114144,23114156,23114158,23114168,23114180,23114186
"91",23114148,23114155,23114156,23114168,23114177,23114180
"92",23114148,23114155,23114156,23114168,23114180,23114186
"93",23114148,23114155,23114156,23114168,23114171,23114177
"94",23114144,23114155,23114156,23114168,23114177,23114205
"95",23114148,23114156,23114158,23114168,23114171,23114177
"96",23114144,23114156,23114158,23114168,23114177,23114205
"97",23114144,23114156,23114158,23114168,23114177,23114181
"98",23114148,23114155,23114156,23114158,23114192,23114205
"99",23114144,23114148,23114156,23114177,23114192,23114205
"100",23114148,23114155,23114156,23114158,23114205,23114208
