player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Howell III, Charles",150,+2655,+3500,0.307,+3300,0.234,+3300,0.234,+2200,-0.165,+3485,0.301,,0.00,+3300,0.234,+2800,0.053,+2800,0.053,+3300,0.234,+3000,0.125,,0.00,+2500,-0.056,+3000,0.125,+2500,-0.056
"Hadwin, Adam",150,+2803,+1600,-0.414,+1600,-0.414,+1800,-0.345,+1000,-0.621,+1832,-0.334,,0.00,+1800,-0.345,+1600,-0.414,+1400,-0.483,+1600,-0.414,+1600,-0.414,,0.00,+1100,-0.587,+1400,-0.483,+1600,-0.414
"Simpson, Webb",150,+2910,+1100,-0.601,+1000,-0.635,+1000,-0.635,+1200,-0.568,+1220,-0.561,,0.00,+1000,-0.635,+1200,-0.568,+1000,-0.635,+1100,-0.601,+1000,-0.635,,0.00,+1200,-0.568,+1100,-0.601,+1100,-0.601
"Day, Jason",150,+3757,+3300,-0.119,+2800,-0.248,+2200,-0.404,+3500,-0.067,+3416,-0.088,,0.00,+2200,-0.404,+3300,-0.119,+2200,-0.404,+3300,-0.119,+2800,-0.248,,0.00,+3000,-0.196,+2500,-0.326,+3300,-0.119
"McNealy, Maverick",150,+3884,+3300,-0.147,+2800,-0.272,+2900,-0.247,+2500,-0.347,+3553,-0.083,,0.00,+2800,-0.272,+3300,-0.147,+2500,-0.347,+3300,-0.147,+3000,-0.222,,0.00,+2500,-0.347,+3000,-0.222,+3500,-0.096
"Long, Adam",150,+4084,+3500,-0.140,+3300,-0.187,+3300,-0.187,+3500,-0.140,+4063,-0.005,,0.00,+3300,-0.187,+3300,-0.187,+2800,-0.307,+4000,-0.020,+3300,-0.187,,0.00,+3500,-0.140,+3500,-0.140,+4000,-0.020
"Stricker, Steve",150,+4151,+7000,0.670,+6600,0.576,+6000,0.435,+7000,0.670,+7893,0.880,,0.00,+5000,0.200,+6600,0.576,+5000,0.200,+6600,0.576,+6600,0.576,,0.00,+7000,0.670,+6600,0.576,+5000,0.200
"McCarthy, Denny",150,+4262,+2500,-0.404,+2500,-0.404,+2900,-0.312,+2200,-0.473,+3048,-0.278,,0.00,+2800,-0.335,+2500,-0.404,+2800,-0.335,+2500,-0.404,+2500,-0.404,,0.00,+2000,-0.519,+2200,-0.473,+2800,-0.335
"Hardy, Nick",150,+4951,+3300,-0.327,+3300,-0.327,+3300,-0.327,+4000,-0.188,+3975,-0.193,,0.00,+3300,-0.327,+3300,-0.327,+3300,-0.327,+2800,-0.426,+2800,-0.426,,0.00,+3500,-0.287,+3300,-0.327,+3300,-0.327
"Davis, Cameron",150,+4951,+4000,-0.188,+4000,-0.188,+3700,-0.248,+4500,-0.089,+4572,-0.075,,0.00,+3300,-0.327,+4000,-0.188,+2500,-0.485,+3300,-0.327,+3300,-0.327,,0.00,+4000,-0.188,+3300,-0.327,+4500,-0.089
"Theegala, Sahith",150,+5061,+2200,-0.554,+2200,-0.554,+2700,-0.458,+2500,-0.496,+2845,-0.429,,0.00,+2500,-0.496,+2500,-0.496,+1600,-0.671,+2200,-0.554,+2200,-0.554,,0.00,+2500,-0.496,+2000,-0.593,+2200,-0.554
"Ghim, Doug",150,+5198,+6000,0.151,+5000,-0.037,+5500,0.057,+6000,0.151,+6385,0.224,,0.00,+5000,-0.037,+5000,-0.037,+5000,-0.037,+5000,-0.037,+5000,-0.037,,0.00,+5000,-0.037,+4500,-0.132,+5000,-0.037
"Rodgers, Patrick",150,+5440,+3000,-0.440,+3000,-0.440,+2900,-0.459,+3500,-0.350,+4030,-0.255,,0.00,+2800,-0.477,+3300,-0.386,+2800,-0.477,+2500,-0.531,+2800,-0.477,,0.00,+3500,-0.350,+3000,-0.440,+3500,-0.350
"Poston, J.T.",150,+5664,+5000,-0.115,+4000,-0.289,+4200,-0.254,+5500,-0.028,+5586,-0.013,,0.00,+4000,-0.289,+5000,-0.115,+4500,-0.202,+5000,-0.115,+4000,-0.289,,0.00,+5000,-0.115,+4500,-0.202,+3300,-0.410
"Stallings, Scott",150,+5722,+3000,-0.468,+3300,-0.416,+3300,-0.416,+3500,-0.382,+3851,-0.321,,0.00,+3300,-0.416,+3000,-0.468,+3000,-0.468,+2800,-0.502,+3300,-0.416,,0.00,+3500,-0.382,+3300,-0.416,+3500,-0.382
"Pendrith, Taylor",150,+5791,+7000,0.205,+8000,0.375,+5500,-0.049,+8000,0.375,+8126,0.396,,0.00,+5000,-0.134,+6600,0.137,+7000,0.205,+6600,0.137,+6600,0.137,,0.00,+7000,0.205,+8000,0.375,+6000,0.035
