Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Scottie Scheffler(23248828),Scottie Scheffler,23248828,G,11200,Genesis Scottish Open,Golf,80
G,Jon Rahm(23248829),Jon Rahm,23248829,G,11000,Genesis Scottish Open,Golf,80
G,Justin Thomas(23248830),Justin Thomas,23248830,G,10600,Genesis Scottish Open,Golf,80
G,Matt Fitzpatrick(23248831),Matt Fitzpatrick,23248831,G,10100,Genesis Scottish Open,Golf,80
G,Xander Schauffele(23248832),Xander Schauffele,23248832,G,9900,Genesis Scottish Open,Golf,80
G,Patrick Cantlay(23248833),Patrick Cantlay,23248833,G,9600,Genesis Scottish Open,Golf,80
G,Collin Morikawa(23248834),Collin Morikawa,23248834,G,9400,Genesis Scottish Open,Golf,80
G,Will Zalatoris(23248835),Will Zalatoris,23248835,G,9300,Genesis Scottish Open,Golf,80
G,Sam Burns(23248836),Sam Burns,23248836,G,9200,Genesis Scottish Open,Golf,80
G,Cameron Smith(23248837),Cameron Smith,23248837,G,9100,Genesis Scottish Open,Golf,80
G,Hideki Matsuyama(23248838),Hideki Matsuyama,23248838,G,9000,Genesis Scottish Open,Golf,80
G,Jordan Spieth(23248839),Jordan Spieth,23248839,G,8900,Genesis Scottish Open,Golf,80
G,Viktor Hovland(23248840),Viktor Hovland,23248840,G,8800,Genesis Scottish Open,Golf,80
G,Sungjae Im(23248841),Sungjae Im,23248841,G,8700,Genesis Scottish Open,Golf,80
G,Joaquin Niemann(23248842),Joaquin Niemann,23248842,G,8600,Genesis Scottish Open,Golf,80
G,Ryan Fox(23248843),Ryan Fox,23248843,G,8500,Genesis Scottish Open,Golf,80
G,Tommy Fleetwood(23248844),Tommy Fleetwood,23248844,G,8400,Genesis Scottish Open,Golf,80
G,Corey Conners(23248845),Corey Conners,23248845,G,8300,Genesis Scottish Open,Golf,80
G,Billy Horschel(23248846),Billy Horschel,23248846,G,8200,Genesis Scottish Open,Golf,80
G,Cameron Young(23248847),Cameron Young,23248847,G,8100,Genesis Scottish Open,Golf,80
G,Max Homa(23248848),Max Homa,23248848,G,8000,Genesis Scottish Open,Golf,80
G,Justin Rose(23248850),Justin Rose,23248850,G,7900,Genesis Scottish Open,Golf,80
G,Keegan Bradley(23248849),Keegan Bradley,23248849,G,7900,Genesis Scottish Open,Golf,80
G,Keith Mitchell(23248852),Keith Mitchell,23248852,G,7800,Genesis Scottish Open,Golf,80
G,Tyrrell Hatton(23248851),Tyrrell Hatton,23248851,G,7800,Genesis Scottish Open,Golf,80
G,Brian Harman(23248855),Brian Harman,23248855,G,7700,Genesis Scottish Open,Golf,80
G,Mito Pereira(23248853),Mito Pereira,23248853,G,7700,Genesis Scottish Open,Golf,80
G,Adrian Meronk(23248854),Adrian Meronk,23248854,G,7700,Genesis Scottish Open,Golf,80
G,Marc Leishman(23248857),Marc Leishman,23248857,G,7600,Genesis Scottish Open,Golf,80
G,Lucas Herbert(23248856),Lucas Herbert,23248856,G,7600,Genesis Scottish Open,Golf,80
G,Robert Macintyre(23248858),Robert Macintyre,23248858,G,7600,Genesis Scottish Open,Golf,80
G,Harold Varner III(23248861),Harold Varner III,23248861,G,7500,Genesis Scottish Open,Golf,80
G,Sebastian Munoz(23248859),Sebastian Munoz,23248859,G,7500,Genesis Scottish Open,Golf,80
G,Christiaan Bezuidenhout(23248862),Christiaan Bezuidenhout,23248862,G,7500,Genesis Scottish Open,Golf,80
G,Alex Noren(23248860),Alex Noren,23248860,G,7500,Genesis Scottish Open,Golf,80
G,Matt Kuchar(23248865),Matt Kuchar,23248865,G,7400,Genesis Scottish Open,Golf,80
G,Aaron Rai(23248863),Aaron Rai,23248863,G,7400,Genesis Scottish Open,Golf,80
G,Chris Kirk(23248864),Chris Kirk,23248864,G,7400,Genesis Scottish Open,Golf,80
G,Maverick McNealy(23248866),Maverick McNealy,23248866,G,7400,Genesis Scottish Open,Golf,80
G,Gary Woodland(23248867),Gary Woodland,23248867,G,7300,Genesis Scottish Open,Golf,80
G,Min Woo Lee(23248871),Min Woo Lee,23248871,G,7300,Genesis Scottish Open,Golf,80
G,Kyoung-Hoon Lee(23248870),Kyoung-Hoon Lee,23248870,G,7300,Genesis Scottish Open,Golf,80
G,Jordan L. Smith(23248869),Jordan L. Smith,23248869,G,7300,Genesis Scottish Open,Golf,80
G,Jason Kokrak(23248868),Jason Kokrak,23248868,G,7300,Genesis Scottish Open,Golf,80
G,Cameron Tringale(23248876),Cameron Tringale,23248876,G,7200,Genesis Scottish Open,Golf,80
G,Jhonattan Vegas(23248873),Jhonattan Vegas,23248873,G,7200,Genesis Scottish Open,Golf,80
G,Hao-Tong Li(23248872),Hao-Tong Li,23248872,G,7200,Genesis Scottish Open,Golf,80
G,Mackenzie Hughes(23248874),Mackenzie Hughes,23248874,G,7200,Genesis Scottish Open,Golf,80
G,Luke List(23248875),Luke List,23248875,G,7200,Genesis Scottish Open,Golf,80
G,Justin Harding(23258591),Justin Harding,23258591,G,7100,Genesis Scottish Open,Golf,80
G,Erik Van Rooyen(23248878),Erik Van Rooyen,23248878,G,7100,Genesis Scottish Open,Golf,80
G,Thomas Detry(23248880),Thomas Detry,23248880,G,7100,Genesis Scottish Open,Golf,80
G,Joel Dahmen(23248879),Joel Dahmen,23248879,G,7100,Genesis Scottish Open,Golf,80
G,Harris English(23248881),Harris English,23248881,G,7100,Genesis Scottish Open,Golf,80
G,Si Woo Kim(23248882),Si Woo Kim,23248882,G,7100,Genesis Scottish Open,Golf,80
G,Tom Hoge(23248877),Tom Hoge,23248877,G,7100,Genesis Scottish Open,Golf,80
G,Richie Ramsay(23248885),Richie Ramsay,23248885,G,7000,Genesis Scottish Open,Golf,80
G,Johannes Veerman(23248888),Johannes Veerman,23248888,G,7000,Genesis Scottish Open,Golf,80
G,Francesco Molinari(23248884),Francesco Molinari,23248884,G,7000,Genesis Scottish Open,Golf,80
G,Edoardo Molinari(23248883),Edoardo Molinari,23248883,G,7000,Genesis Scottish Open,Golf,80
G,Patrick Rodgers(23248886),Patrick Rodgers,23248886,G,7000,Genesis Scottish Open,Golf,80
G,Henrik Stenson(23248887),Henrik Stenson,23248887,G,7000,Genesis Scottish Open,Golf,80
G,Victor Perez(23248892),Victor Perez,23248892,G,6900,Genesis Scottish Open,Golf,80
G,Rasmus Hojgaard(23248893),Rasmus Hojgaard,23248893,G,6900,Genesis Scottish Open,Golf,80
G,Ian Poulter(23258594),Ian Poulter,23258594,G,6900,Genesis Scottish Open,Golf,80
G,Dean Burmester(23248889),Dean Burmester,23248889,G,6900,Genesis Scottish Open,Golf,80
G,Rickie Fowler(23248890),Rickie Fowler,23248890,G,6900,Genesis Scottish Open,Golf,80
G,Russell Knox(23248891),Russell Knox,23248891,G,6900,Genesis Scottish Open,Golf,80
G,Troy Merritt(23248894),Troy Merritt,23248894,G,6900,Genesis Scottish Open,Golf,80
G,Matthew NeSmith(23248895),Matthew NeSmith,23248895,G,6900,Genesis Scottish Open,Golf,80
G,Nick Taylor(23248901),Nick Taylor,23248901,G,6800,Genesis Scottish Open,Golf,80
G,Thorbjorn Olesen(23248896),Thorbjorn Olesen,23248896,G,6800,Genesis Scottish Open,Golf,80
G,Sepp Straka(23248900),Sepp Straka,23248900,G,6800,Genesis Scottish Open,Golf,80
G,Fabrizio Zanotti(23248898),Fabrizio Zanotti,23248898,G,6800,Genesis Scottish Open,Golf,80
G,Ryan Palmer(23248897),Ryan Palmer,23248897,G,6800,Genesis Scottish Open,Golf,80
G,David Lipsky(23248899),David Lipsky,23248899,G,6800,Genesis Scottish Open,Golf,80
G,Stephan Jaeger(23248902),Stephan Jaeger,23248902,G,6800,Genesis Scottish Open,Golf,80
G,Anirban Lahiri(23248909),Anirban Lahiri,23248909,G,6700,Genesis Scottish Open,Golf,80
G,Branden Grace(23258590),Branden Grace,23258590,G,6700,Genesis Scottish Open,Golf,80
G,Adri Arnaus(23248903),Adri Arnaus,23248903,G,6700,Genesis Scottish Open,Golf,80
G,Alexander Bjork(23248904),Alexander Bjork,23248904,G,6700,Genesis Scottish Open,Golf,80
G,Padraig Harrington(23248906),Padraig Harrington,23248906,G,6700,Genesis Scottish Open,Golf,80
G,Dylan Frittelli(23248905),Dylan Frittelli,23248905,G,6700,Genesis Scottish Open,Golf,80
G,Kurt Kitayama(23248908),Kurt Kitayama,23248908,G,6700,Genesis Scottish Open,Golf,80
G,Matt Wallace(23248910),Matt Wallace,23248910,G,6700,Genesis Scottish Open,Golf,80
G,Wil Besseling(23248914),Wil Besseling,23248914,G,6600,Genesis Scottish Open,Golf,80
G,Bio Kim(23248916),Bio Kim,23248916,G,6600,Genesis Scottish Open,Golf,80
G,Thriston Lawrence(23248917),Thriston Lawrence,23248917,G,6600,Genesis Scottish Open,Golf,80
G,Alex Smalley(23248913),Alex Smalley,23248913,G,6600,Genesis Scottish Open,Golf,80
G,Antoine Rozner(23248912),Antoine Rozner,23248912,G,6600,Genesis Scottish Open,Golf,80
G,J.J. Spaun(23248918),J.J. Spaun,23248918,G,6600,Genesis Scottish Open,Golf,80
G,Marcus Armitage(23248911),Marcus Armitage,23248911,G,6600,Genesis Scottish Open,Golf,80
G,John Catlin(23248915),John Catlin,23248915,G,6600,Genesis Scottish Open,Golf,80
G,Brandon Stone(23248919),Brandon Stone,23248919,G,6500,Genesis Scottish Open,Golf,80
G,Mikko Korhonen(23248926),Mikko Korhonen,23248926,G,6500,Genesis Scottish Open,Golf,80
G,Jorge Campillo(23248921),Jorge Campillo,23248921,G,6500,Genesis Scottish Open,Golf,80
G,Lucas Glover(23248923),Lucas Glover,23248923,G,6500,Genesis Scottish Open,Golf,80
G,Danny Willett(23248920),Danny Willett,23248920,G,6500,Genesis Scottish Open,Golf,80
G,Doug Ghim(23248922),Doug Ghim,23248922,G,6500,Genesis Scottish Open,Golf,80
G,Garrick Higgo(23248924),Garrick Higgo,23248924,G,6500,Genesis Scottish Open,Golf,80
G,Wyndham Clark(23248927),Wyndham Clark,23248927,G,6500,Genesis Scottish Open,Golf,80
G,Nicolai Hojgaard(23248925),Nicolai Hojgaard,23248925,G,6500,Genesis Scottish Open,Golf,80
G,Stewart Cink(23248929),Stewart Cink,23248929,G,6400,Genesis Scottish Open,Golf,80
G,Luke Donald(23248931),Luke Donald,23248931,G,6400,Genesis Scottish Open,Golf,80
G,Jason Scrivener(23248936),Jason Scrivener,23248936,G,6400,Genesis Scottish Open,Golf,80
G,Joachim B. Hansen(23248935),Joachim B. Hansen,23248935,G,6400,Genesis Scottish Open,Golf,80
G,Maximilian Kieffer(23248933),Maximilian Kieffer,23248933,G,6400,Genesis Scottish Open,Golf,80
G,David Law(23258592),David Law,23258592,G,6400,Genesis Scottish Open,Golf,80
G,Rafa Cabrera Bello(23248928),Rafa Cabrera Bello,23248928,G,6400,Genesis Scottish Open,Golf,80
G,Grant Forrest(23248932),Grant Forrest,23248932,G,6400,Genesis Scottish Open,Golf,80
G,Sean Crocker(23248930),Sean Crocker,23248930,G,6400,Genesis Scottish Open,Golf,80
G,Joohyung Kim(23248934),Joohyung Kim,23248934,G,6400,Genesis Scottish Open,Golf,80
G,Charley Hoffman(23248937),Charley Hoffman,23248937,G,6300,Genesis Scottish Open,Golf,80
G,Adrian Otaegui(23258593),Adrian Otaegui,23258593,G,6300,Genesis Scottish Open,Golf,80
G,Masahiro Kawamura(23248938),Masahiro Kawamura,23248938,G,6300,Genesis Scottish Open,Golf,80
G,Sebastian Soderberg(23248944),Sebastian Soderberg,23248944,G,6300,Genesis Scottish Open,Golf,80
G,Jack Senior(23248943),Jack Senior,23248943,G,6300,Genesis Scottish Open,Golf,80
G,Callum Tarren(23248945),Callum Tarren,23248945,G,6300,Genesis Scottish Open,Golf,80
G,James Morrison(23248940),James Morrison,23248940,G,6300,Genesis Scottish Open,Golf,80
G,Kristoffer Broberg(23248946),Kristoffer Broberg,23248946,G,6300,Genesis Scottish Open,Golf,80
G,Guido Migliozzi(23248939),Guido Migliozzi,23248939,G,6300,Genesis Scottish Open,Golf,80
G,Matthieu Pavon(23248941),Matthieu Pavon,23248941,G,6300,Genesis Scottish Open,Golf,80
G,Kalle Samooja(23248942),Kalle Samooja,23248942,G,6300,Genesis Scottish Open,Golf,80
G,Matthew Jordan(23248956),Matthew Jordan,23248956,G,6200,Genesis Scottish Open,Golf,80
G,Sami Valimaki(23248950),Sami Valimaki,23248950,G,6200,Genesis Scottish Open,Golf,80
G,Kiradech Aphibarnrat(23248948),Kiradech Aphibarnrat,23248948,G,6200,Genesis Scottish Open,Golf,80
G,Jamie Donaldson(23248953),Jamie Donaldson,23248953,G,6200,Genesis Scottish Open,Golf,80
G,Marc Warren(23258597),Marc Warren,23258597,G,6200,Genesis Scottish Open,Golf,80
G,Nacho Elvira(23248954),Nacho Elvira,23248954,G,6200,Genesis Scottish Open,Golf,80
G,Nino Bertasio(23258589),Nino Bertasio,23258589,G,6200,Genesis Scottish Open,Golf,80
G,Tapio Pulkkanen(23248947),Tapio Pulkkanen,23248947,G,6200,Genesis Scottish Open,Golf,80
G,Ewen Ferguson(23248955),Ewen Ferguson,23248955,G,6200,Genesis Scottish Open,Golf,80
G,Wu Ashun(23248952),Wu Ashun,23248952,G,6200,Genesis Scottish Open,Golf,80
G,Daniel Van Tonder(23248951),Daniel Van Tonder,23248951,G,6200,Genesis Scottish Open,Golf,80
G,Robert Streb(23248949),Robert Streb,23248949,G,6200,Genesis Scottish Open,Golf,80
G,Stephen Gallacher(23248966),Stephen Gallacher,23248966,G,6100,Genesis Scottish Open,Golf,80
G,Shubhankar Sharma(23248960),Shubhankar Sharma,23248960,G,6100,Genesis Scottish Open,Golf,80
