player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"McIlroy, Rory",150,+1386,+1000,-0.260,+1000,-0.260,+1000,-0.260,+900,-0.327,+1002,-0.259,+985,-0.270,+800,-0.395,,0.00,+900,-0.327,+1000,-0.260,+1150,-0.159,+1000,-0.260,+900,-0.327,+1000,-0.260
"Scheffler, Scottie",150,+1926,+1800,-0.062,+1800,-0.062,+1800,-0.062,+1400,-0.260,+1916,-0.005,+2053,0.063,+1400,-0.260,,0.00,+1600,-0.161,+1800,-0.062,+1650,-0.136,+1800,-0.062,+1400,-0.260,+1800,-0.062
"Lowry, Shane",150,+2194,+2200,0.003,+2500,0.134,+2000,-0.084,+2200,0.003,+2520,0.142,+2218,0.011,+1800,-0.172,,0.00,+2000,-0.084,+2500,0.134,+2500,0.134,+2200,0.003,+2000,-0.084,+2000,-0.084
"Rahm, Jon",150,+2216,+1800,-0.180,+1800,-0.180,+1600,-0.266,+1600,-0.266,+1807,-0.177,+1853,-0.157,+1200,-0.439,,0.00,+1400,-0.352,+1600,-0.266,+1650,-0.244,+1600,-0.266,+1400,-0.352,+1600,-0.266
"Thomas, Justin",150,+2682,+2200,-0.173,+2200,-0.173,+2100,-0.209,+1600,-0.389,+2216,-0.167,+2442,-0.086,+1800,-0.317,,0.00,+1800,-0.317,+2200,-0.173,+2100,-0.209,+2000,-0.245,+1800,-0.317,+2200,-0.173
"Fitzpatrick, Matthew",150,+2755,+2000,-0.264,+2000,-0.264,+1800,-0.335,+1800,-0.335,+2025,-0.256,+2242,-0.180,+1400,-0.475,,0.00,+1600,-0.405,+2000,-0.264,+2000,-0.264,+1800,-0.335,+1400,-0.475,+1600,-0.405
"Schauffele, Xander",150,+2917,+1600,-0.436,+1600,-0.436,+1300,-0.536,+1200,-0.569,+1617,-0.431,+1650,-0.420,+1100,-0.602,,0.00,+1400,-0.503,+1600,-0.436,+1650,-0.420,+1400,-0.503,+1200,-0.569,+1400,-0.503
"Cantlay, Patrick",150,+3015,+2800,-0.069,+2800,-0.069,+2600,-0.133,+2000,-0.326,+2832,-0.059,+2353,-0.213,+2200,-0.262,,0.00,+2500,-0.165,+2800,-0.069,+2800,-0.069,+2500,-0.165,+2200,-0.262,+2200,-0.262
"Johnson, Dustin",150,+3739,+4000,0.068,+3300,-0.114,+3400,-0.088,+3500,-0.062,+4045,0.080,+2553,-0.309,+2800,-0.245,,0.00,+3300,-0.114,+4000,0.068,+3800,0.016,+3300,-0.114,+2800,-0.245,+3300,-0.114
"Zalatoris, Will",150,+3841,+3000,-0.213,+2500,-0.340,+2700,-0.289,+3000,-0.213,+2760,-0.274,+3053,-0.200,+2200,-0.416,,0.00,+2200,-0.416,+2000,-0.467,+3100,-0.188,+2500,-0.340,+2200,-0.416,+2500,-0.340
"Smith, Cameron",150,+4080,+2800,-0.306,+2800,-0.306,+2200,-0.450,+2800,-0.306,+2522,-0.373,+3046,-0.247,+2000,-0.498,,0.00,+2500,-0.378,+2200,-0.450,+2400,-0.402,+2500,-0.378,+2200,-0.450,+2800,-0.306
"Fleetwood, Tommy",150,+4471,+3500,-0.213,+3300,-0.256,+3200,-0.278,+3500,-0.213,+4015,-0.100,+3656,-0.178,+2800,-0.366,,0.00,+3300,-0.256,+4000,-0.103,+4600,0.028,+3000,-0.322,+2800,-0.366,+2800,-0.366
"Spieth, Jordan",150,+4503,+1800,-0.587,+1800,-0.587,+1500,-0.652,+1600,-0.631,+1810,-0.585,+1947,-0.555,+1200,-0.718,,0.00,+1400,-0.674,+1600,-0.631,+1700,-0.609,+1500,-0.652,+1400,-0.674,+1600,-0.631
"Fox, Ryan",150,+5163,+8000,0.539,+6600,0.273,+5500,0.064,+8000,0.539,+8104,0.559,+8050,0.548,+5000,-0.031,,0.00,+5000,-0.031,+8000,0.539,+7700,0.482,+6000,0.159,+6600,0.273,+8000,0.539
"Hatton, Tyrrell",150,+5410,+4000,-0.256,+3300,-0.383,+3400,-0.365,+4000,-0.256,+4039,-0.249,+4050,-0.247,+3300,-0.383,,0.00,+3300,-0.383,+4000,-0.256,+4000,-0.256,+3500,-0.347,+2800,-0.474,+4000,-0.256
"Matsuyama, Hideki",150,+5739,+5000,-0.127,+4000,-0.298,+4200,-0.264,+5000,-0.127,+5496,-0.042,+5250,-0.084,+4000,-0.298,,0.00,+3300,-0.418,+5000,-0.127,+5500,-0.041,+4000,-0.298,+3300,-0.418,+5500,-0.041
"Finau, Tony",150,+5791,+5500,-0.049,+4500,-0.219,+4000,-0.304,+3500,-0.389,+5962,0.029,+4750,-0.177,+4000,-0.304,,0.00,+4000,-0.304,+6600,0.137,+4700,-0.185,+4000,-0.304,+4500,-0.219,+5000,-0.134
"Im, Sungjae",150,+5817,+8000,0.369,+6600,0.132,+6500,0.115,+6500,0.115,+8588,0.468,+8050,0.377,+6600,0.132,,0.00,+5000,-0.138,+10000,0.707,+7200,0.234,+6600,0.132,+6000,0.031,+8000,0.369
"Morikawa, Collin",150,+6150,+2800,-0.536,+2500,-0.584,+2800,-0.536,+3000,-0.504,+2832,-0.531,+3053,-0.496,+2500,-0.584,,0.00,+2500,-0.584,+2800,-0.536,+2700,-0.552,+2800,-0.536,+2200,-0.632,+3000,-0.504
"Niemann, Joaquin",150,+6249,+5000,-0.197,+4500,-0.275,+3700,-0.401,+5000,-0.197,+5571,-0.107,+6448,0.031,+3300,-0.465,,0.00,+4000,-0.354,+5000,-0.197,+4800,-0.228,+4000,-0.354,+4000,-0.354,+5000,-0.197
"Oosthuizen, Louis",150,+6714,+5000,-0.252,+4000,-0.398,+4000,-0.398,+4000,-0.398,+5060,-0.243,+4850,-0.274,+3300,-0.501,,0.00,+4000,-0.398,+5000,-0.252,+4300,-0.354,+4000,-0.398,+3300,-0.501,+4500,-0.325
