player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"McIlroy, Rory",0.379,18,0.258,13,0.833,4,0.846,3,2.316,1,21.739,3,-0.014,241
"Scheffler, Scottie",0.172,85,0.262,12,0.988,1,0.803,4,2.225,2,12.226,36,0.027,109
"Fitzpatrick, Matthew",0.451,7,0.315,1,0.542,26,0.788,5,2.095,3,6.485,96,0.048,63
"Rahm, Jon",0.232,50,0.114,94,0.697,12,1.010,1,2.053,4,17.248,14,0.042,74
"Thomas, Justin",0.186,79,0.303,5,0.836,3,0.589,18,1.914,5,12.651,33,-0.034,311
"Cantlay, Patrick",0.496,3,0.313,2,0.570,20,0.479,30,1.858,6,7.881,73,0.005,180
"Finau, Tony",0.264,45,0.236,23,0.748,7,0.564,23,1.812,7,8.842,53,-0.002,199
"Schauffele, Xander",0.421,10,0.254,16,0.701,11,0.421,39,1.795,8,8.851,51,0.024,115
"Zalatoris, Will",0.127,111,0.112,96,0.887,2,0.649,12,1.775,9,12.911,28,-0.008,213
"Im, Sungjae",0.200,70,0.210,35,0.533,28,0.774,6,1.717,10,4.252,132,0.066,32
"Smith, Cameron",0.646,1,0.311,3,0.608,16,0.136,140,1.701,11,2.334,166,-0.019,262
"Johnson, Dustin",0.201,68,0.164,58,0.727,9,0.586,20,1.678,12,13.972,24,-0.030,300
"Young, Cameron",0.094,132,0.124,86,0.467,32,0.981,2,1.668,13,19.376,8,0.007,166
"Niemann, Joaquin",0.079,140,0.083,113,0.667,13,0.643,14,1.473,14,11.195,40,-0.020,265
"Morikawa, Collin",0.100,126,0.005,179,0.805,5,0.515,27,1.424,15,2.337,165,0.078,21
"Conners, Corey",0.074,147,0.026,165,0.566,22,0.735,7,1.402,16,2.878,161,0.084,17
"Wise, Aaron",0.074,145,0.156,62,0.575,19,0.594,17,1.399,17,6.651,94,0.014,148
"Lowry, Shane",0.075,144,0.252,17,0.720,10,0.320,57,1.367,18,5.918,102,0.022,124
"Hovland, Viktor",0.294,34,-0.180,358,0.650,14,0.568,22,1.332,19,8.822,54,0.030,101
"Burns, Sam",0.482,4,0.059,130,0.559,23,0.169,124,1.269,20,8.319,64,-0.028,295
"Spieth, Jordan",0.115,116,0.264,10,0.470,31,0.384,44,1.233,21,7.166,87,-0.024,284
"Gooch, Talor",0.222,56,0.254,15,0.589,18,0.160,130,1.225,22,2.119,171,0.021,126
"Homa, Max",0.196,75,0.103,98,0.410,39,0.503,28,1.212,23,7.204,86,0.013,149
"Fleetwood, Tommy",0.346,24,0.240,22,0.413,38,0.168,125,1.167,24,3.452,149,-0.001,193
"Henley, Russell",-0.045,226,0.181,47,0.769,6,0.240,92,1.146,25,-2.454,254,0.073,23
"Matsuyama, Hideki",0.010,190,0.219,30,0.645,15,0.243,91,1.116,26,3.253,153,0.015,144
"Pendrith, Taylor",0.005,192,0.032,158,0.343,51,0.730,9,1.110,27,17.843,13,-0.018,259
"Mitchell, Keith",0.267,43,0.037,154,0.155,100,0.622,16,1.082,28,12.092,38,0.019,135
"Horschel, Billy",0.287,37,0.184,44,0.265,65,0.343,51,1.080,29,-1.818,247,0.063,38
"Hatton, Tyrrell",0.382,17,0.243,20,0.325,56,0.110,146,1.060,30,5.329,113,-0.027,290
"Varner III, Harold",0.063,157,0.177,49,0.567,21,0.236,96,1.042,31,5.249,114,-0.020,268
"Bradley, Keegan",-0.026,214,0.115,93,0.526,29,0.409,41,1.024,32,7.299,85,0.032,97
"Davis, Cameron",0.172,86,0.077,117,0.444,36,0.309,65,1.001,33,12.657,32,-0.032,304
"Berger, Daniel",0.061,158,0.132,77,0.557,24,0.246,88,0.996,34,0.764,199,0.060,45
"Casey, Paul",-0.084,257,0.126,84,0.728,8,0.187,118,0.957,35,6.822,91,0.021,127
"Pereira, Mito",0.003,195,-0.014,197,0.605,17,0.357,50,0.951,36,5.363,111,0.033,94
"Kim, Si Woo",0.014,182,0.263,11,0.393,41,0.279,77,0.949,37,0.259,207,0.052,55
"Riley, Davis",0.109,120,0.024,167,0.339,52,0.475,32,0.947,38,8.381,62,0.023,120
"Oosthuizen, Louis",0.223,55,0.157,61,0.337,53,0.203,113,0.920,39,-2.860,265,0.049,59
"Harman, Brian",0.226,53,0.192,40,0.240,74,0.232,97,0.892,40,-5.330,316,0.067,31
"Power, Seamus",0.305,31,0.189,42,0.174,91,0.222,105,0.891,41,3.966,139,-0.006,209
"Pieters, Thomas",0.132,109,0.123,88,0.257,69,0.377,46,0.889,42,7.825,76,-0.030,298
"Munoz, Sebastian",0.092,133,0.066,125,0.401,40,0.315,61,0.874,43,1.446,186,0.049,57
"Kim, Joohyung",0.231,51,0.031,159,0.350,49,0.239,94,0.852,44,-4.220,292,0.110,4
"Ancer, Abraham",0.159,96,-0.167,350,0.208,82,0.643,15,0.843,45,-0.834,232,0.102,8
"Grace, Branden",0.018,176,0.156,63,0.282,62,0.386,43,0.842,46,-1.298,237,-0.011,224
"Clark, Wyndham",0.266,44,0.159,60,-0.049,192,0.463,35,0.839,47,16.838,15,-0.070,389
"Smith, Jordan",-0.276,377,0.051,140,0.324,57,0.727,10,0.825,48,8.691,57,0.034,93
"Kirk, Chris",0.035,167,0.232,25,0.207,83,0.339,53,0.813,49,-2.684,261,0.056,50
"Noren, Alex",0.382,16,0.189,41,0.217,81,0.018,180,0.807,50,-0.395,224,0.003,184
"Scott, Adam",0.219,57,0.047,142,0.316,58,0.223,104,0.806,51,7.923,72,-0.028,293
"Woodland, Gary",-0.088,263,0.066,126,0.349,50,0.478,31,0.805,52,8.783,56,0.002,186
"McNealy, Maverick",0.403,13,0.086,111,0.101,123,0.206,112,0.796,53,7.832,75,-0.005,204
"Theegala, Sahith",0.135,105,0.166,56,0.234,77,0.246,89,0.781,54,4.428,130,-0.038,323
"Fox, Ryan",0.072,149,0.205,36,0.447,34,0.042,171,0.766,55,15.025,20,-0.122,436
"Poston, J.T.",0.383,15,0.166,55,0.123,115,0.077,160,0.748,56,-1.328,238,0.001,190
"Steele, Brendan",-0.370,404,-0.096,286,0.535,27,0.644,13,0.714,57,7.344,83,0.035,84
"Lee, Kyounghoon",0.204,63,0.100,101,0.127,109,0.269,81,0.701,58,3.041,158,0.039,77
"Meronk, Adrian",0.413,11,-0.099,292,-0.151,226,0.520,25,0.683,59,7.953,71,-0.017,256
"Garcia, Sergio",-0.051,233,-0.030,219,0.237,75,0.524,24,0.681,60,7.333,84,0.005,179
"Kokrak, Jason",0.198,72,-0.020,207,0.089,127,0.412,40,0.679,61,9.967,45,-0.000,191
"Stallings, Scott",0.139,102,0.102,99,0.384,42,0.054,167,0.678,62,5.385,110,-0.011,222
"Tringale, Cameron",0.080,139,0.069,123,0.358,47,0.164,128,0.671,63,0.947,193,0.008,163
"List, Luke",-0.506,425,-0.052,238,0.489,30,0.733,8,0.665,64,14.798,21,-0.028,294
"Day, Jason",0.108,121,0.227,26,0.108,120,0.220,107,0.663,65,4.645,125,-0.003,200
"Watson, Bubba",-0.113,283,-0.012,193,0.257,68,0.518,26,0.652,66,6.354,98,0.007,170
"Koepka, Brooks",0.096,129,-0.005,187,0.260,67,0.293,72,0.643,67,13.442,27,-0.044,344
"Reed, Patrick",0.401,14,0.287,6,0.126,113,-0.195,257,0.620,68,-4.679,302,-0.002,198
"McCarthy, Denny",0.574,2,0.215,31,0.031,163,-0.208,265,0.613,69,-5.107,309,0.049,60
"Merritt, Troy",0.196,74,-0.017,200,0.126,112,0.295,71,0.600,70,-6.978,341,0.065,34
"Howell III, Charles",-0.058,239,0.201,38,0.126,111,0.329,54,0.598,71,3.456,148,0.002,189
"Grillo, Emiliano",0.014,183,-0.091,282,0.243,72,0.430,37,0.596,72,4.263,131,0.048,61
"Vegas, Jhonattan",-0.201,338,-0.084,275,0.428,37,0.433,36,0.577,73,15.749,16,-0.043,338
"Smalley, Alex",-0.071,246,-0.011,191,0.365,45,0.275,80,0.558,74,7.646,79,0.019,130
"Lahiri, Anirban",-0.094,274,0.040,151,0.138,105,0.466,34,0.550,75,0.413,203,0.017,138
"Moore, Taylor",0.012,188,0.044,146,0.170,93,0.306,66,0.532,76,3.522,146,0.019,134
"Burmester, Dean",-0.133,301,0.185,43,0.101,122,0.376,47,0.530,77,18.270,10,-0.063,381
"Hoge, Tom",-0.043,223,-0.017,202,0.444,35,0.138,138,0.523,78,-1.644,242,0.034,90
"Bezuidenhout, Christiaan",0.460,5,0.121,89,0.100,125,-0.170,254,0.511,79,-7.485,348,0.026,111
"Hadwin, Adam",0.187,78,0.212,34,0.132,106,-0.045,203,0.486,80,-1.725,245,0.034,87
"Rodgers, Patrick",0.160,95,0.000,181,0.082,133,0.229,100,0.471,81,9.922,46,-0.059,365
"Rai, Aaron",0.010,189,0.052,138,0.183,87,0.221,106,0.466,82,-2.509,257,0.087,14
"Herbert, Lucas",0.459,6,0.100,100,-0.082,205,-0.017,189,0.461,83,10.950,41,-0.069,387
"Hubbard, Mark",0.172,87,0.017,170,0.288,61,-0.034,197,0.442,84,-9.115,361,0.037,81
"NeSmith, Matthew",-0.089,266,-0.060,248,0.273,63,0.305,67,0.429,85,0.410,204,0.048,62
"Stenson, Henrik",-0.121,291,-0.066,256,0.448,33,0.150,134,0.412,86,-11.887,385,0.094,11
"Horsfield, Sam",0.033,170,-0.028,214,0.376,43,0.028,177,0.409,87,6.860,89,-0.024,280
"Long, Adam",0.139,101,-0.004,184,0.145,103,0.124,141,0.405,88,-6.968,340,0.062,40
"Leishman, Marc",0.169,89,0.071,122,0.117,117,0.046,170,0.403,89,4.014,137,-0.029,297
"Jaeger, Stephan",0.041,164,0.247,19,0.228,78,-0.116,235,0.399,90,-3.831,282,-0.010,219
"Lipsky, David",-0.064,242,0.042,148,0.329,55,0.092,155,0.399,91,-3.888,284,0.046,65
"DeChambeau, Bryson",0.186,80,-0.114,306,-0.060,198,0.381,45,0.393,92,25.219,2,-0.072,392
"Spaun, J.J.",0.012,187,-0.044,234,0.204,84,0.212,110,0.384,93,-4.123,289,0.063,39
"Tarren, Callum",0.035,168,-0.040,232,0.247,71,0.136,139,0.379,94,13.469,26,-0.082,408
"Shinkwin, Callum",0.058,159,-0.280,409,0.011,170,0.586,19,0.375,95,12.678,30,-0.058,364
"Jones, Matt",-0.243,359,0.223,27,0.159,98,0.227,103,0.366,96,4.129,136,-0.038,321
"Putnam, Andrew",0.275,40,0.240,21,-0.013,179,-0.141,246,0.362,97,-15.839,410,0.059,48
"Detry, Thomas",0.224,54,-0.017,204,-0.044,189,0.199,115,0.361,98,10.456,43,-0.039,329
"Arnaus, Adri",0.099,127,-0.032,221,0.124,114,0.158,131,0.349,99,14.081,23,-0.061,376
"Kitayama, Kurt",-0.046,228,0.055,133,0.153,101,0.184,120,0.345,100,12.721,29,-0.062,378
"Hardy, Nick",0.114,117,-0.078,266,-0.008,178,0.302,68,0.331,101,8.648,59,-0.027,292
"Lee, Min Woo",0.068,151,0.136,75,-0.164,233,0.290,74,0.330,102,15.300,18,-0.040,330
"Laird, Martin",-0.275,376,0.093,105,0.354,48,0.157,132,0.329,103,-1.719,244,0.086,16
"Palmer, Ryan",-0.038,219,0.041,150,0.061,148,0.263,83,0.327,104,4.659,124,-0.001,195
"Kuchar, Matt",0.259,46,0.306,4,0.072,141,-0.314,299,0.323,105,-12.179,389,0.045,70
"Frittelli, Dylan",0.135,104,0.132,79,0.077,138,-0.022,192,0.322,106,6.689,93,-0.080,405
"Simpson, Webb",0.122,113,0.166,54,0.100,124,-0.070,216,0.318,107,-0.784,230,0.037,82
"Rose, Justin",0.256,47,-0.014,198,0.071,142,-0.015,187,0.298,108,-0.517,229,0.012,152
"Streelman, Kevin",-0.149,316,0.047,141,0.183,88,0.214,108,0.295,109,-4.944,306,0.083,19
"Van Rooyen, Erik",-0.051,232,-0.054,241,0.217,80,0.175,123,0.287,110,3.208,154,0.025,114
"Langasque, Romain",-0.114,285,0.073,119,0.129,108,0.197,116,0.285,111,4.239,133,-0.023,276
"Mullinax, Trey",-0.061,240,-0.082,273,0.166,97,0.245,90,0.269,112,15.245,19,-0.070,390
"Ortiz, Carlos",0.030,172,-0.043,233,0.080,135,0.200,114,0.267,113,1.485,185,-0.023,277
"Lawrence, Thriston",0.199,71,-0.155,341,-0.100,211,0.320,56,0.264,114,3.972,138,-0.015,243
"Kisner, Kevin",0.339,25,0.220,28,0.078,136,-0.383,326,0.254,115,-9.724,369,0.039,76
"Champ, Cameron",-0.138,306,-0.268,407,0.074,140,0.585,21,0.253,116,19.628,7,-0.025,285
"Mansell, Richard",-0.163,323,-0.155,340,-0.096,209,0.659,11,0.246,117,14.092,22,-0.024,283
"Hodges, Lee",-0.047,230,-0.029,216,0.255,70,0.066,163,0.245,118,1.783,175,0.010,158
"Fowler, Rickie",0.028,173,0.181,46,-0.080,203,0.096,152,0.225,119,6.360,97,0.005,177
"Glover, Lucas",-0.291,383,-0.080,270,0.270,64,0.325,55,0.224,120,-2.648,259,0.071,25
"Hojgaard, Rasmus",0.005,194,0.046,143,0.065,146,0.105,148,0.221,121,12.174,37,-0.059,367
"Duncan, Tyler",-0.040,221,-0.051,236,-0.003,175,0.312,63,0.218,122,-3.482,271,0.070,28
"Na, Kevin",0.112,119,0.257,14,0.312,59,-0.466,345,0.214,123,-12.885,399,0.027,107
"Wolff, Matthew",0.350,23,0.079,116,-0.110,215,-0.114,234,0.205,124,21.342,4,-0.077,399
"Otaegui, Adrian",-0.055,237,0.152,68,0.054,152,0.041,172,0.192,125,-11.361,380,0.065,33
"Macintyre, Robert",0.290,35,0.010,173,-0.042,186,-0.067,214,0.192,126,2.385,164,-0.015,245
"Cink, Stewart",-0.165,326,-0.081,271,0.050,155,0.388,42,0.191,127,6.261,100,-0.013,234
"Ghim, Doug",-0.108,280,-0.034,224,0.069,144,0.261,85,0.188,128,-2.658,260,0.059,46
"Svensson, Adam",0.050,162,-0.088,281,0.197,86,0.027,178,0.185,129,-4.783,304,0.040,75
"Griffin, Lanto",0.046,163,-0.140,327,0.260,66,0.012,181,0.178,130,3.331,152,-0.004,203
"Long, Hurly",0.163,92,0.052,137,-0.256,263,0.213,109,0.173,131,3.572,145,-0.036,315
"Perez, Victor",-0.155,320,-0.193,368,0.199,85,0.309,64,0.160,132,5.084,117,-0.022,274
"Wu, Brandon",-0.042,222,-0.165,347,0.063,147,0.298,70,0.153,133,-0.840,233,0.018,136
"Zanotti, Fabrizio",-0.256,369,-0.022,209,0.171,92,0.254,87,0.147,134,-5.931,321,0.099,10
"Schenk, Adam",-0.003,198,-0.177,355,0.221,79,0.103,149,0.145,135,4.886,119,-0.013,235
"Sigg, Greyson",-0.003,199,-0.019,206,0.051,154,0.113,144,0.142,136,-3.788,279,0.019,132
"Straka, Sepp",0.256,48,-0.102,296,-0.146,223,0.120,142,0.127,137,5.398,109,0.007,172
"Buckley, Hayden",-0.187,335,-0.148,330,0.034,162,0.426,38,0.124,138,2.266,169,0.053,54
"Schwartzel, Charl",-0.026,213,0.169,53,0.127,110,-0.147,248,0.124,139,3.156,155,-0.031,302
"Smotherman, Austin",-0.182,333,-0.189,364,0.176,89,0.316,59,0.121,140,6.050,101,0.023,116
"Reavie, Chez",-0.243,358,-0.045,235,0.369,44,0.033,176,0.114,141,-15.147,409,0.132,2
"Hossler, Beau",0.449,8,0.118,91,-0.373,317,-0.100,227,0.093,142,9.052,50,-0.049,353
"Harding, Justin",0.102,124,0.067,124,0.046,157,-0.123,240,0.092,143,-8.383,357,0.045,68
"Pan, C.T.",0.005,193,0.026,166,0.088,129,-0.027,193,0.091,144,-2.518,258,0.033,96
"Hughes, Mackenzie",0.309,30,0.201,39,-0.109,214,-0.313,297,0.087,145,-0.476,227,-0.037,317
"Knox, Russell",-0.137,304,-0.065,254,0.330,54,-0.048,206,0.080,146,-6.293,327,0.071,26
"Whaley, Vincent",0.300,32,0.141,74,-0.248,258,-0.116,236,0.077,147,5.362,112,-0.073,395
"Hahn, James",-0.121,294,-0.100,294,0.065,145,0.229,101,0.072,148,1.727,178,0.022,123
"Du Plessis, Hennie",0.018,177,0.054,134,-0.300,281,0.298,69,0.070,149,7.564,80,-0.039,328
"Ramsay, Richie",0.165,91,-0.098,291,-0.226,250,0.210,111,0.052,150,-7.619,349,0.083,18
"Catlin, John",-0.315,388,-0.100,293,-0.001,173,0.467,33,0.051,151,-3.807,281,0.101,9
"Korhonen, Mikko",-0.108,279,-0.035,225,0.235,76,-0.043,202,0.049,152,-9.747,370,0.091,13
"Schwab, Matthias",-0.076,249,0.099,102,0.157,99,-0.133,244,0.048,153,-1.801,246,-0.013,232
"Huh, John",-0.051,234,0.072,120,0.081,134,-0.057,210,0.046,154,-8.199,356,0.053,53
"Kim, Michael",0.171,88,0.149,69,0.359,46,-0.635,385,0.044,155,-3.689,276,-0.109,431
"Bekker, Oliver",-0.090,267,0.074,118,-0.256,264,0.315,60,0.042,156,6.323,99,-0.016,251
"Streb, Robert",-0.044,225,0.071,121,-0.084,206,0.097,151,0.040,157,-0.319,221,-0.025,286
"Molinari, Francesco",0.068,152,0.178,48,0.049,156,-0.257,277,0.037,158,-4.621,299,0.023,122
"Paul, Yannik",0.015,180,-0.150,332,-0.058,197,0.230,98,0.037,159,1.296,188,0.005,176
"Willett, Danny",0.177,84,0.213,32,-0.263,267,-0.091,222,0.036,160,-0.195,217,-0.020,266
"Gligic, Michael",0.074,146,-0.075,264,-0.090,207,0.107,147,0.016,161,2.316,168,-0.018,257
"Dahmen, Joel",-0.130,299,-0.126,316,0.075,139,0.197,117,0.016,162,-6.255,325,0.076,22
"Coetzee, George",0.185,81,-0.017,201,-0.251,260,0.094,153,0.011,163,6.592,95,-0.048,350
"Hoffman, Charley",-0.327,391,-0.087,279,0.140,104,0.283,76,0.009,164,7.840,74,-0.040,332
"Waring, Paul",-0.250,364,-0.207,379,0.103,121,0.358,49,0.004,165,4.457,127,-0.014,240
"Westwood, Lee",-0.087,260,-0.101,295,0.041,159,0.150,133,0.003,166,-4.633,300,0.017,141
"Besseling, Wil",-0.078,251,-0.147,329,-0.278,271,0.502,29,-0.001,167,8.613,60,-0.013,231
"Schmid, Matthias",-0.051,235,-0.332,421,0.111,118,0.266,82,-0.006,168,15.689,17,-0.045,345
"Ryder, Sam",0.078,141,-0.068,258,0.030,165,-0.048,205,-0.008,169,-5.282,314,0.010,157
"Perez, Pat",0.135,106,0.251,18,0.006,171,-0.401,332,-0.009,170,-11.028,377,0.026,113
"Kizzire, Patton",-0.097,276,0.027,164,0.169,94,-0.113,231,-0.014,171,2.171,170,-0.024,282
"Shelton, Robby",-0.027,215,0.155,65,0.022,167,-0.167,253,-0.018,172,-4.167,290,-0.034,312
"Wiesberger, Bernd",-0.806,437,0.153,67,0.543,25,0.091,156,-0.019,173,0.419,202,0.023,117
"Syme, Connor",-0.082,256,-0.156,342,0.077,137,0.140,137,-0.021,174,-3.803,280,0.028,105
"Helligkilde, Marcus",-0.075,248,0.086,112,-0.352,307,0.319,58,-0.021,175,4.992,118,-0.035,313
"Thompson, Michael",0.134,107,0.125,85,-0.048,191,-0.235,269,-0.025,176,-10.266,372,0.060,44
"Guerrier, Julien",0.232,49,-0.120,311,-0.313,286,0.166,127,-0.035,177,5.718,106,-0.021,273
"Wallace, Matt",0.118,115,-0.025,211,0.017,169,-0.151,250,-0.042,178,1.803,174,-0.013,236
"Armitage, Marcus",-0.038,220,-0.014,196,0.241,73,-0.235,270,-0.046,179,1.567,183,-0.042,334
"Todd, Brendon",0.440,9,0.126,83,-0.206,245,-0.410,335,-0.050,180,-20.660,427,0.103,5
