datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,23774908,13600,22.266,2:05 pm,0,74.6,19.9,0,94.4,0.38,100,37.1285633419844,
"Cantlay, Patrick","Patrick Cantlay",150,23774909,13000,22.062,2:05 pm,0,71.5,15.3,0,86.8,-0.41,100,30.8221867818375,
"Schauffele, Xander","Xander Schauffele",150,23774910,12300,21.462,1:55 pm,0,72.1,13.6,0,85.7,-0.24,100,39.578136660238,
"Rahm, Jon","Jon Rahm",150,23774912,10900,21.206,1:25 pm,0,73.7,10.6,0,84.3,0.17,100,23.9328148717462,
"McIlroy, Rory","Rory McIlroy",150,23774913,10800,22.115,1:45 pm,0,76,12.6,0,88.5,0.74,100,41.6232774924873,
"Smith, Cameron","Cameron Smith",150,23774914,10400,19.596,1:45 pm,0,68.3,9.2,0,77.5,-0.58,100,19.1049251728976,
"Burns, Sam","Sam Burns",150,23774915,9900,18.849,1:55 pm,0,65.1,8.6,0,73.7,-0.92,100,21.0099531354717,
"Finau, Tony","Tony Finau",150,23774916,9600,19.625,1:35 pm,0,69,9.7,0,78.8,-0.01,100,21.9199916032508,
"Thomas, Justin","Justin Thomas",150,23774917,9400,19.722,1:15 pm,0,70,9.1,0,79.1,0.11,100,20.7000142897174,
"Im, Sungjae","Sungjae Im",150,23774918,9100,20.491,1:25 pm,0,70.8,10.3,0,81.1,0.47,100,25.8850017777529,
"Young, Cameron","Cameron Young",150,23774919,9000,19.265,1:05 pm,0,68.5,8.4,0,76.9,-0.01,100,17.3788272377853,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,23774920,8800,19.832,1:05 pm,0,70.3,9.7,0,80.1,0.46,100,21.8696504194573,
"Hovland, Viktor","Viktor Hovland",150,23774921,8500,17.941,12:35 pm,1,66.3,7,0,73.3,-0.32,100,20.8580341442769,
"Niemann, Joaquin","Joaquin Niemann",150,23774922,8300,17.832,12:45 pm,1,66.9,7.4,0,74.2,-0.08,100,13.2193035654039,
"Matsuyama, Hideki","Hideki Matsuyama",150,23774923,8100,17.583,12:55 pm,0,64.8,6.6,0,71.4,-0.42,100,9.94475723760542,
"Conners, Corey","Corey Conners",150,23774924,8000,17.995,12:15 pm,1,68.5,7.2,0,75.7,0.23,100,18.4665383083055,
"Morikawa, Collin","Collin Morikawa",150,23774925,7900,18.609,12:35 pm,1,68.4,7,0,75.4,0.23,100,20.4699351209057,
"Spieth, Jordan","Jordan Spieth",150,23774926,7800,17.887,12:45 pm,1,65.7,6.7,0,72.3,-0.13,100,18.2095566089693,
"Homa, Max","Max Homa",150,23774927,7500,17.318,12:55 pm,0,64.8,6.7,0,71.5,-0.12,100,11.9324467048717,
"Stallings, Scott","Scott Stallings",150,23774928,7400,17.043,1:15 pm,0,62.9,6.5,0,69.4,-0.39,100,17.0250970259352,
"Straka, Sepp","Sepp Straka",150,23774929,7200,15.924,1:35 pm,0,58.9,5.9,0,64.8,-1,100,15.2778851441639,
"Horschel, Billy","Billy Horschel",150,23774930,6900,16.835,12:25 pm,1,65.1,6.3,0,71.4,0.12,100,16.3947708249936,
"Theegala, Sahith","Sahith Theegala",150,23774931,6700,14.616,11:55 am,1,60,4.6,0,64.6,-0.78,100,13.0906248082891,
"Scott, Adam","Adam Scott",150,23774932,6600,16.159,11:55 am,1,63.4,5.3,0,68.7,-0.11,100,17.9979085441039,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,23774933,6000,15.895,12:05 pm,1,63.1,5.2,0,68.3,0.09,100,13.818264347795,
"Harman, Brian","Brian Harman",150,23774934,5700,16.017,12:15 pm,1,62.7,5.7,0,68.4,0.22,100,17.9823845285088,
"Wise, Aaron","Aaron Wise",150,23774935,5400,17.132,11:45 am,1,67.6,6.2,0,73.8,1,100,24.5342112032824,
"Poston, J.T.","J.T. Poston",150,23774936,5100,15.170,12:05 pm,1,61.2,4.8,0,66,0.15,100,16.3098408040773,
"Hoge, Tom","Tom Hoge",150,23774937,5000,15.017,12:25 pm,1,60.2,4.9,0,65.2,0.09,100,13.5150982938859,
