datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,25241550,11500,31.613,7:13 am,1,75.2,10,0,85.2,1,100,20.8379963979265,
"Burns, Sam","Sam Burns",150,25241551,10700,31.461,7:13 am,1,64,5.8,0,69.8,-0.02,100,17.4794973783842,
"Finau, Tony","Tony Finau",150,25241552,10400,30.956,12:09 pm,0,67.2,6.9,0,74.1,0.54,100,18.282933816683,
"Matsuyama, Hideki","Hideki Matsuyama",150,25241553,10300,30.405,7:24 am,1,58.8,4.3,0,63.1,-0.23,100,12.7083554761212,
"Henley, Russell","Russell Henley",150,25241554,10000,30.469,11:58 am,0,62.1,5.3,0,67.4,0.12,100,12.9328857342556,
"Wise, Aaron","Aaron Wise",150,25241555,9900,30.519,7:35 am,1,65.2,6.1,0,71.3,0.55,100,16.3995474986367,
"Montgomery, Taylor","Taylor Montgomery",150,25241556,9700,30.605,7:13 am,1,62.3,5.2,0,67.5,0.3,100,20.9658807775393,
"Day, Jason","Jason Day",150,25241557,9500,30.504,7:24 am,1,59.7,4.6,0,64.3,0.09,100,15.0863766476587,
"McNealy, Maverick","Maverick McNealy",150,25241558,9400,30.405,11:25 am,0,60,4.8,0,64.7,0.2,100,14.7360420773676,
"Theegala, Sahith","Sahith Theegala",150,25241559,9300,28.724,7:02 am,1,53.5,3,0,56.5,-0.26,100,9.81910458773503,
"McCarthy, Denny","Denny McCarthy",150,25241560,9200,28.978,7:57 am,1,56.4,3.8,0,60.3,-0.06,100,8.61901369861742,
"Grillo, Emiliano","Emiliano Grillo",150,25241561,9100,29.819,12:20 pm,0,56.5,3.7,0,60.2,-0.04,100,7.76246705437359,
"Dahmen, Joel","Joel Dahmen",150,25241562,9000,28.803,12:09 pm,0,53.8,3.2,0,57,-0.16,100,10.9267616016582,
"NeSmith, Matthew","Matthew NeSmith",150,25241563,8900,29.742,11:47 am,0,55.7,3.7,0,59.4,-0.02,100,10.4367297005112,
"Kim, Si Woo","Si Woo Kim",150,25241564,8800,29.112,12:20 pm,0,55.4,3.5,0,58.9,-0.01,100,7.94129067378119,
"Noren, Alex","Alex Noren",150,25241565,8700,29.420,6:51 am,1,56.4,3.9,0,60.3,0.16,100,7.40949367441625,
"Putnam, Andrew","Andrew Putnam",150,25241566,8600,29.144,12:31 pm,0,54.4,3.3,0,57.7,-0.02,100,6.54877359858632,
"Pendrith, Taylor","Taylor Pendrith",150,25241567,8500,29.991,12:31 pm,0,58.8,4.4,0,63.3,0.57,100,14.3432163713874,
"Riley, Davis","Davis Riley",150,25241568,8400,29.056,11:47 am,0,53.6,3,0,56.7,-0.01,100,12.5558892900282,
"Hadwin, Adam","Adam Hadwin",150,25241569,8300,28.324,12:42 pm,0,52.6,2.8,0,55.5,-0.04,100,4.81723234726154,
"Munoz, Sebastian","Sebastian Munoz",150,25241570,8200,29.110,7:24 am,1,55.2,3.5,0,58.7,0.29,100,7.39065627197903,
"Mitchell, Keith","Keith Mitchell",150,25241571,8100,29.786,12:20 pm,0,58,4.1,0,62.1,0.69,100,12.8346285491545,
"Moore, Taylor","Taylor Moore",150,25241572,8000,28.262,12:31 pm,0,52.1,2.8,0,54.9,0.03,100,6.56335599205236,
"Clark, Wyndham","Wyndham Clark",150,25241573,7900,29.029,11:25 am,0,54.5,3.3,0,57.8,0.38,100,6.51670564817481,
"Rodgers, Patrick","Patrick Rodgers",150,25241574,7800,29.014,11:36 am,0,55.2,3.5,0,58.7,0.53,100,6.62076089174808,
"English, Harris","Harris English",150,25241575,7800,27.730,11:58 am,0,48.4,2.2,0,50.6,-0.13,100,7.00092255993093,
"Hughes, Mackenzie","Mackenzie Hughes",150,25241576,7700,28.235,12:09 pm,0,52.2,2.8,0,55,0.22,100,9.28601660668389,
"Gordon, Will","Will Gordon",150,25241577,7700,28.858,8:08 am,1,52.9,3,0,55.8,0.3,100,9.8242048267797,
"Burmester, Dean","Dean Burmester",150,25241580,7600,29.519,1:04 pm,0,56.6,3.9,0,60.5,0.82,100,16.8802989437731,
"Smalley, Alex","Alex Smalley",150,25241578,7600,28.945,12:42 pm,0,53.7,3.1,0,56.8,0.45,100,7.63914995371479,
"Hodges, Lee","Lee Hodges",150,25241579,7600,29.591,11:47 am,0,54.6,3.3,0,57.9,0.56,100,7.6349706010883,
"Schenk, Adam","Adam Schenk",150,25241582,7500,28.568,7:46 am,1,51.2,2.6,0,53.8,0.21,100,4.74682385240399,
"Suh, Justin","Justin Suh",150,25241583,7500,28.030,12:42 pm,0,51.2,2.5,0,53.7,0.21,100,3.57937936815889,
"Rai, Aaron","Aaron Rai",150,25241581,7500,27.902,12:31 pm,0,51.3,2.7,0,54,0.24,100,4.02417927949721,
"Long, Adam","Adam Long",150,25241585,7400,27.797,7:46 am,1,49.3,2.3,0,51.6,0.05,100,5.66342154567921,
"Lower, Justin","Justin Lower",150,25241587,7400,27.674,7:46 am,1,50.1,2.4,0,52.5,0.15,100,5.73451327613762,
"Straka, Sepp","Sepp Straka",150,25241584,7400,28.728,11:58 am,0,51.7,2.7,0,54.4,0.34,100,11.7406749530115,
"Wu, Brandon","Brandon Wu",150,25241589,7300,27.600,12:31 pm,0,49.1,2.2,0,51.3,0.08,100,3.07182419786066,
"Thompson, Davis","Davis Thompson",150,25241590,7300,27.615,1:04 pm,0,48.7,2.2,0,50.9,0.04,100,9.20752638254125,
"List, Luke","Luke List",150,25241588,7300,28.138,7:24 am,1,52.3,2.8,0,55.1,0.46,100,6.05618264210149,
"Shelton, Robby","Robby Shelton",150,25241591,7300,27.691,8:08 am,1,49,2.3,0,51.2,0.08,100,4.48002591036161,
"Willett, Danny","Danny Willett",150,25241595,7200,27.744,7:02 am,1,49.4,2.4,0,51.7,0.19,100,4.85644913815798,
"Steele, Brendan","Brendan Steele",150,25241592,7200,29.471,11:47 am,0,54,3.2,0,57.2,0.72,100,8.22202404374267,
"Laird, Martin","Martin Laird",150,25241596,7200,27.750,12:20 pm,0,50.1,2.5,0,52.6,0.27,100,3.04242342737437,
"Rose, Justin","Justin Rose",150,25241594,7200,28.289,7:13 am,1,49.1,2.3,0,51.4,0.15,100,3.45555510821504,
"Champ, Cameron","Cameron Champ",150,25241593,7200,28.384,12:09 pm,0,50,2.4,0,52.4,0.25,100,5.20270732639127,
"Molinari, Francesco","Francesco Molinari",150,25241597,7100,28.134,7:35 am,1,49.3,2.2,0,51.5,0.22,100,3.87494661286594,
"Jaeger, Stephan","Stephan Jaeger",150,25241601,7100,28.295,11:25 am,0,51.7,2.7,0,54.4,0.51,100,4.65240820991803,
"Hubbard, Mark","Mark Hubbard",150,25241598,7100,27.560,11:36 am,0,50.4,2.6,0,53,0.37,100,4.43593426297434,
"Lipsky, David","David Lipsky",150,25241599,7100,28.202,7:46 am,1,51.4,2.6,0,54.1,0.47,100,3.58226988615594,
"Kim, Seonghyeon","Seonghyeon Kim",150,25241600,7100,27.668,7:57 am,1,49.6,2.3,0,51.9,0.26,100,3.54762324613171,
"Hossler, Beau","Beau Hossler",150,25241605,7000,28.531,7:02 am,1,50.9,2.5,0,53.4,0.47,100,6.06634227521473,
"Woodland, Gary","Gary Woodland",150,25241602,7000,28.715,12:09 pm,0,52.6,2.9,0,55.5,0.68,100,9.2418177480813,
"Knox, Russell","Russell Knox",150,25241604,7000,26.431,7:57 am,1,45.8,1.8,0,47.5,-0.05,100,3.61276468725884,
"Streelman, Kevin","Kevin Streelman",150,25241603,7000,26.698,7:57 am,1,46.9,1.9,0,48.8,0.01,100,2.58876135168574,
"Mullinax, Trey","Trey Mullinax",150,25241606,7000,27.831,7:35 am,1,49.2,2.2,0,51.4,0.27,100,6.24198489582048,
"Yuan, Yechun","Carl Yuan",150,25241607,7000,27.316,12:53 pm,0,48,2.1,0,50.1,0.14,100,3.82861836810879,
"An, Byeong Hun","Byeong Hun An",150,25241612,6900,27.225,7:57 am,1,48.2,2,0,50.2,0.21,100,2.68226061287559,
"Taylor, Nick","Nick Taylor",150,25241611,6900,27.446,7:13 am,1,48.6,2.2,0,50.8,0.27,100,3.63853149527041,
"Hadley, Chesson","Chesson Hadley",150,25241608,6900,26.278,7:57 am,1,45.4,1.6,0,47.1,-0.05,100,2.58518130125087,
"Palmer, Ryan","Ryan Palmer",150,25241609,6900,27.651,6:40 am,1,49.5,2.2,0,51.7,0.36,100,3.39462732160512,
"Svensson, Adam","Adam Svensson",150,25241613,6900,27.607,6:51 am,1,49.2,2.2,0,51.4,0.32,100,3.02797109940848,
"Griffin, Ben","Ben Griffin",150,25241618,6800,26.786,12:53 pm,0,46,1.7,0,47.7,0.02,100,4.07184022270641,
"Hoffman, Charley","Charley Hoffman",150,25241617,6800,27.415,12:31 pm,0,47.8,2,0,49.9,0.23,100,2.99514359776546,
"Van Rooyen, Erik","Erik Van Rooyen",150,25241614,6800,27.496,7:35 am,1,47.3,2,0,49.3,0.18,100,2.32309593603314,
"Frittelli, Dylan","Dylan Frittelli",150,25241615,6800,27.530,11:36 am,0,49.2,2.3,0,51.4,0.39,100,3.69428550591437,
"Zecheng, Marty Dou","Zecheng Dou",150,25241619,6800,27.435,8:19 am,1,48.5,2.1,0,50.7,0.31,100,2.17680974523699,
"Wallace, Matt","Matt Wallace",150,25241616,6800,26.323,6:51 am,1,45.5,1.6,0,47.1,-0.02,100,2.79254294976295,
"Werbylo, Trevor","Trevor Werbylo",150,25257226,6700,20.971,8:08 am,1,33.6,0.5,0,34,-0.59,100,0.038738401208428,
"Cink, Stewart","Stewart Cink",150,25241623,6700,27.515,11:58 am,0,47.6,2,0,49.6,0.26,100,1.99814086837052,
"Veerman, Johannes","Johannes Veerman",150,25241624,6700,26.223,8:30 am,1,43.8,1.5,0,45.3,-0.07,100,3.00133877748853,
"Smotherman, Austin","Austin Smotherman",150,25241622,6700,27.157,7:02 am,1,47.6,1.9,0,49.6,0.26,100,3.14369374251554,
"Piercy, Scott","Scott Piercy",150,25241620,6700,25.825,11:36 am,0,44,1.5,0,45.5,-0.07,100,3.0378691070202,
"Higgo, Garrick","Garrick Higgo",150,25241621,6700,25.700,11:58 am,0,43.7,1.4,0,45.1,-0.08,100,2.58328563155514,
"Hahn, James","James Hahn",150,25241626,6700,27.527,12:42 pm,0,48.2,2.1,0,50.3,0.34,100,2.78226511171916,
"Hickok, Kramer","Kramer Hickok",150,25241630,6600,26.281,12:42 pm,0,45,1.7,0,46.7,0.04,100,3.07955021184553,
"Lingmerth, David","David Lingmerth",150,25241627,6600,25.845,11:36 am,0,43.3,1.4,0,44.7,-0.08,100,4.34215632372063,
"Daffue, MJ","MJ Daffue",150,25241631,6600,26.635,8:19 am,1,46.3,1.8,0,48.1,0.17,100,2.48030463939415,
"Huh, John","John Huh",150,25241628,6600,26.063,11:25 am,0,44.6,1.6,0,46.2,-0.01,100,1.77857237944363,
