"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"1","Scottie Scheffler",28078696,11500,99.75,92.71,30.3,127,73.5,83.1,11.7,94.8,1,33.16,0.15,82,0.298,8,1.249,1,1.151,1,2.848,1,13.48,25,0.055,46,2.652,26,0.021,0.005,-0.061,0.232,0.003,-0.207,-0.01,0.11,-0.106,2.744,0.9283,0.7354,0.5781,0.4219,0.1642,14.28,3,31.73,93.75,2.75,13.88,50,80,1,2023-05-25,"2023-05-25 Charles Schwab"
"2","Tony Finau",28078697,10700,83.9,87.91,16.9,107,69,73,7.5,80.4,0.24,16.29,0.213,61,0.257,18,0.863,6,0.438,35,1.771,7,7.789,73,0.016,141,1.786,33,-0.004,-0.028,0.006,0.01,0.171,-0.119,-0.003,0.093,-0.028,1.913,0.8636,0.5434,0.361,0.2242,0.0591,5.52,-1.71,16.59,84.16,1.93,7.83,0,25,1,2023-05-25,"2023-05-25 Charles Schwab"
"3","Viktor Hovland",28078698,10600,89.1,82.47,21.2,100,65,70.9,6.6,77.6,0.05,19.16,0.133,93,-0.038,206,0.873,5,0.842,5,1.811,6,10.04,49,0.041,72,1.707,25,0.025,0.003,-0.011,0.087,0.005,-0.154,-0.007,0.054,-0.106,1.71,0.8361,0.4831,0.3106,0.1852,0.048,4.53,-2.28,20.18,80.03,0.95,3.13,0,25,1,2023-05-25,"2023-05-25 Charles Schwab"
"4","Collin Morikawa",28078699,10400,73.97,77.22,14.8,95.5,60.5,70,6.3,76.3,0.06,20.59,-0.04,214,0.044,139,1.009,2,0.531,23,1.543,14,0.84,190,0.087,14,1.477,26,0.023,-0.024,0.012,0.056,0.047,-0.012,-0.015,0.053,0.027,1.617,0.8249,0.4608,0.2899,0.1706,0.0419,4.03,-1.99,17.7,76.76,1.4,5.3,0,25,1,2023-05-25,"2023-05-25 Charles Schwab"
"5","Max Homa",28078700,10100,83.71,80.22,8.1,98.5,62.5,66,5.1,71.2,-0.12,12.84,0.453,13,0.188,42,0.485,29,0.176,87,1.302,19,4.093,128,0.022,118,1.365,32,0.001,0.034,0.017,-0.114,0.019,-0.062,-0.004,0.092,0.027,1.348,0.7947,0.3906,0.2283,0.1253,0.0264,2.61,-2.36,10.47,75.71,1.63,6.15,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"6","Jordan Spieth",28078701,9900,72.32,72.32,17,93,31.5,73.2,7.3,80.6,0.69,20.88,0.239,53,0.247,22,0.677,11,0.404,41,1.566,11,7.437,78,-0.028,290,1.462,29,0.01,-0.009,-0.02,0.123,0.299,-0.113,0.005,0.086,-0.023,1.842,0.8489,0.5169,0.3425,0.2128,0.0582,5.88,1.53,18.94,76.46,1.41,7.11,0,25,1,2023-05-25,"2023-05-25 Charles Schwab"
"7","Sam Burns",28078702,9700,62.97,66.06,6.7,88,28.5,63.9,4.4,68.3,-0.14,13.15,0.562,6,0.02,156,0.144,104,0.491,27,1.217,24,10.372,47,-0.025,279,0.993,26,0.021,0.058,-0.002,0.147,0.003,-0.159,0.004,0.067,-0.087,1.133,0.7567,0.3356,0.1873,0.0995,0.0196,2.02,-1.77,9.93,67.18,0.52,1.46,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"8","Sungjae Im",28078703,9500,77.28,77.13,22.4,96,59,71.9,7,78.8,0.76,17.94,0.324,33,0.296,9,0.442,34,0.642,10,1.704,9,0.792,192,0.069,21,1.535,25,0.027,0.016,0.004,0.121,0.024,-0.011,-0.012,0.087,0.065,1.792,0.8459,0.5074,0.3289,0.2012,0.0508,5.35,2.04,20.17,77.97,2.12,10.56,0,30,1,2023-05-25,"2023-05-25 Charles Schwab"
"9","Justin Rose",28078704,9300,71.69,74.96,19.3,94,56.5,63.9,4.5,68.5,0.01,19.12,0.414,19,0.139,63,0.431,35,0.02,138,1.004,37,-0.185,207,0.022,119,1.284,42,-0.036,-0.078,0.094,-0.261,0.094,0.004,-0.004,0.081,0.082,1.18,0.7653,0.346,0.1972,0.1067,0.0228,2.45,-0.43,19.21,71.73,1.3,5.64,0,25,1,2023-05-25,"2023-05-25 Charles Schwab"
"10","Tommy Fleetwood",28078705,9200,71.57,81.26,16.5,99.5,64,65.5,5,70.5,0.23,18.25,0.214,59,0.253,20,0.537,25,0.308,63,1.312,18,2.923,156,0.022,120,1.302,32,0.001,-0.036,-0.043,0.088,-0.028,-0.044,-0.004,0.076,0.029,1.313,0.7881,0.3717,0.2132,0.1147,0.0229,2.49,-0.2,17.38,75.88,1.57,6.96,0,25,1,2023-05-25,"2023-05-25 Charles Schwab"
"11","Chris Kirk",28078706,9100,68.68,69.86,10.8,90.5,30,64.3,4.7,69,0.16,14.24,0.164,76,0.322,5,0.359,48,0.088,117,0.932,42,-2.663,250,0.032,94,0.955,38,-0.019,-0.019,0.048,-0.033,0.226,0.043,-0.006,0.07,0.107,1.265,0.7797,0.365,0.2058,0.111,0.023,2.53,0.02,12.52,69.43,1.59,7.16,0,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"12","Si Woo Kim",28078707,9000,68.92,69.11,8.4,90.5,29,63,4.4,67.4,0.08,7.8,0.061,134,0.174,51,0.501,27,0.315,61,1.052,34,-3.293,257,0.073,18,0.925,27,0.017,-0.01,0.013,0.106,-0.027,0.052,-0.013,0.051,0.091,1.115,0.763,0.3311,0.1795,0.0939,0.0181,2.01,-0.34,8.1,68.25,1.34,5.86,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"13","Rickie Fowler",28078708,8900,74.14,69.58,17.3,90.5,29.5,64.3,4.8,69.1,0.28,14.55,0.245,51,0.181,48,0.574,23,0.278,70,1.278,20,6.935,88,0.018,133,1.219,34,-0.006,-0.017,0.058,0.025,-0.001,-0.106,-0.003,0.073,-0.035,1.242,0.7727,0.3584,0.2033,0.1088,0.0216,2.43,0.22,15.93,69.34,1.4,6.41,0,20,1,2023-05-25,"2023-05-25 Charles Schwab"
