player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.668
"Rahm, Jon",PGA TOUR,2,0,2,0,2.482
"Schauffele, Xander",PGA TOUR,3,0,5,0,2.254
"Cantlay, Patrick",PGA TOUR,4,0,4,0,2.19
"McIlroy, Rory",PGA TOUR,5,0,3,0,2.088
"Hatton, Tyrrell",PGA TOUR,6,1,17,1,1.715
"Hovland, Viktor",PGA TOUR,7,1,7,-1,1.698
"Finau, Tony",PGA TOUR,8,-2,12,0,1.684
"Smith, Cameron",LIV Tour,9,1,9,-1,1.492
"Im, Sungjae",PGA TOUR,10,-1,19,0,1.453
"Day, Jason",PGA TOUR,11,2,22,0,1.452
"Morikawa, Collin",PGA TOUR,12,-1,18,-1,1.447
"Homa, Max",PGA TOUR,13,3,6,1,1.434
"Thomas, Justin",PGA TOUR,14,0,15,0,1.378
"Clark, Wyndham",PGA TOUR,15,0,32,1,1.361
"Rose, Justin",PGA TOUR,16,5,28,1,1.342
"Fitzpatrick, Matthew",PGA TOUR,17,0,8,1,1.338
"Fowler, Rickie",PGA TOUR,18,5,46,6,1.335
"Spieth, Jordan",PGA TOUR,19,-7,11,0,1.325
"Koepka, Brooks",LIV Tour,20,-2,14,-1,1.325
"Young, Cameron",PGA TOUR,21,-2,16,0,1.31
"Conners, Corey",PGA TOUR,22,0,29,-1,1.254
"Henley, Russell",PGA TOUR,23,2,30,1,1.242
"Fleetwood, Tommy",PGA TOUR,24,-4,23,0,1.223
"Pereira, Mito",LIV Tour,25,7,54,-4,1.18
"Matsuyama, Hideki",PGA TOUR,26,0,25,0,1.171
"Zalatoris, Will",PGA TOUR,27,0,10,0,1.139
"Johnson, Dustin",LIV Tour,28,-4,84,-2,1.134
"Burns, Sam",PGA TOUR,29,6,13,1,1.131
"Bradley, Keegan",PGA TOUR,30,-2,24,0,1.123
"Theegala, Sahith",PGA TOUR,31,-1,27,0,1.077
"McCarthy, Denny",PGA TOUR,32,-3,55,-1,1.045
"Kuchar, Matt",PGA TOUR,33,0,52,-1,1.017
"Kim, Tom",PGA TOUR,34,2,21,0,0.976
"Scott, Adam",PGA TOUR,35,2,40,0,0.95
"Varner III, Harold",LIV Tour,36,11,67,-3,0.948
"Kim, Si Woo",PGA TOUR,37,2,38,0,0.946
"Reed, Patrick",LIV Tour,38,-7,47,-3,0.939
"Niemann, Joaquin",LIV Tour,39,-5,31,-1,0.907
"Lowry, Shane",PGA TOUR,40,3,26,0,0.866
"Gooch, Talor",LIV Tour,41,3,72,-5,0.857
"Howell III, Charles",LIV Tour,42,-2,385,-6,0.84
"Kirk, Chris",PGA TOUR,43,-5,37,-1,0.825
"Lee, Kyounghoon",PGA TOUR,44,-3,44,-1,0.807
"Moore, Taylor",PGA TOUR,45,-3,48,-3,0.77
"Harman, Brian",PGA TOUR,46,7,36,1,0.752
"Stricker, Steve",PGA TOUR Champions,47,18,9999,0,0.748
"Grillo, Emiliano",PGA TOUR,48,29,42,38,0.739
"Meronk, Adrian",DP World Tour,49,8,45,2,0.723
"Hadwin, Adam",PGA TOUR,50,2,74,-5,0.708
"Kitayama, Kurt",PGA TOUR,51,7,20,0,0.705
"Woodland, Gary",PGA TOUR,52,2,80,-3,0.693
