datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,28153645,11300,31.112,7:53 am,1,83.5,10.4,0,93.9,0.95,100,31.4364252220173,
"Rahm, Jon","Jon Rahm",150,28153646,11000,32.013,8:05 am,1,78.2,8.2,0,86.4,0.4,100,26.6068209162733,
"McIlroy, Rory","Rory McIlroy",150,28153647,10600,31.183,12:53 pm,0,71.1,6,0,77.1,-0.13,100,16.0836359058067,
"Cantlay, Patrick","Patrick Cantlay",150,28153648,10500,31.067,12:41 pm,0,79.9,9,0,89,1,100,23.8077848674688,
"Schauffele, Xander","Xander Schauffele",150,28153649,10200,31.474,1:05 pm,0,75.5,7.5,0,83.1,0.62,100,19.7494402362537,
"Morikawa, Collin","Collin Morikawa",150,28153650,9900,31.381,8:05 am,1,69.3,5.3,0,74.5,-0.01,100,16.9438514279894,
"Hovland, Viktor","Viktor Hovland",150,28153651,9700,31.156,7:53 am,1,70.6,5.5,0,76.1,0.26,100,17.6030282031712,
"Day, Jason","Jason Day",150,28153652,9400,31.380,8:05 am,1,67.8,4.9,0,72.7,0.13,100,11.0549035836152,
"Hatton, Tyrrell","Tyrrell Hatton",150,28153653,9300,30.945,12:53 pm,0,68.6,5.1,0,73.7,0.3,100,17.9940479126476,
"Thomas, Justin","Justin Thomas",150,28153654,9200,30.871,1:05 pm,0,66.3,4.6,0,70.9,0.09,100,14.3916543763537,
"Im, Sungjae","Sungjae Im",150,28153655,9100,31.235,8:41 am,1,68.9,5.2,0,74.2,0.48,100,9.46928189570627,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,28153656,9000,30.792,1:05 pm,0,63.2,4,0,67.2,-0.08,100,11.3150994295348,
"Spieth, Jordan","Jordan Spieth",150,28153657,8900,31.420,12:53 pm,0,66.8,4.5,0,71.4,0.34,100,8.90906566544899,
"Young, Cameron","Cameron Young",150,28153658,8800,31.019,8:29 am,1,66.1,4.4,0,70.6,0.32,100,10.0117851408621,
"Matsuyama, Hideki","Hideki Matsuyama",150,28153659,8700,30.679,12:41 pm,0,65,4.1,0,69.1,0.25,100,14.1839494696469,
"Burns, Sam","Sam Burns",150,28153660,8600,30.884,8:17 am,1,62.7,3.7,0,66.3,0.04,100,6.81655949987806,
"Fowler, Rickie","Rickie Fowler",150,28153661,8500,30.779,8:17 am,1,66.2,4.5,0,70.7,0.54,100,18.307467423491,
"Theegala, Sahith","Sahith Theegala",150,28153662,8400,30.392,1:29 pm,0,61.2,3.3,0,64.5,0,100,14.7606291411718,
"Conners, Corey","Corey Conners",150,28153663,8300,30.323,1:29 pm,0,64,4,0,68,0.41,100,12.9189114429763,
"Clark, Wyndham","Wyndham Clark",150,28153664,8200,30.054,7:41 am,1,59.9,3.2,0,63,-0.01,100,6.26568878042849,
"Lowry, Shane","Shane Lowry",150,28153665,8100,30.331,8:41 am,1,61.7,3.5,0,65.2,0.26,100,13.2571469562968,
"Scott, Adam","Adam Scott",150,28153666,8000,30.039,8:29 am,1,59.1,2.9,0,62,0.02,100,14.5598592728908,
"Kim, Si Woo","Si Woo Kim",150,28153667,8000,30.282,8:17 am,1,65,4.2,0,69.2,0.73,100,13.8583299179221,
"Kim, Tom","Tom Kim",150,28153668,7900,30.610,7:41 am,1,63.5,3.8,0,67.3,0.62,100,9.90027304522188,
"Henley, Russell","Russell Henley",150,28153669,7900,30.858,8:00 am,1,65.9,4.5,0,70.4,0.92,100,12.4173192397779,
