"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"1","Scottie Scheffler",28153645,11300,99.27,85.84,19.7,103,69,83.5,10.4,93.9,0.95,31.44,0.072,126,0.303,8,1.323,1,1.199,1,2.898,1,14.155,21,0.053,51,2.655,26,0.021,0.03,-0.06,0.252,0.035,-0.108,0.1,0.082,0.074,3.007,0.9114,0.6885,0.5169,0.3636,0.1292,11.43,1.99,25.57,89.87,2.77,13.46,0,40,1,2023-06-01,"2023-06-01 Memorial Tournament"
"2","Jon Rahm",28153646,11000,100.81,86.44,18.5,104,69,78.2,8.2,86.4,0.4,26.61,0.588,3,0.193,42,0.898,4,0.767,7,2.446,2,14.691,19,0.018,130,2.47,28,0.015,-0.065,-0.001,0.027,0.077,-0.112,0.034,0.074,-0.003,2.52,0.8706,0.5763,0.3968,0.2558,0.0772,7.02,-1.09,22.56,86.42,1.91,8.05,0,30,1,2023-06-01,"2023-06-01 Memorial Tournament"
"3","Rory McIlroy",28153647,10600,79.1,84.51,10.1,102,67.5,71.1,6,77.1,-0.13,16.08,0.202,63,0.236,31,0.768,9,0.874,4,2.08,5,23.249,2,-0.046,331,2.076,34,-0.005,-0.129,-0.052,0.19,0.109,-0.177,-0.086,0.054,-0.21,1.98,0.823,0.4505,0.274,0.1572,0.0352,3.32,-3.21,13.09,80.81,1.24,3.98,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"4","Patrick Cantlay",28153648,10500,89.73,85.05,23.6,102.5,68.5,79.9,9,89,1,23.81,0.35,27,0.243,26,0.826,6,0.955,2,2.374,3,9.865,49,0.056,44,2.179,31,0.005,0.009,-0.014,0.195,0.225,-0.075,0.106,0.064,0.095,2.693,0.8921,0.6241,0.4444,0.289,0.0863,8.22,2.05,23.7,87.03,2.14,10.66,0,40,1,2023-06-01,"2023-06-01 Memorial Tournament"
"5","Xander Schauffele",28153649,10200,87.18,84.7,16.5,103.5,67.5,75.5,7.5,83.1,0.62,19.75,0.493,12,0.235,32,0.97,3,0.524,22,2.221,4,7.077,80,0.013,146,2.242,29,0.011,0.044,-0.028,-0.048,0.076,-0.053,0.024,0.078,0.048,2.346,0.8588,0.5327,0.3521,0.2183,0.0566,5.55,0.38,18.12,83.9,1.89,8.7,0,25,1,2023-06-01,"2023-06-01 Memorial Tournament"
"6","Collin Morikawa",28153650,9900,73.41,75.27,10.4,93,58.5,69.3,5.3,74.5,-0.01,16.94,-0.069,232,0.048,136,0.995,2,0.476,27,1.451,13,0.377,196,0.08,15,1.436,26,0.023,-0.036,0.008,0.019,0.077,-0.002,0.151,0.053,0.201,1.729,0.7912,0.3906,0.2299,0.1277,0.0273,2.76,-1.53,13.67,74.88,1.29,5.04,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"7","Viktor Hovland",28153651,9700,87.75,72.27,14.5,92.35,31.5,70.6,5.5,76.1,0.26,17.6,0.19,69,-0.026,195,0.787,7,0.849,5,1.799,6,9.698,51,0.045,67,1.686,25,0.025,0.013,-0.007,0.082,0.023,-0.074,0.085,0.047,0.059,1.881,0.8092,0.4274,0.2558,0.146,0.0327,3.37,-0.4,16.05,74.18,0.8,3.4,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"8","Jason Day",28153652,9400,74.31,76.11,10.2,94,59.5,67.8,4.9,72.7,0.13,11.05,0.38,23,0.3,9,0.445,36,0.366,49,1.491,12,5.604,99,0.013,147,1.437,35,-0.01,-0.012,0.065,0.011,0.113,-0.042,0.024,0.047,0.029,1.633,0.7763,0.361,0.2075,0.1136,0.0241,2.56,-0.53,10.62,74.4,1.5,6.49,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"9","Tyrrell Hatton",28153653,9300,81.14,76.06,16.6,94.5,59,68.6,5.1,73.7,0.3,17.99,0.393,20,0.246,23,0.599,21,0.465,31,1.704,8,6.536,92,0.024,115,1.705,31,0.004,0.003,-0.041,0.032,-0.015,-0.049,0.044,0.054,0.049,1.737,0.7938,0.3922,0.2283,0.1244,0.0265,2.85,-0.04,17.3,74.88,1.57,7.04,0,25,1,2023-06-01,"2023-06-01 Memorial Tournament"
"10","Justin Thomas",28153654,9200,73.46,77.48,15.2,95.5,60.5,66.3,4.6,70.9,0.09,14.39,0.084,119,0.315,5,0.7,10,0.439,35,1.538,11,9.735,50,-0.011,226,1.368,30,0.009,0.027,-0.013,0.146,0.085,-0.074,-0.021,0.05,-0.044,1.578,0.7706,0.3521,0.1972,0.1037,0.0211,2.29,-0.41,14.8,74.19,1.48,6.46,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
