datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"McIlroy, Rory","Rory McIlroy",150,28225668,11500,34.719,7:33 am,1,90.1,10.5,0,100.5,0.62,100,35.7753183228086,
"Burns, Sam","Sam Burns",150,28225669,10500,34.864,12:48 pm,0,79.4,6.5,0,85.9,0.21,100,23.9621015474076,
"Hatton, Tyrrell","Tyrrell Hatton",150,28225670,10200,34.564,7:44 am,1,84.2,8.2,0,92.4,0.73,100,26.1989024667444,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,28225671,9900,34.324,7:44 am,1,80.2,7,0,87.2,0.55,100,21.4116412158799,
"Conners, Corey","Corey Conners",150,28225672,9800,34.083,7:55 am,1,74.5,5.3,0,79.8,0.16,100,15.8252737377385,
"Rose, Justin","Justin Rose",150,28225673,9700,34.665,7:33 am,1,74.7,5.3,0,80.1,0.22,100,22.4619401390772,
"Fleetwood, Tommy","Tommy Fleetwood",150,28225674,9600,33.728,7:55 am,1,75.8,5.6,0,81.4,0.35,100,19.2230826957902,
"Lowry, Shane","Shane Lowry",150,28225675,9400,34.248,1:10 pm,0,75.4,5.5,0,80.8,0.41,100,19.6825214637817,
"Young, Cameron","Cameron Young",150,28225676,9300,35.067,1:10 pm,0,82.4,7.6,0,90,1,100,25.2162332592309,
"Theegala, Sahith","Sahith Theegala",150,28225677,9200,34.654,12:48 pm,0,73.2,4.9,0,78,0.33,100,16.2356768176931,
"Kuchar, Matt","Matt Kuchar",150,28225678,9100,33.440,12:48 pm,0,67.1,3.8,0,70.9,-0.03,100,8.50431589313182,
"Mitchell, Keith","Keith Mitchell",150,28225679,8900,33.702,12:48 pm,0,68.4,4,0,72.4,0.13,100,9.25788521666643,
"Hadwin, Adam","Adam Hadwin",150,28225681,8700,33.665,12:59 pm,0,67.9,3.8,0,71.7,0.18,100,9.05444776311882,
"Meronk, Adrian","Adrian Meronk",150,28225682,8600,34.148,12:15 pm,0,71.1,4.3,0,75.5,0.45,100,16.3515437892019,
"Svensson, Adam","Adam Svensson",150,28225683,8500,33.631,12:59 pm,0,66,3.4,0,69.4,0.13,100,11.7850302328127,
"Hojgaard, Nicolai","Nicolai Hojgaard",150,28225684,8400,33.425,2:05 pm,0,65.3,3.3,0,68.6,0.14,100,8.30202670664129,
"Aberg, Ludvig","Ludvig Aberg",150,28225685,8300,33.740,7:44 am,1,67.4,3.7,0,71.1,0.33,100,14.5892711413619,
"Taylor, Nick","Nick Taylor",150,28225687,8100,33.356,7:55 am,1,67.3,3.7,0,71,0.42,100,11.7504020754317,
"Kim, Michael","Michael Kim",150,28225688,8000,32.760,1:32 pm,0,63.6,3,0,66.6,0.2,100,10.8129160232118,
"Todd, Brendon","Brendon Todd",150,28225690,7900,31.917,1:10 pm,0,61.6,2.6,0,64.2,0.1,100,6.58376693024673,
"Cole, Eric","Eric Cole",150,28225689,7900,33.692,7:22 am,1,67.1,3.6,0,70.7,0.49,100,16.1617268744567,
"Wise, Aaron","Aaron Wise",150,28225692,7800,32.255,7:33 am,1,60.5,2.5,0,63,0.07,100,4.89874414536781,
"Smalley, Alex","Alex Smalley",150,28225691,7800,33.738,12:26 pm,0,67.4,3.7,0,71.1,0.56,100,8.66333689647219,
"McNealy, Maverick","Maverick McNealy",150,28225693,7700,31.520,12:37 pm,0,59.8,2.4,0,62.2,0.07,100,6.03462672486027,
"Pendrith, Taylor","Taylor Pendrith",150,28225694,7700,32.655,1:21 pm,0,62.8,2.8,0,65.6,0.28,100,6.29814868234994,
"Rai, Aaron","Aaron Rai",150,28225697,7600,33.085,7:11 am,1,67,3.6,0,70.6,0.62,100,8.9081461718962,
"Thorbjornsen, Michael","Michael Thorbjornsen",150,28225696,7600,31.150,2:27 pm,0,56.7,1.9,0,58.6,-0.06,100,6.35250530170351,
"Hall, Harry","Harry Hall",150,28225695,7600,32.028,1:54 pm,0,61.4,2.6,0,63.9,0.22,100,5.4301775736055,
"Hodges, Lee","Lee Hodges",150,28225699,7500,33.716,8:17 am,1,67.6,3.6,0,71.1,0.7,100,11.3244899763664,
"Wu, Brandon","Brandon Wu",150,28225700,7500,33.129,7:22 am,1,64.8,3.2,0,68,0.51,100,6.2080384012159,
"Norrman, Vincent","Vincent Norrman",150,28225701,7500,33.053,2:16 pm,0,64.2,3,0,67.2,0.47,100,10.8937433513104,
"Hughes, Mackenzie","Mackenzie Hughes",150,28225703,7400,32.912,12:59 pm,0,64.1,3.1,0,67.1,0.51,100,10.1978074559608,
"Gordon, Will","Will Gordon",150,28225705,7400,33.351,1:32 pm,0,65.5,3.2,0,68.6,0.6,100,4.5498650768133,
"Lipsky, David","David Lipsky",150,28225702,7400,32.148,12:37 pm,0,62.2,2.6,0,64.8,0.37,100,7.80560801346346,
"Lashley, Nate","Nate Lashley",150,28225709,7300,31.280,1:43 pm,0,58.7,2.3,0,61,0.19,100,4.13248339764893,
"Simpson, Webb","Webb Simpson",150,28225706,7300,30.543,7:33 am,1,54.4,1.7,0,56,-0.07,100,4.06013120588399,
"Martin, Ben","Ben Martin",150,28225707,7300,32.580,7:22 am,1,62.1,2.7,0,64.8,0.41,100,9.0760896316478,
"Hubbard, Mark","Mark Hubbard",150,28225708,7300,32.856,8:17 am,1,64.7,3.2,0,68,0.6,100,15.2504005986985,
"Kim, Seonghyeon","Seonghyeon Kim",150,28225710,7300,33.137,1:21 pm,0,66.3,3.4,0,69.7,0.7,100,7.09392172814978,
"Ghim, Doug","Doug Ghim",150,28225713,7200,31.888,1:21 pm,0,59.8,2.3,0,62.2,0.3,100,3.26905432856932,
"Baddeley, Aaron","Aaron Baddeley",150,28225715,7200,30.542,12:26 pm,0,56.1,1.8,0,57.9,0.05,100,3.69009732043245,
