player_id,team,opp,pos,name,fpts,proj_own,opto_pct,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
773146,,,G,Bastien Amat,25.15,0,0.13,0,31.1,15.58,0,0,6000,,4826656,773146
1496,,,G,Scottie Scheffler,75.42,23.7,18.75,96.91,93,58,0,0,11400,,35127,1496
769813,,,G,Jacob Solomon,24.55,0.02,0.17,25.53,30.38,15.22,0,0,6100,,4813335,769813
2024,,,G,Max Homa,64.83,9.1,11.06,76.72,85,27.5,0,0,9400,,36137,2024
372042,,,G,Brent Grant,29.84,0.13,0.97,30.16,52,17.5,0,0,6300,,36278,372042
1760,,,G,Tom Hoge,43.42,0.5,1.90,49.55,69,21.5,0,0,7200,,34888,1760
300102,,,G,Collin Morikawa,63.46,7.4,9.62,78.13,84,27,0,0,9300,,36083,300102
772255,,,G,Omar Morales,29.59,0.02,0.70,19.2,52.5,17.5,0,0,6200,,4657689,772255
771298,,,G,Mateo Fernandez de Oliveira,26.2,0.03,0.63,9.62,32.5,16,0,0,6200,,4580211,771298
773004,,,G,Christian Cavaliere,25.65,0.03,0.03,5.22,31.74,15.88,0,0,6000,,4822641,773004
1156,,,G,Thriston Lawrence,37.62,0.16,0.97,29.99,64,20.5,0,0,6600,,3600388,1156
1860,,,G,Corey Conners,57.5,10.3,8.86,70.48,79.5,25.5,0,0,7800,,37123,1860
771299,,,G,Gordon Sargent,29.54,4.5,0.80,14.9,51.5,18,0,0,6100,,4580204,771299
773005,,,G,Brendan Valdes,,0,,,,,0,0,6000,,4830298,773005
1135,,,G,Phil Mickelson,44.43,2.6,2.10,42.88,69.5,22,0,0,7000,,34795,1135
2125,,,G,Tony Finau,66.29,11.9,17.02,86.27,86,28.5,0,0,8800,,34873,2125
700009,,,G,Tom Kim,52.61,2.8,4.80,68.24,76,24,0,0,7800,,2203377,700009
696522,,,G,Michael Thorbjornsen,34.86,0.45,1.43,28.49,60.5,19.5,0,0,6200,,1071511,696522
773006,,,G,Isaac Simmons,25.35,0.01,0.10,5.22,31.35,15.7,0,0,6000,,4822643,773006
1455,,,G,Ryan Armour,38.03,0.19,1.07,26.12,64.5,20,0,0,6500,,36068,1455
1356,,,G,Tyrrell Hatton,67.86,18.3,17.48,85.42,87.35,28.5,0,0,8900,,35279,1356
720888,,,G,Sam Stevens,43.7,1.7,2.10,49.67,69,22,0,0,6600,,3371777,720888
404847,,,G,Sahith Theegala,52.13,8,4.90,60.67,75.5,24,0,0,7600,,37149,404847
1048,,,G,Ryan Fox,52.09,4.5,4.96,56.08,75.5,24,0,0,7100,,36650,1048
701825,,,G,Corey Pereira,25.55,0.13,0.03,8.09,31.61,15.82,0,0,6100,,4813342,701825
670992,,,G,Alejandro Del Rey,39.4,0.14,1.73,32.62,65.5,21,0,0,6300,,4813341,670992
766109,,,G,Barclay Brown,29.05,0.02,1.60,8.07,50.5,17.5,0,0,6000,,3608440,766109
761830,,,G,J.J. Grey,24.75,0.02,0.03,5.22,30.62,15.34,0,0,6200,,4813338,761830
1961,,,G,Scott Stallings,40.4,0.25,1.50,35.42,66.5,21,0,0,6700,,34999,1961
1631,,,G,Charley Hoffman,39.57,0.13,1.00,34.09,65.5,20.5,0,0,6800,,34766,1631
1411,,,G,Nick Hardy,37.7,0.28,1.00,38.31,64,20,0,0,6700,,35104,1411
1554,,,G,Kevin Streelman,42.05,0.41,1.23,44.31,67.85,21.5,0,0,6900,,34815,1554
1323,,,G,Martin Kaymer,35.57,0.16,1.33,23.29,61.5,19.5,0,0,6500,,34774,1323
773007,,,G,Karl Vilips,24.65,0.03,0.20,5.22,30.5,15.28,0,0,6000,,4822644,773007
1005,,,G,Stewart Cink,37.36,0.21,1.73,29.64,63.5,20,0,0,6500,,34863,1005
764449,,,G,Yuto Katsuragawa,33.03,0.08,1.00,36.14,59,19,0,0,6500,,3608442,764449
288611,,,G,Paul Barjon,31.18,0.11,0.50,16.95,56,18,0,0,6400,,912552,288611
702805,,,G,Preston Summerhays,28.61,0.15,0.87,5.19,49.5,17,0,0,6100,,2216262,702805
320038,,,G,Sebastian Munoz,42.45,2.2,1.47,40.05,68,21.5,0,0,6700,,36138,320038
1654,,,G,Russell Henley,55.54,10.5,8.19,64.14,78.5,25,0,0,7100,,34884,1654
1589,,,G,Andrew Svoboda,34.05,0.01,1.03,5.02,60,19.5,0,0,6200,,402529,1589
1237,,,G,Rickie Fowler,61.07,19.7,15.95,76.22,82.5,26,0,0,7500,,34760,1237
1149,,,G,Dustin Johnson,61.3,13.7,12.32,74.64,82.5,26.5,0,0,8300,,34771,1149
670620,,,G,Sungjae Im,59.56,7.8,10.02,76.21,81.5,25.5,0,0,8400,,382250,670620
692004,,,G,Hank Lebioda,32.33,0.17,0.70,25.61,58,18.5,0,0,6400,,565462,692004
1600,,,G,Harris English,42.13,3.9,1.67,49.14,67.5,21.5,0,0,7200,,34758,1600
697889,,,G,Taylor Montgomery,40.3,1.2,1.07,51.38,66.5,21,0,0,7400,,2927750,697889
696569,,,G,Cameron Young,55.63,12,7.19,65.81,79,24.5,0,0,8000,,1074862,696569
1622,,,G,Joel Dahmen,38.91,0.32,1.13,38.75,65,20.65,0,0,6800,,36136,1622
1743,,,G,Paul Haley,27.27,0.12,0.53,26.07,39,16.5,0,0,6300,,3803323,1743
1018,,,G,Denny McCarthy,52.85,10.8,5.76,69.96,76.5,24,0,0,7200,,35117,1018
1931,,,G,Hideki Matsuyama,61.66,10.4,11.89,72.74,82.5,26.5,0,0,8600,,34791,1931
671028,,,G,Mito Pereira,55.1,14.6,7.53,70.75,78,24.5,0,0,7200,,278841,671028
292342,,,G,Adrian Meronk,46.15,3.7,3.16,51.68,71,22.5,0,0,6700,,2927743,292342
765936,,,G,Aldrich Potgieter,26.69,0.11,1.20,10.53,33.5,16.5,0,0,6100,,3608431,765936
1799,,,G,Adam Hadwin,47.52,3.8,3.40,59.56,72.5,22.5,0,0,6900,,34880,1799
113835,,,G,Matthieu Pavon,41.73,0.13,1.67,28.08,67.5,21.5,0,0,6600,,37343,113835
330678,,,G,Cameron Davis,48.88,3,3.63,57.75,73.5,23,0,0,7200,,36131,330678
1932,,,G,Michael Kim,42.83,0.54,1.90,57.17,68.5,21.5,0,0,6900,,34897,1932
1701,,,G,Justin Thomas,59.81,7.2,8.66,70.2,81.5,26,0,0,8700,,34818,1701
1635,,,G,Austen Truslow,25.94,0.07,0.50,7.48,32,16,0,0,6400,,818743,1635
1888,,,G,Roger Sloan,32.02,0.15,0.77,23.12,57,18.5,0,0,6300,,466730,1888
690049,,,G,Viktor Hovland,67,16,13.75,86.24,87.5,28.5,0,0,10000,,658704,690049
