datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,28368765,11300,34.870,12:40 pm,0,90.8,10.9,0,101.7,0.88,100,30.5817257087399,
"McIlroy, Rory","Rory McIlroy",150,28368766,10900,35.273,12:50 pm,0,79.9,7,0,86.9,0.14,100,23.1881854044401,
"Rahm, Jon","Jon Rahm",150,28368767,10800,35.387,12:40 pm,0,81.4,7.3,0,88.8,0.3,100,16.2794808511806,
"Schauffele, Xander","Xander Schauffele",150,28368768,10400,35.301,7:25 am,1,80.3,7.2,0,87.5,0.42,100,16.6492597256117,
"Cantlay, Patrick","Patrick Cantlay",150,28368769,10200,34.651,7:15 am,1,83.4,8.2,0,91.6,0.78,100,19.3520330528276,
"Hovland, Viktor","Viktor Hovland",150,28368770,9900,35.225,12:50 pm,0,76.8,6,0,82.8,0.37,100,16.732310317498,
"Finau, Tony","Tony Finau",150,28368771,9700,34.052,12:40 pm,0,72.2,4.9,0,77,0.1,100,10.7273339128047,
"Morikawa, Collin","Collin Morikawa",150,28368772,9500,34.802,12:30 pm,0,73.5,5.2,0,78.7,0.3,100,19.2674662027926,
"Fleetwood, Tommy","Tommy Fleetwood",150,28368773,9300,33.865,1:00 pm,0,70.1,4.4,0,74.5,0.13,100,16.0011114363369,
"Clark, Wyndham","Wyndham Clark",150,28368774,9200,33.684,7:35 am,1,67.9,3.9,0,71.8,0.01,100,13.0586724835129,
"Fowler, Rickie","Rickie Fowler",150,28368775,9100,34.285,12:30 pm,0,69.4,4.4,0,73.8,0.19,100,12.3179084380015,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,28368776,9000,33.018,12:30 pm,0,64.8,3.3,0,68.1,-0.11,100,9.77430573889704,
"Homa, Max","Max Homa",150,28368777,8900,33.110,7:35 am,1,65.2,3.3,0,68.5,-0.04,100,8.87332208781078,
"Thomas, Justin","Justin Thomas",150,28368778,8800,33.056,7:35 am,1,63.3,3,0,66.3,-0.12,100,8.20458577200843,
"Im, Sungjae","Sungjae Im",150,28368779,8700,34.198,1:00 pm,0,70.1,4.3,0,74.4,0.42,100,9.42568831386185,
"Matsuyama, Hideki","Hideki Matsuyama",150,28368780,8600,33.762,7:55 am,1,65.9,3.5,0,69.4,0.15,100,13.775272825539,
"Young, Cameron","Cameron Young",150,28368781,8500,33.494,7:45 am,1,66,3.4,0,69.5,0.21,100,7.94953696909078,
"Day, Jason","Jason Day",150,28368782,8400,34.323,1:00 pm,0,68,4,0,71.9,0.41,100,7.44337690446458,
"Theegala, Sahith","Sahith Theegala",150,28368783,8300,32.011,7:15 am,1,58.8,2.2,0,61,-0.2,100,11.8851295376647,
"Lowry, Shane","Shane Lowry",150,28368784,8200,33.393,8:05 am,1,64.5,3.3,0,67.8,0.25,100,6.98687358214479,
"Kim, Tom","Tom Kim",150,28368785,8100,33.779,12:50 pm,0,65.9,3.5,0,69.5,0.41,100,16.8442667939915,
"Kim, Si Woo","Si Woo Kim",150,28368786,8000,34.155,12:40 pm,0,70.3,4.5,0,74.8,0.79,100,16.5770938407672,
"Scott, Adam","Adam Scott",150,28368787,7900,32.065,1:20 pm,0,58.5,2.3,0,60.8,-0.04,100,7.22402589558042,
"Bradley, Keegan","Keegan Bradley",150,28368789,7800,33.489,7:25 am,1,63.5,3.1,0,66.6,0.37,100,7.37366060235072,
"Henley, Russell","Russell Henley",150,28368788,7800,34.273,12:40 pm,0,71.7,4.8,0,76.5,1,100,22.6746906411616,
"Conners, Corey","Corey Conners",150,28368791,7700,33.141,1:10 pm,0,65.9,3.5,0,69.4,0.6,100,8.61899626030512,
"English, Harris","Harris English",150,28368790,7700,32.480,7:15 am,1,59.7,2.5,0,62.1,0.14,100,12.8080096305693,
"Woodland, Gary","Gary Woodland",150,28368794,7600,32.982,7:35 am,1,61.8,2.9,0,64.7,0.35,100,3.24287800981866,
"Lee, Min Woo","Min Woo Lee",150,28368792,7600,32.286,6:45 am,1,58.9,2.3,0,61.2,0.13,100,8.17310848356797,
"McCarthy, Denny","Denny McCarthy",150,28368793,7600,33.005,1:40 pm,0,63.7,3.2,0,66.9,0.49,100,11.3525691773751,
"Kuchar, Matt","Matt Kuchar",150,28368796,7500,31.779,12:50 pm,0,58.4,2.4,0,60.8,0.15,100,2.40755086170367,
"An, Byeong Hun","Byeong Hun An",150,28368797,7500,32.147,1:50 pm,0,59.6,2.4,0,62,0.23,100,2.77672987567882,
"Harman, Brian","Brian Harman",150,28368795,7500,32.962,12:30 pm,0,63.2,3,0,66.2,0.49,100,12.182997452414,
"Jaeger, Stephan","Stephan Jaeger",150,28368798,7500,32.236,1:50 pm,0,59.7,2.5,0,62.3,0.24,100,3.78186863597113,
"Power, Seamus","Seamus Power",150,28368799,7400,31.545,1:10 pm,0,58.1,2.2,0,60.3,0.17,100,2.03246554413751,
"Rai, Aaron","Aaron Rai",150,28368802,7400,32.687,12:20 pm,0,62.4,2.9,0,65.3,0.48,100,8.07004489673114,
"Davis, Cameron","Cameron Davis",150,28368800,7400,30.791,8:05 am,1,56,1.8,0,57.9,0.01,100,1.93804514596719,
"Aberg, Ludvig","Ludvig Aberg",150,28368801,7400,31.451,2:00 pm,0,56.7,2,0,58.7,0.07,100,7.3982203574461,
"Grillo, Emiliano","Emiliano Grillo",150,28368807,7300,31.804,7:25 am,1,58.7,2.2,0,61,0.26,100,3.8449742947535,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,28368805,7300,31.550,7:45 am,1,58.9,2.3,0,61.1,0.27,100,2.0044786284823,
"Eckroat, Austin","Austin Eckroat",150,28368804,7300,32.050,6:45 am,1,59.4,2.4,0,61.8,0.31,100,12.061956260059,
"Cole, Eric","Eric Cole",150,28368803,7300,30.307,12:10 pm,0,54.6,1.7,0,56.3,-0.03,100,5.57563083178844,
"Rodgers, Patrick","Patrick Rodgers",150,28368806,7300,32.047,1:50 pm,0,59.8,2.5,0,62.3,0.35,100,2.69575768076836,
"Kitayama, Kurt","Kurt Kitayama",150,28368808,7200,30.129,7:55 am,1,52.8,1.5,0,54.3,-0.1,100,1.17299666076882,
"Putnam, Andrew","Andrew Putnam",150,28368809,7200,31.884,7:45 am,1,59.1,2.5,0,61.6,0.35,100,7.14645331571212,
"Hoge, Tom","Tom Hoge",150,28368811,7200,30.563,8:15 am,1,55.3,1.7,0,57,0.06,100,2.30481264598627,
"Suh, Justin","Justin Suh",150,28368813,7200,30.057,6:55 am,1,53,1.6,0,54.6,-0.08,100,5.78532581997223,
"Moore, Taylor","Taylor Moore",150,28368810,7200,31.582,7:25 am,1,58.5,2.3,0,60.7,0.29,100,3.11494824936709,
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,28368812,7200,30.944,1:30 pm,0,56.2,2,0,58.2,0.13,100,4.14811508863934,
"Hossler, Beau","Beau Hossler",150,28368820,7100,32.412,7:05 am,1,60.1,2.5,0,62.5,0.46,100,3.74525310925321,
"Straka, Sepp","Sepp Straka",150,28368816,7100,31.806,7:15 am,1,57.8,2.1,0,60,0.3,100,2.46855458544775,
"Wu, Brandon","Brandon Wu",150,28368817,7100,31.080,1:50 pm,0,56.1,1.9,0,58,0.17,100,2.42202638671534,
"Detry, Thomas","Thomas Detry",150,28368819,7100,30.748,7:05 am,1,55.1,1.7,0,56.8,0.1,100,1.86867645710123,
"Schenk, Adam","Adam Schenk",150,28368815,7100,31.145,8:35 am,1,56,1.8,0,57.8,0.16,100,2.67344435721926,
"Gordon, Will","Will Gordon",150,28368818,7100,31.748,6:45 am,1,57.2,2,0,59.2,0.25,100,2.40395049194451,
"Todd, Brendon","Brendon Todd",150,28368814,7100,31.074,8:05 am,1,56.1,1.9,0,58.1,0.17,100,3.25162899367528,
"Horschel, Billy","Billy Horschel",150,28368824,7000,28.738,7:25 am,1,50.1,1.2,0,51.3,-0.18,100,1.351670616332,
"Lashley, Nate","Nate Lashley",150,28368827,7000,29.249,12:00 pm,0,51.8,1.5,0,53.2,-0.07,100,1.3990306978825,
